DateTime,AddedIPs,RemovedIPs
1438732464,1,0
1438762163,1,0
1438777112,2,0
1438792026,2,0
1438806976,3,0
1438948638,19,1
1438963223,2,0
1438978166,2,0
1439008061,1,0
1439022981,1,0
1439037916,1,0
1439052852,2,0
1439067649,1,0
1439082550,8,0
1439097503,1,0
1439132928,5,0
1439147908,3,0
1439177789,3,0
1439193454,6,0
1439222966,13,0
1439238893,1,0
1439253914,3,0
1439268847,2,0
1439283615,1,0
1439298553,3,0
1439313517,4,0
1439328428,2,0
1439343383,6,0
1439358334,1,0
1439373261,3,0
1439402756,4,0
1439417403,1,0
1439432326,1,0
1439447231,4,0
1439462188,2,0
1439477119,1,0
1439492063,2,0
1439506876,2,0
1439522053,2,0
1439536706,1,0
1439566580,2,0
1439581515,1,0
1439596456,2,0
1439611216,14,0
1439626154,1,0
1439641112,4,0
1439656036,2,0
1439685929,3,0
1439700481,3,0
1439715260,1,0
1439730013,5,0
1439744954,1,0
1439774865,2,0
1439789793,6,0
1439819124,1,0
1439834052,1,0
1439848815,1,0
1439863745,1,0
1439878704,3,0
1439893631,2,0
1439908592,3,0
1439923527,6,0
1439938462,2,0
1439953226,3,0
1439968201,16,0
1439983127,1,0
1439997789,3,0
1440012438,1,0
1440042933,1,0
1440057624,1,0
1440072583,2,0
1440132325,2,0
1440147248,2,0
1440162079,2,0
1440176981,1,0
1440191930,2,0
1440221837,1,0
1440236794,1,0
1440251652,1,0
1440266421,3,0
1440281364,2,0
1440296326,1,0
1440311237,1,0
1440326177,1,0
1440341342,2,0
1440356146,1,0
1440370845,2,0
1440385900,2,0
1440400734,2,0
1440415313,1,0
1440444986,1,0
1440459981,1,0
1440474853,2,0
1440504568,6,0
1440519513,1,0
1440534438,2,0
1440549377,6,0
1440564333,2,0
1440594022,3,0
1440608960,1,0
1440638856,2,0
1440653804,1,0
1440668530,1,0
1440683124,3,0
1440698048,8,0
1440712830,4,0
1440727792,1,0
1440742322,1,0
1440772041,1,0
1440786978,2,0
1440832155,1,0
1440906915,2,0
1440936558,6,0
1440951533,2,0
1440981454,1,0
1441011249,4,0
1441026014,1,0
1441041098,1,0
1441055897,4,0
1441070827,5,0
1441085809,1,0
1441100727,2,0
1441115648,2,0
1441145366,3,0
1441160314,1,0
1441175232,1,0
1441190170,1,0
1441205114,2,0
1441220117,1,0
1441234816,2,0
1441249760,2,0
1441264700,3,0
1441294572,8,0
1441324129,5,0
1441338907,4,0
1441353648,6,0
1441368555,2,0
1441383493,2,0
1441398579,1,0
1441413393,1,0
1441443248,1,0
1441473018,1,0
1441487992,1,0
1441503048,3,0
1441532748,1,0
1441562455,1,0
1441577443,6,0
1441592452,6,0
1441607249,4,0
1441622187,4,0
1441637181,1,0
1441652056,9,0
1441666660,2,0
1441681228,3,0
1441696206,3,0
1441711111,1,0
1441725683,3,0
1441770337,3,0
1441785257,2,0
1441800039,7,0
1441814951,2,0
1441829922,4,0
1441844848,2,0
1441859898,3,0
1441874725,2,0
1441889661,1,0
1441904422,5,0
1441919364,1,0
1441934304,5,0
1441949254,5,0
1441964197,1,0
1441979138,2,0
1442023816,3,0
1442069140,1,0
1442084117,1,0
1442098810,2,0
1442113751,1,0
1442128709,1,0
1442143656,1,0
1442158832,2,0
1442173534,1,0
1442188465,1,0
1442203223,9,0
1442233122,1,0
1442262994,2,0
1442277926,3,0
1442292926,2,0
1442308170,1,0
1442338066,2,0
1442353063,4,0
1442382850,3,0
1442397621,2,0
1442442457,1,0
1442457383,1,0
