DateTime,Entries,UniqueIPs
1438717854,19379,19379
1438732464,19380,19380
1438762163,19381,19381
1438777112,19383,19383
1438792026,19385,19385
1438806976,19388,19388
1438948638,19406,19406
1438963223,19408,19408
1438978166,19410,19410
1439008061,19411,19411
1439022981,19412,19412
1439037916,19413,19413
1439052852,19415,19415
1439067649,19416,19416
1439082550,19424,19424
1439097503,19425,19425
1439132928,19430,19430
1439147908,19433,19433
1439177789,19436,19436
1439193454,19442,19442
1439193454,19442,19442
1439193454,19442,19442
1439222966,19455,19455
1439238893,19456,19456
1439253914,19459,19459
1439268847,19461,19461
1439283615,19462,19462
1439298553,19465,19465
1439313517,19469,19469
1439328428,19471,19471
1439343383,19477,19477
1439358334,19478,19478
1439373261,19481,19481
1439402756,19485,19485
1439417403,19486,19486
1439432326,19487,19487
1439447231,19491,19491
1439462188,19493,19493
1439477119,19494,19494
1439492063,19496,19496
1439506876,19498,19498
1439522053,19500,19500
1439536706,19501,19501
1439566580,19503,19503
1439581515,19504,19504
1439596456,19506,19506
1439611216,19520,19520
1439626154,19521,19521
1439641112,19525,19525
1439641112,19525,19525
1439656036,19527,19527
1439685929,19530,19530
1439700481,19533,19533
1439715260,19534,19534
1439730013,19539,19539
1439744954,19540,19540
1439774865,19542,19542
1439789793,19548,19548
1439819124,19549,19549
1439834052,19550,19550
1439848815,19551,19551
1439863745,19552,19552
1439878704,19555,19555
1439893631,19557,19557
1439908592,19560,19560
1439923527,19566,19566
1439938462,19568,19568
1439953226,19571,19571
1439968201,19587,19587
1439983127,19588,19588
1439997789,19591,19591
1440012438,19592,19592
1440042933,19593,19593
1440057624,19594,19594
1440072583,19596,19596
1440132325,19598,19598
1440147248,19600,19600
1440147248,19600,19600
1440162079,19602,19602
1440176981,19603,19603
1440191930,19605,19605
1440221837,19606,19606
1440236794,19607,19607
1440251652,19608,19608
1440266421,19611,19611
1440281364,19613,19613
1440296326,19614,19614
1440311237,19615,19615
1440326177,19616,19616
1440341342,19618,19618
1440356146,19619,19619
1440370845,19621,19621
1440385900,19623,19623
1440400734,19625,19625
1440415313,19626,19626
1440444986,19627,19627
1440459981,19628,19628
1440474853,19630,19630
1440504568,19636,19636
1440519513,19637,19637
1440534438,19639,19639
1440549377,19645,19645
1440564333,19647,19647
1440594022,19650,19650
1440608960,19651,19651
1440638856,19653,19653
1440653804,19654,19654
1440668530,19655,19655
1440668530,19655,19655
1440683124,19658,19658
1440698048,19666,19666
1440712830,19670,19670
1440727792,19671,19671
1440742322,19672,19672
1440772041,19673,19673
1440786978,19675,19675
1440832155,19676,19676
1440906915,19678,19678
1440936558,19684,19684
1440951533,19686,19686
1440981454,19687,19687
1441011249,19691,19691
1441026014,19692,19692
1441041098,19693,19693
1441055897,19697,19697
1441070827,19702,19702
1441085809,19703,19703
1441100727,19705,19705
1441115648,19707,19707
1441145366,19710,19710
1441160314,19711,19711
1441175232,19712,19712
1441190170,19713,19713
1441205114,19715,19715
1441220117,19716,19716
1441234816,19718,19718
1441249760,19720,19720
1441264700,19723,19723
1441294572,19731,19731
1441324129,19736,19736
1441338907,19740,19740
1441353648,19746,19746
1441368555,19748,19748
1441383493,19750,19750
1441398579,19751,19751
1441413393,19752,19752
1441443248,19753,19753
1441473018,19754,19754
1441487992,19755,19755
1441503048,19758,19758
1441532748,19759,19759
1441562455,19760,19760
1441577443,19766,19766
1441592452,19772,19772
1441607249,19776,19776
1441622187,19780,19780
1441637181,19781,19781
1441652056,19790,19790
1441666660,19792,19792
1441681228,19795,19795
1441696206,19798,19798
1441711111,19799,19799
1441725683,19802,19802
1441770337,19805,19805
1441785257,19807,19807
1441800039,19814,19814
1441814951,19816,19816
1441829922,19820,19820
1441844848,19822,19822
1441859898,19825,19825
1441874725,19827,19827
1441889661,19828,19828
1441904422,19833,19833
1441919364,19834,19834
1441934304,19839,19839
1441949254,19844,19844
1441964197,19845,19845
1441979138,19847,19847
1442023816,19850,19850
1442069140,19851,19851
1442084117,19852,19852
1442098810,19854,19854
1442113751,19855,19855
1442128709,19856,19856
1442143656,19857,19857
1442158832,19859,19859
1442173534,19860,19860
1442188465,19861,19861
1442203223,19870,19870
1442233122,19871,19871
1442262994,19873,19873
1442277926,19876,19876
1442292926,19878,19878
1442308170,19879,19879
1442338066,19881,19881
1442353063,19885,19885
1442382850,19888,19888
1442397621,19890,19890
1442442457,19891,19891
