DateTime,Entries,UniqueIPs
1434197235,911,75964928
1434283635,911,75964928
1434283635,911,75964928
1434542832,911,76032512
1434629234,910,76033536
1434629234,910,76033536
1434629234,910,76033536
1434715632,911,76035584
1434802034,907,76037632
1435147643,906,76038656
1435406833,907,76039680
1435493234,909,76103424
1435666100,910,76104448
1435838844,911,76109824
1435925231,912,76240896
1436443632,914,76245248
1436530034,915,76247296
1436616437,915,76244224
1437566840,917,76814592
1437653234,914,76835072
1437739633,914,77097216
1438258044,912,79194880
1438344436,913,79198976
1438517240,915,79240448
1438862836,916,79244544
1438949235,917,79248640
1439035640,917,79248896
1439122061,917,79248896
1439122061,917,79248896
1439122061,917,79248896
1439208442,917,79248896
1439467637,918,79249920
1439640436,918,79249920
1440158843,918,79249920
1440245241,917,79250944
1440590838,917,79250944
1440677238,920,79334912
1440850035,924,79314432
1441195631,921,79385344
1441368438,918,79389696
1441454835,916,79391744
1441541239,917,79457280
1441800441,918,79462400
1442146035,920,79469568
1442405238,916,79479808
