DateTime,Entries,UniqueIPs
1434197235,12269,864554784
1434283635,12269,864554784
1434283635,12269,864554784
1434370034,12271,864556832
1434456432,12277,864567328
1434542832,12282,864576288
1434629234,12301,864618272
1434629234,12301,864618272
1434629234,12301,864618272
1434715632,12304,864620576
1434802034,12311,864632096
1435061229,12316,864647712
1435147643,12324,864662304
1435234037,12335,864684064
1435406833,12340,864701728
1435493234,12342,864703776
1435666100,12352,864727840
1435752441,12354,864748576
1435838844,12365,864725536
1435925231,12372,864761632
1436011633,12380,864771872
1436270833,12389,864826656
1436357235,12403,864833056
1436443632,12413,864942112
1436530034,12419,864974624
1436616437,12432,865026848
1436875649,12446,865075744
1436962042,12448,865071136
1437048434,12463,865114400
1437134840,12468,865137952
1437221233,12471,865163040
1437307639,12473,865165088
1437480442,12480,865169696
1437566840,12487,865182496
1437653234,12495,865200672
1437739633,12508,865222688
1437826038,12512,865233952
1438085235,12530,865278752
1438171637,12545,865311008
1438258044,12550,865324576
1438344436,12554,865591840
1438430834,12558,865605408
1438690037,12563,865615648
1438776441,12570,865622816
1438862836,12583,865631776
1438949235,12588,865649184
1439035640,12594,865679136
1439122061,12594,865679136
1439122061,12594,865679136
1439122061,12594,865679136
1439208442,12594,865679136
1439294839,12601,865822496
1439381237,12606,865839904
1439467637,12615,865862432
1439554041,12619,865876768
1439640436,12630,865891360
1439640436,12630,865891360
1439899637,12643,865924128
1439986039,12654,865959712
1440158843,12668,865999392
1440158843,12668,865999392
1440245241,12669,866004768
1440331635,12670,866005280
1440504438,12676,866039072
1440590838,12678,865881632
1440590838,12678,865881632
1440677238,12707,865933600
1440763639,12716,865937952
1440850035,12720,865947168
1441109235,12725,865967648
1441195631,12736,865978144
1441282034,12742,865972768
1441368438,12751,865981728
1441454835,12754,865931296
1441714034,12766,865959712
1441800441,12772,866030368
1441886837,12788,866054944
1441973236,12795,866062368
1442059634,12805,866080032
1442318841,12815,866151456
