DateTime,Entries,UniqueIPs
1434197235,18447,736003792
1434283635,18447,736003792
1434283635,18447,736003792
1434456432,18441,735993552
1434542832,18452,735998416
1434629234,18450,735953872
1434629234,18450,735953872
1434629234,18450,735953872
1434715632,18446,735946448
1434802034,18455,735959760
1435061229,18451,735958480
1435147643,18445,735954384
1435234037,18448,735952848
1435406833,18449,735968976
1435666100,18451,735977872
1435752441,18459,735985552
1435838844,18462,735992720
1435925231,18467,735962000
1436011633,18477,735991952
1436270833,18491,735995536
1436357235,18498,736005776
1436443632,18509,735948432
1436530034,18527,735938704
1436616437,18531,736016016
1436875649,18536,736017008
1436962042,18548,736029296
1437048434,18556,736032880
1437134840,18572,736039024
1437221233,18585,736050288
1437480442,18588,736050800
1437566840,18594,736048496
1437653234,18598,736058224
1437739633,18609,736056944
1437826038,18612,736071280
1438085235,18634,736070000
1438171637,18655,736072048
1438258044,18660,736078448
1438344436,18663,735828592
1438430834,18667,735836784
1438690037,18672,735854448
1438776441,18696,735860080
1438862836,18699,735874416
1438949235,18703,735882608
1439035640,18707,735888752
1439122061,18677,731104112
1439122061,18677,731104112
1439122061,18677,731104112
1439122061,18677,731104112
1439208442,18677,731104112
1439294839,18684,731106160
1439381237,18698,731110512
1439467637,18716,731092336
1439554041,18719,731103600
1439640436,18726,731108432
1439640436,18726,731108432
1439899637,18734,730957392
1439986039,18737,730950224
1440158843,18741,730901328
1440158843,18741,730901328
1440245241,18744,730906192
1440504438,18753,730894672
1440590838,18761,730910800
1440590838,18761,730910800
1440677238,18786,730901328
1440763639,18790,730909776
1440850035,18795,730914640
1441109235,18801,730905936
1441195631,18802,730912592
1441282034,18806,730917712
1441368438,18809,730926928
1441454835,18813,730937936
1441714034,18818,730949200
1441800441,18822,730944592
1441886837,18862,730943568
1441973236,18868,730958928
1442059634,18877,730964048
1442318841,18880,730941776
