DateTime,Entries,UniqueIPs
1434197235,11803,1721345280
1434283635,11782,1721401600
1434283635,11782,1721401600
1434283635,11782,1721401600
1434542832,11780,1721560576
1434629234,11782,1721585152
1434629234,11782,1721585152
1434629234,11782,1721585152
1434715632,11784,1721590784
1434802034,11772,1721629184
1434888432,11768,1722317312
1435147643,11758,1722504704
1435234037,11746,1722677248
1435406833,11748,1722870272
1435493234,11730,1722879488
1435752441,11720,1723114752
1435838844,11669,1723125504
1435925231,11667,1723176704
1436011633,11653,1723181312
1436098033,11655,1723181056
1436357235,11639,1723452160
1436443632,11688,1723289600
1436530034,11651,1723297024
1436616437,11620,1723346176
1436702841,11611,1723449088
1436962042,11597,1723451392
1437048434,11559,1723522304
1437134840,11534,1723531008
1437221233,11524,1723536128
1437307639,11500,1723540736
1437566840,11500,1723545600
1437653234,11479,1723549440
1437739633,11476,1723552256
1437826038,11443,1723556864
1437912439,11411,1723561472
1438171637,11394,1723548416
1438258044,11379,1723549952
1438344436,11358,1723552768
1438430834,11329,1723557120
1438517240,11273,1723562752
1438776441,11256,1723564800
1438862836,11248,1723577856
1438949235,11218,1723581184
1439035640,11209,1723583232
1439122061,11165,1728369664
1439122061,11165,1728369664
1439122061,11165,1728369664
1439122061,11165,1728369664
1439208442,11165,1728369664
1439381237,11172,1728241152
1439467637,11263,1728188160
1439554041,11254,1728194816
1439640436,11251,1728200960
1439640436,11251,1728200960
1439726842,11234,1728203520
1439899637,11234,1728334592
1439986039,11233,1728335872
1440158843,11207,1728340480
1440158843,11207,1728340480
1440245241,11162,1728336640
1440331635,11141,1728346624
1440504438,11128,1728526848
1440590838,11125,1728531968
1440590838,11125,1728531968
1440763639,11105,1728536320
1440850035,11095,1728539136
1440936438,11068,1728541440
1441195631,11054,1728543744
1441282034,11050,1728545024
1441368438,11018,1728793600
1441454835,10979,1728796160
1441541239,10964,1728797952
1441800441,10965,1728798976
1441886837,10993,1728777728
1441973236,10974,1728779776
1442059634,10943,1728783360
1442146035,10923,1728787456
1442405238,10910,1728790272
1442491638,10903,1728792576
