DateTime,Entries,UniqueIPs
1434197235,5353,56155648
1434283635,5353,56155648
1434283635,5353,56155648
1434456432,5354,56156672
1434542832,5357,56159744
1434629234,5358,56160000
1434629234,5358,56160000
1434629234,5358,56160000
1434715632,5359,56160256
1434802034,5360,56161280
1435061229,5361,56162560
1435147643,5362,56162816
1435234037,5363,56163328
1435406833,5367,56165888
1435838844,5370,56168448
1436011633,5373,56172032
1436270833,5372,56171776
1436443632,5373,56172288
1436530034,5372,56170240
1436616437,5377,56172800
1436875649,5379,56173312
1436962042,5382,56175616
1437221233,5383,56175872
1437480442,5386,56178432
1437566840,5385,56178688
1437653234,5389,56179968
1437739633,5390,56180992
1437826038,5392,56182784
1438085235,5393,56183808
1438171637,5398,56187648
1438258044,5400,56188928
1438430834,5402,56190464
1438690037,5403,56191488
1438776441,5404,56194560
1438862836,5406,56196608
1438949235,5407,56196864
1439035640,5409,56196096
1439122061,5409,56196096
1439122061,5409,56196096
1439122061,5409,56196096
1439208442,5409,56196096
1439381237,5411,56198144
1439554041,5413,56199424
1439640436,5415,56200960
1439640436,5415,56200960
1439899637,5418,56202752
1439986039,5417,56203008
1440158843,5421,56205824
1440158843,5421,56205824
1440245241,5422,56206848
1440504438,5423,56207872
1440590838,5426,56211200
1440590838,5426,56211200
1440677238,5427,56212224
1440763639,5430,56214016
1441109235,5432,56216064
1441282034,5438,56221440
1441368438,5439,56222720
1441454835,5440,56222976
1441714034,5445,56226304
1441800441,5446,56227328
1441973236,5447,56228096
1442059634,5446,56227840
1442318841,5447,56228352
1442405238,5449,56229376
