DateTime,Entries,UniqueIPs
1434197235,4601,48562432
1434283635,4601,48562432
1434283635,4601,48562432
1434542832,4602,48563456
1434629234,4603,48563712
1434629234,4603,48563712
1434629234,4603,48563712
1434715632,4604,48563968
1434802034,4605,48564992
1435061229,4606,48566272
1435147643,4600,48559360
1435234037,4601,48559872
1435406833,4604,48562176
1435838844,4607,48564736
1436011633,4610,48568320
1436270833,4609,48568064
1436443632,4610,48568576
1436530034,4609,48566528
1436616437,4613,48567808
1436875649,4615,48568320
1436962042,4618,48570624
1437480442,4621,48573184
1437566840,4620,48573440
1437653234,4624,48574720
1437826038,4626,48575488
1438085235,4627,48576512
1438171637,4631,48579840
1438258044,4632,48580096
1438430834,4633,48581376
1438690037,4634,48582400
1438776441,4634,48585472
1438862836,4635,48586496
1438949235,4636,48586752
1439035640,4638,48588032
1439122061,4638,48588032
1439122061,4638,48588032
1439122061,4638,48588032
1439208442,4638,48588032
1439554041,4640,48589312
1439640436,4641,48590336
1439640436,4641,48590336
1439899637,4642,48590592
1439986039,4642,48590848
1440158843,4645,48592640
1440158843,4645,48592640
1440245241,4646,48593664
1440504438,4647,48594688
1440590838,4649,48597760
1440590838,4649,48597760
1440677238,4650,48598784
1440763639,4653,48600576
1441109235,4655,48602624
1441282034,4656,48603648
1441368438,4658,48604928
1441454835,4659,48605184
1441714034,4664,48608512
1441973236,4665,48609792
1442059634,4664,48609536
1442318841,4665,48610048
1442405238,4666,48610560
