DateTime,Entries,UniqueIPs
1434197235,874,81420800
1434283635,879,81428992
1434283635,879,81428992
1434283635,879,81428992
1434542832,881,81433088
1434629234,882,81436416
1434629234,882,81436416
1434629234,882,81436416
1434715632,885,81441536
1434802034,890,81450752
1434888432,891,81453824
1435147643,896,81458176
1435234037,1115,81363968
1435406833,1119,81371136
1435493234,1126,81379328
1435752441,1125,81381376
1435838844,1128,81392128
1435925231,1130,81397248
1436011633,1134,81402368
1436098033,1136,81406976
1436357235,1206,81385984
1436443632,1214,81394432
1436530034,1214,81398528
1436962042,1217,81401856
1437048434,1219,81405952
1437134840,1223,81413120
1437221233,1224,81416448
1437307639,1225,81419520
1437566840,1261,81400064
1437653234,1264,81403136
1437739633,1268,81407232
1437826038,1269,81408256
1437912439,1275,81418496
1438171637,1272,81422592
1438258044,1278,81429248
1438344436,1273,81440768
1438430834,1271,81443840
1438517240,1274,81450496
1438776441,1266,81459200
1438862836,1269,81468416
1438949235,1274,81474048
1439035640,1276,81478400
1439122061,1277,81483520
1439122061,1277,81483520
1439122061,1277,81483520
1439122061,1277,81483520
1439208442,1277,81483520
1439381237,1278,81485568
1439467637,1284,81491968
1439554041,1286,81497088
1439640436,1293,81504512
1439640436,1293,81504512
1439726842,1303,81473792
1439986039,1307,81479936
1440158843,1312,81494272
1440158843,1312,81494272
1440245241,1318,81501696
1440331635,1319,81505792
1440590838,1323,81511936
1440590838,1323,81511936
1440677238,1326,81516032
1440763639,1329,81523200
1440850035,1332,81527296
1440936438,1331,81529344
1441195631,1334,81533440
1441282034,1334,81536512
1441368438,1338,81540608
1441454835,1343,81547776
1441541239,1345,81552896
1441886837,1348,81561088
1441973236,1350,81563136
1442059634,1349,81572352
1442146035,1354,81581568
1442405238,1356,81583616
1442491638,1362,81593856
