DateTime,Entries,UniqueIPs
1434197235,3880,78312960
1434283635,3883,78347264
1434283635,3883,78347264
1434283635,3883,78347264
1434542832,3884,78412800
1434629234,3887,78418176
1434629234,3887,78418176
1434629234,3887,78418176
1434802034,3891,78417408
1434888432,3894,78423808
1435147643,3896,78457600
1435234037,3904,78467840
1435406833,3908,78604288
1435493234,3909,78607872
1435752441,3911,78609920
1436011633,3912,78610944
1436357235,3913,78611456
1436443632,3915,78607616
1436530034,3914,78609152
1436616437,3915,78609920
1436702841,3917,78610432
1437048434,3918,78610176
1437307639,3919,78610688
1437566840,3920,78610944
1437653234,3922,78611712
1437826038,3925,78612736
1437912439,3926,78612992
1438171637,3921,78613504
1438344436,3922,78614016
1438430834,3923,78614272
1438517240,3928,78619648
1438776441,3929,78619904
1438862836,3930,78620160
1438949235,3931,78620672
1439035640,3932,78620928
1439122061,3933,78621184
1439122061,3933,78621184
1439122061,3933,78621184
1439122061,3933,78621184
1439208442,3933,78621184
1439554041,3934,78621440
1439640436,3936,78621440
1439640436,3936,78621440
1439726842,3939,78622208
1440158843,3940,78622464
1440158843,3940,78622464
1440245241,3942,78630912
1440331635,3943,78631168
1440590838,3946,78631936
1440590838,3946,78631936
1440850035,3948,78632704
1440936438,3952,73914880
1441282034,3949,73913856
1441368438,3950,74056448
1441541239,3951,74056704
1441886837,3947,72997888
1442059634,3948,72998144
1442491638,3949,72998400
