DateTime,Entries,UniqueIPs
1434197235,293,6190600
1434283635,293,6190600
1434283635,293,6190600
1434456432,292,6190344
1434629234,291,6189832
1434629234,291,6189832
1434629234,291,6189832
1434715632,292,6190856
1435147643,293,6194952
1435925231,295,6195464
1436530034,296,6211848
1437048434,294,6210312
1437566840,293,6209800
1437826038,294,6210824
1438085235,295,6219016
1438171637,296,6220040
1439122061,296,6220040
1439122061,296,6220040
1439122061,296,6220040
1439208442,296,6220040
1439640436,296,6220040
1440158843,296,6220040
1440590838,296,6220040
1441714034,295,6217992
