DateTime,Entries,UniqueIPs
1434197235,2398,84230960
1434283635,2398,84230960
1434283635,2398,84230960
1434456432,2393,84229168
1434542832,2394,84228400
1434629234,2397,84229680
1434629234,2397,84229680
1434629234,2397,84229680
1434715632,2394,84228656
1434802034,2395,84229424
1435061229,2395,84224304
1435147643,2394,84224048
1435406833,2388,84218928
1435752441,2390,84219696
1435838844,2389,84218672
1436011633,2390,84219696
1436357235,2391,84219952
1436443632,2392,84220976
1436530034,2390,84220464
1436875649,2391,84221488
1437134840,2392,84222512
1437221233,2393,84223536
1437653234,2394,84224560
1437739633,2395,84225584
1438085235,2396,84226608
1438171637,2400,84230704
1438344436,2401,84231728
1438690037,2404,84232752
1438776441,2405,84233776
1439122061,2375,79449136
1439122061,2375,79449136
1439122061,2375,79449136
1439122061,2375,79449136
1439208442,2375,79449136
1439381237,2378,79452208
1439467637,2379,79453232
1439554041,2380,79454256
1439640436,2380,79454256
1439899637,2381,79455280
1440158843,2384,79457840
1440158843,2384,79457840
1440504438,2385,79458864
1440590838,2386,79459888
1440590838,2386,79459888
1440763639,2386,79459632
1441368438,2387,79460656
1441800441,2390,79463728
1441886837,2391,79465776
1442059634,2392,79467824
1442318841,2393,79469872
