DateTime,Entries,UniqueIPs
1434197235,2270,36942848
1434283635,2270,36942848
1434283635,2270,36942848
1434456432,2273,36946176
1434542832,2277,36949760
1434629234,2278,36951808
1434629234,2278,36951808
1434629234,2278,36951808
1434715632,2278,36951040
1434802034,2280,36953088
1435061229,2285,36957696
1435147643,2288,36961792
1435234037,2296,36975360
1435406833,2302,36981504
1435666100,2309,36986624
1435752441,2317,36999424
1435925231,2323,37005824
1436011633,2325,37007872
1436270833,2333,37019392
1436357235,2334,37019648
1436443632,2335,37020160
1436530034,2346,37036288
1436616437,2349,37040384
1436875649,2354,37046784
1436962042,2356,37048064
1437048434,2360,37052160
1437134840,2364,37056256
1437221233,2366,37058304
1437480442,2369,37060608
1437653234,2374,37065216
1437739633,2381,37071872
1437826038,2385,37080064
1438085235,2391,37090560
1438171637,2398,37105408
1438258044,2402,37109760
1438430834,2405,37112832
1438690037,2407,37111808
1438776441,2413,37122048
1438862836,2422,37134080
1438949235,2426,37138176
1439035640,2439,37153792
1439122061,2439,37153792
1439122061,2439,37153792
1439122061,2439,37153792
1439208442,2439,37153792
1439294839,2444,37159936
1439381237,2450,37165824
1439467637,2454,37170944
1439554041,2460,37177088
1439640436,2462,37179136
1439640436,2462,37179136
1439899637,2465,37184000
1439986039,2473,37199104
1440158843,2482,37209600
1440158843,2482,37209600
1440245241,2484,37210880
1440331635,2485,37211392
1440504438,2487,37215488
1440590838,2492,37223936
1440590838,2492,37223936
1440677238,2500,37236224
1440850035,2506,37241344
1441195631,2508,37243392
1441282034,2504,37241856
1441368438,2508,37245184
1441454835,2511,37186560
1441714034,2519,37197824
1441800441,2520,37263360
1441886837,2522,37267456
1441973236,2525,37269760
1442059634,2527,37273856
1442318841,2542,37300480
1442405238,2547,37306624
1442491638,2551,37309440
