DateTime,Entries,UniqueIPs
1434197235,2318,203078656
1434283635,2318,203078656
1434283635,2318,203078656
1434456432,2320,203080704
1434542832,2321,203081728
1434629234,2322,203082752
1434629234,2322,203082752
1434629234,2322,203082752
1434715632,2321,203081728
1434802034,2322,203082752
1435061229,2323,203084800
1435752441,2324,203085056
1435838844,2320,203080960
1435925231,2322,203083008
1436011633,2323,203084032
1436357235,2321,203081984
1436530034,2322,203083008
1436616437,2323,203084032
1436962042,2325,203087104
1437134840,2327,203089152
1437307639,2328,203090176
1437480442,2329,203091200
1437566840,2330,203092224
1437739633,2332,203094272
1437826038,2334,203096320
1438171637,2337,203100416
1438430834,2339,203102464
1438690037,2328,203090176
1438862836,2330,203081984
1438949235,2332,203084032
1439035640,2333,203085056
1439122061,2333,203085056
1439122061,2333,203085056
1439122061,2333,203085056
1439208442,2333,203085056
1439381237,2335,203087104
1439554041,2336,203088128
1439640436,2336,203088128
1439899637,2337,203088384
1440158843,2338,203089408
1440158843,2338,203089408
1440245241,2339,203091456
1440504438,2340,203092480
1440590838,2340,203092480
1440677238,2343,203095552
1440763639,2341,203092480
1441109235,2341,203084288
1441195631,2344,203087360
1441282034,2335,203077120
1441454835,2336,203078144
1442059634,2338,203080192
1442318841,2339,203081216
