DateTime,Entries,UniqueIPs
1434197235,2425,45654240
1434283635,2425,45654240
1434283635,2425,45654240
1434456432,2424,45653472
1434542832,2424,45652704
1434629234,2424,45653728
1434629234,2424,45653728
1434629234,2424,45653728
1434802034,2427,45654496
1435061229,2426,45654240
1435147643,2429,45657312
1435234037,2431,45658592
1435406833,2437,45666528
1435666100,2437,45667296
1435752441,2440,45670368
1435925231,2441,45671392
1436011633,2450,45681632
1436270833,2450,45681632
1436357235,2449,45680608
1436530034,2452,45812704
1436616437,2451,45812448
1436875649,2451,45805280
1436962042,2450,45803232
1437048434,2453,45808352
1437134840,2455,45810400
1437221233,2458,45813472
1437653234,2459,45814496
1437739633,2460,45815520
1437826038,2461,45816544
1438085235,2462,45817568
1438171637,2462,45817568
1438258044,2464,45819616
1438344436,2465,45820640
1438430834,2466,45828832
1438690037,2467,45829856
1438862836,2469,45831904
1439035640,2468,45827808
1439122061,2468,45827808
1439122061,2468,45827808
1439122061,2468,45827808
1439208442,2468,45827808
1439294839,2469,45828064
1439554041,2472,45831136
1439640436,2470,45830624
1439640436,2470,45830624
1439899637,2471,45831648
1439986039,2472,45832672
1440158843,2477,45839840
1440158843,2477,45839840
1440245241,2478,45840864
1440504438,2477,45808864
1440590838,2480,45811936
1440590838,2480,45811936
1440677238,2483,45815008
1440763639,2484,45816032
1440850035,2484,45818080
1441109235,2485,45819104
1441282034,2486,45820128
1441368438,2491,45821664
1441714034,2498,45833952
1441800441,2508,45851360
1441886837,2510,45853408
1441973236,2511,45853408
1442059634,2515,45857504
1442318841,2517,45859552
