DateTime,Entries,UniqueIPs
1434197235,2029,9485568
1434283635,2029,9485568
1434283635,2029,9485568
1434456432,2028,9484032
1434542832,2029,9485056
1434629234,2027,9453824
1434629234,2027,9453824
1434629234,2027,9453824
1434715632,2026,9453568
1434802034,2040,9452544
1435147643,2041,9453568
1435406833,2041,9454336
1435838844,2044,9446144
1435925231,2044,9445632
1436443632,2045,9379072
1436530034,2046,9380096
1436616437,2045,9371904
1436875649,2047,9366784
1436962042,2047,9356544
1437221233,2049,9358592
1437480442,2047,9328896
1437566840,2056,9321216
1437653234,2055,9320192
1437826038,2054,9319168
1438085235,2053,9309952
1438171637,2054,9308928
1439035640,2060,9306880
1439122061,2060,9306880
1439122061,2060,9306880
1439122061,2060,9306880
1439208442,2060,9306880
1439294839,2062,9306624
1439381237,2060,9301504
1439467637,2060,9285120
1439554041,2072,9281280
1439640436,2072,9281280
1439899637,2074,9277184
1440158843,2088,9274624
1440158843,2088,9274624
1440245241,2089,9275648
1440504438,2090,9276672
1440590838,2090,9276672
1440677238,2089,9252096
1440763639,2090,9253120
1440850035,2091,9254144
1441109235,2090,9250560
1441195631,2093,9250304
1441368438,2100,9248768
1441454835,2101,9249792
1441714034,2098,9243648
1441886837,2099,9243904
1442405238,2098,9243392
1442491638,2099,9242368
