DateTime,Entries,UniqueIPs
1434197235,638,6262272
1434283635,638,6262272
1434283635,638,6262272
1434629234,639,6263296
1434629234,639,6263296
1434629234,639,6263296
1434802034,641,6264576
1435752441,642,6265088
1435925231,643,6266112
1436530034,644,6267136
1437826038,645,6268160
1438085235,646,6276352
1438171637,645,6275328
1438258044,646,6276352
1438949235,648,6279424
1439122061,648,6279424
1439122061,648,6279424
1439122061,648,6279424
1439208442,648,6279424
1439381237,650,6281472
1439640436,651,6281728
1439640436,651,6281728
1440158843,652,6281984
1440158843,652,6281984
1440504438,654,6284032
1440590838,651,6103808
1440590838,651,6103808
1440677238,652,6104832
1440850035,654,6106880
1441109235,654,6114048
1441454835,658,6112256
1441800441,660,6114304
1442318841,662,6116352
