DateTime,Entries,UniqueIPs
1439846411,2780,2780
1439850011,2795,2795
1439853611,2806,2806
1439857211,2819,2819
1439860811,2806,2806
1439864411,2807,2807
1439868011,2813,2813
1439871611,2807,2807
1439875211,2789,2789
1439878811,2784,2784
1439882413,2788,2788
1439886012,2823,2823
1439889612,2847,2847
1439893212,2908,2908
1439896812,3185,3185
1439898611,3187,3187
1439902211,3220,3220
1439905811,3238,3238
1439909411,3248,3248
1439913011,3244,3244
1439916611,3244,3244
1439920211,3227,3227
1439923811,3211,3211
1439927411,3213,3213
1439931011,3224,3224
1439935512,3242,3242
1439939111,3251,3251
1439942711,3259,3259
1439946311,3266,3266
1439949911,3259,3259
1439953512,3271,3271
1439957112,3276,3276
1439960712,3308,3308
1439964312,3325,3325
1439967912,3325,3325
1439971514,3398,3398
1439975113,3480,3480
1439978713,3578,3578
1439982313,3781,3781
1439985913,3805,3805
1439989513,3893,3893
1439993113,3822,3822
1439996714,3910,3910
1440000314,3936,3936
1440003915,3992,3992
1440007515,4069,4069
1440011115,4191,4191
1440014715,4295,4295
1440018315,4376,4376
1440021915,4455,4455
1440025515,4503,4503
1440029115,4553,4553
1440032715,4610,4610
1440036315,4681,4681
1440039915,4728,4728
1440043515,4804,4804
1440047115,4880,4880
1440050715,4936,4936
1440054317,4997,4997
1440057917,5032,5032
1440061517,5082,5082
1440065117,5108,5108
1440068717,4994,4994
1440072317,5031,5031
1440075917,5024,5024
1440079517,5049,5049
1440083117,5060,5060
1440086717,5083,5083
1440090317,5204,5204
1440093918,5222,5222
1440097518,5235,5235
1440101118,5247,5247
1440104718,5245,5245
1440108318,5232,5232
1440111918,5245,5245
1440115518,5244,5244
1440119118,5250,5250
1440122718,5252,5252
1440126318,5262,5262
1440129919,5270,5270
1440133518,5258,5258
1440137118,5243,5243
1440140718,5267,5267
1440144319,5226,5226
1440147919,5141,5141
1440151520,5073,5073
1440155121,5040,5040
1440158721,4975,4975
1440158721,4975,4975
1440162322,4933,4933
1440165921,4842,4842
1440169521,4754,4754
1440173121,4747,4747
1440176721,4706,4706
1440180321,4684,4684
1440183923,4565,4565
1440187522,4470,4470
1440191122,4406,4406
1440194722,4341,4341
1440198322,4283,4283
1440201922,4245,4245
1440205522,4206,4206
1440209122,4158,4158
1440212722,4104,4104
1440216322,4060,4060
1440219922,4020,4020
1440223522,3995,3995
1440227122,3972,3972
1440230722,3933,3933
1440234323,3892,3892
1440237923,3874,3874
1440241523,3703,3703
1440245122,3666,3666
1440248723,3627,3627
1440252323,3616,3616
1440255923,3610,3610
1440259523,3573,3573
1440263123,3499,3499
1440266724,3507,3507
1440270323,3504,3504
1440273923,3512,3512
1440277524,3511,3511
1440281124,3509,3509
1440284724,3494,3494
1440288324,3485,3485
1440291924,3465,3465
1440295525,3474,3474
1440299125,3438,3438
1440302725,3415,3415
1440306325,3410,3410
1440309925,3405,3405
1440313525,3397,3397
1440317125,3374,3374
1440320725,3364,3364
1440324325,3320,3320
1440327925,3160,3160
1440331525,3071,3071
1440335125,3014,3014
1440338726,2982,2982
1440342326,2974,2974
1440345927,2945,2945
1440349527,2911,2911
1440353126,2864,2864
1440356727,2858,2858
1440360327,2855,2855
1440363927,2838,2838
1440367527,2826,2826
1440371127,2821,2821
1440374727,2802,2802
1440378327,2793,2793
1440381927,2793,2793
1440385527,2800,2800
1440389127,2813,2813
1440392728,2799,2799
1440396328,2794,2794
1440399928,2799,2799
1440403528,2798,2798
1440407128,2801,2801
1440410728,2833,2833
1440414328,2862,2862
1440417928,2889,2889
1440421529,2970,2970
1440425131,3047,3047
1440428730,3073,3073
1440432329,3091,3091
1440435929,3070,3070
