DateTime,Entries,UniqueIPs
1433971204,33,33
1434010804,32,32
1434032404,33,33
1434039604,34,34
1434046804,35,35
1434093605,34,34
1434108004,23,23
1434111604,11,11
1434115204,4,4
1434171904,4,4
1434197104,4,4
1434204304,4,4
1434214204,3,3
1434221404,2,2
1434238504,2,2
1434281704,2,2
1434289804,2,2
1434289804,2,2
1434289804,2,2
1434293404,2,2
1434317704,2,2
1434378904,2,2
1434537304,6,6
1434540904,7,7
1434551704,6,6
1434641704,6,6
1434689404,7,7
1434696604,7,7
1434711004,3,3
1434714604,2,2
1434862204,1,1
1434880204,2,2
1435053004,1,1
1435132204,2,2
1435146604,5,5
1435150204,12,12
1435153804,14,14
1435305004,13,13
1435319404,11,11
1435323004,4,4
1435326604,1,1
1435337404,2,2
1435510204,1,1
1435765804,2,2
1435776604,3,3
1435938604,2,2
1435949404,1,1
1436086204,2,2
1436172604,3,3
1436259004,2,2
1436262604,4,4
1436266204,7,7
1436269804,9,9
1436273404,10,10
1436305804,11,11
1436327404,12,12
1436345405,11,11
1436435404,12,12
1436439004,7,7
1436442605,6,6
1436446204,5,5
1436478604,4,4
1436500204,3,3
1436613604,2,2
1436774704,4,4
1436778304,5,5
1436781904,8,8
1436785504,9,9
1436789104,15,15
1436792704,18,18
1436796304,19,19
1436799904,21,21
1436803504,22,22
1436807103,24,24
1436810705,25,25
1436864704,33,33
1436868304,38,38
1436871904,39,39
1436875504,42,42
1436951104,38,38
1436954703,36,36
1436961903,29,29
1436965504,27,27
1436969103,25,25
1436972703,23,23
1436976303,22,22
1436979904,20,20
1436983503,19,19
1437037504,11,11
1437041104,7,7
1437044704,5,5
1437048304,3,3
1437051904,2,2
1437059104,4,4
1437062704,7,7
1437066304,8,8
1437069904,11,11
1437073504,13,13
1437077104,15,15
1437086105,16,16
1437089704,17,17
1437093304,18,18
1437096904,20,20
1437100504,23,23
1437104104,27,27
1437107704,29,29
1437111304,31,31
1437125705,30,30
1437233704,27,27
1437237304,25,25
1437240904,24,24
1437247205,19,19
1437250805,17,17
1437258005,16,16
1437261605,15,15
1437268805,13,13
1437272405,12,12
1437276005,8,8
1437279605,5,5
1437283205,1,1
1437319205,2,2
1437376806,3,3
1437474005,4,4
1437484805,5,5
1437492005,4,4
1437549604,3,3
1437660305,2,2
1437750305,4,4
1437825905,3,3
1437923104,1,1
1438016704,2,2
1438056304,3,3
1438067104,5,5
1438077904,6,6
1438081504,7,7
1438189504,6,6
1438229104,5,5
1438239904,4,4
1438243504,4,4
1438250704,3,3
1438254304,2,2
1438257904,3,3
1438416304,2,2
1438430704,1,1
1438484705,2,2
1438603504,3,3
1438657504,2,2
1438776304,1,1
1439063404,2,2
1439154304,3,3
1439190304,3,3
1439193904,3,3
1439200204,7,7
1439203804,8,8
1439214604,9,9
1439218204,10,10
1439238005,9,9
1439263204,10,10
1439284805,11,11
1439328005,10,10
1439367606,9,9
1439371206,6,6
1439374806,5,5
1439389206,4,4
1439392806,3,3
1439396406,4,4
1439400007,7,7
1439439607,6,6
1439457608,5,5
1439533209,6,6
1439569210,5,5
1439572809,3,3
1439576409,2,2
1439648411,2,2
1439706010,1,1
1439799612,3,3
1439803211,4,4
1439806811,5,5
1439810411,6,6
1439893212,7,7
1439971514,6,6
1439975114,4,4
1439978713,3,3
1439982314,2,2
1440050716,3,3
1440068717,3,3
1440126319,4,4
1440158721,4,4
1440162323,5,5
1440223523,4,4
1440241523,3,3
1440299125,2,2
1440338726,1,1
1440457530,3,3
1440461131,4,4
1440482731,5,5
1440579934,7,7
1440583534,9,9
1440587134,11,11
1440630335,9,9
1440633935,8,8
1440655536,7,7
1440669937,7,7
1440752738,5,5
1440756338,4,4
1440759938,1,1
1441184747,4,4
1441188345,10,10
1441191945,11,11
1441335951,12,12
1441357553,9,9
1441361153,4,4
1441364753,2,2
1441510558,1,1
1441568159,2,2
1441582559,3,3
1441600560,5,5
1441604160,7,7
1441640160,8,8
1441705862,9,9
1441741863,8,8
1441756262,7,7
1441767062,8,8
1441774263,6,6
1441777862,4,4
1441799464,17,17
1441803063,125,125
1441806663,161,161
1441810263,186,186
1441813863,202,202
1441817463,213,213
1441828262,214,214
1441857062,215,215
1441864266,216,216
1441878666,230,230
1441882266,241,241
1441943466,241,241
1441972267,228,228
1441975867,129,129
1441979467,90,90
1441983067,59,59
1441986667,42,42
1441990267,31,31
1442002867,30,30
1442024467,31,31
1442032567,30,30
1442039767,29,29
1442050567,16,16
1442054167,6,6
1442057767,3,3
1442115367,2,2
1442199067,1,1
1442227868,2,2
1442231468,6,6
1442235068,8,8
1442238668,10,10
1442242268,11,11
1442245868,14,14
1442307069,15,15
1442310669,16,16
1442332269,17,17
