DateTime,AddedIPs,RemovedIPs
1434744970,23335,24273
1434831360,8343,17826
1434917772,6377,11445
1435004171,11296,9652
1435090555,13177,7600
1435176940,11410,9603
1435263391,10873,10681
1435350338,10673,12126
1435437391,9795,13227
1435524338,8697,15953
1435611340,11959,7652
1435698063,12142,7502
1435785049,11156,9751
1435871809,13216,2068
1435958749,35446,12555
1436045798,39197,9513
1436132747,10484,10958
1436220054,13133,8317
1436306792,16348,33690
1436393186,15556,51037
1436479569,9471,9249
1436566801,5858,30366
1436653597,5727,13153
1436740590,12017,11521
1436827095,15043,11471
1436914002,15910,10185
1437000654,17513,14137
1437087094,16071,15319
1437173485,17051,50067
1437259898,40274,30643
1437346299,37286,34539
1437432676,35725,8409
1437519080,16158,6315
1437660682,41996,15778
1437747097,29780,11648
1437833813,12026,10423
1437920411,14255,9836
1438007234,13352,10648
1438094185,15479,8306
1438180865,14724,11334
1438267265,16030,12329
1438353672,43743,10703
1438440364,32035,10747
1438527100,10144,15583
1438613461,11581,51793
1438699898,30325,19551
1438786286,32955,10872
1438948609,20842,29738
1439037386,10679,15213
1439132824,9436,7026
1439219205,14219,4952
1439305624,13201,9456
1439392039,8656,12862
1439478984,7222,14687
1439565992,3368,16387
1439653902,0,15212
1439740289,0,14866
1439826727,0,27172
1439913107,57237,27503
1439999491,37976,48253
1440086765,48262,15482
1440173766,14625,12756
1440260752,13580,30002
1440347758,9355,30756
1440435395,13910,11276
1440522396,18124,13686
1440609406,19633,13863
1440696448,41413,15527
1440783367,25585,14944
1440870900,17916,17229
1440957967,13019,39196
1441045562,15625,32850
1441132569,17604,11559
1441220782,12562,14874
1441307769,15159,34042
1441394763,13827,38281
1441493153,13064,13215
1441580810,12825,15753
1441623665,12717,4127
1441843562,39260,29751
1441930578,15020,13949
1442017584,12743,9600
1442104592,12923,9661
1442191910,12090,12590
1442279191,16462,10759
1442366243,58768,8660
1442453219,20733,10914
