DateTime,Entries,UniqueIPs
1434397228,531036,531036
1434484155,537242,537242
1434572126,23519,23519
1434572126,23519,23519
1434658570,564215,564215
1434658570,564215,564215
1434744970,563277,563277
1434831360,553794,553794
1434917772,548726,548726
1435004171,550370,550370
1435090555,555947,555947
1435176940,557754,557754
1435263391,557946,557946
1435350338,556493,556493
1435437391,553061,553061
1435524338,545805,545805
1435611340,550112,550112
1435698063,554752,554752
1435785049,556157,556157
1435871809,567305,567305
1435958749,590196,590196
1436045798,619880,619880
1436132747,619406,619406
1436220054,624222,624222
1436306792,606880,606880
1436393186,571399,571399
1436479569,571621,571621
1436566801,547113,547113
1436653597,539687,539687
1436740590,540183,540183
1436827095,543755,543755
1436914002,549480,549480
1437000654,552856,552856
1437087094,553608,553608
1437173485,520592,520592
1437259898,530223,530223
1437346299,532970,532970
1437432676,560286,560286
1437519080,570129,570129
1437660682,596347,596347
1437747097,614479,614479
1437833813,616082,616082
1437920411,620501,620501
1438007234,623205,623205
1438094185,630378,630378
1438180865,633768,633768
1438267265,637469,637469
1438353672,670509,670509
1438440364,691797,691797
1438527100,686358,686358
1438613461,646146,646146
1438699898,656920,656920
1438786286,679003,679003
1438948609,670107,670107
1439037386,665573,665573
1439132824,667983,667983
1439132824,667983,667983
1439132824,667983,667983
1439132824,667983,667983
1439219205,677250,677250
1439219205,677250,677250
1439305624,680995,680995
1439392039,676789,676789
1439478984,669324,669324
1439565992,656305,656305
1439565992,656305,656305
1439653902,641093,641093
1439740289,626227,626227
1439826727,599055,599055
1439913107,628789,628789
1439999491,618512,618512
1440086765,651292,651292
1440086765,651292,651292
1440173766,653161,653161
1440260752,636739,636739
1440347758,615338,615338
1440435395,617972,617972
1440522396,622410,622410
1440609406,628180,628180
1440609406,628180,628180
1440696448,654066,654066
1440783367,664707,664707
1440870900,665394,665394
1440957967,639217,639217
1441045562,621992,621992
1441132569,628037,628037
1441220782,625725,625725
1441307769,606842,606842
1441394763,582388,582388
1441493153,582237,582237
1441580810,579309,579309
1441623665,587899,587899
1441843562,597408,597408
1441930578,598479,598479
1442017584,601622,601622
1442104592,604884,604884
1442191910,604384,604384
1442279191,610087,610087
1442366243,660195,660195
