DateTime,AddedIPs,RemovedIPs
1435065423,1,0
1435238222,1,0
1437052622,109,0
1437139022,78,0
1437225422,22,0
1437311822,125,1
1437398222,104,0
1437484622,34,0
1437571023,67,1
1437657425,36,0
1437743823,1,0
1437830225,4,0
1437916623,2,0
1438003023,1,0
1438175822,2,1
1438262223,0,16
1438521425,1,0
1438780622,3,0
1438953423,1,5
1439299023,2,0
1439385427,1,0
1439558226,0,6
1439644623,0,16
1439731022,0,47
1439817423,0,26
1439903823,0,66
1439990222,0,160
1440076623,0,56
1440163023,0,82
1440249422,0,85
1440335822,0,2
1440595023,0,1
1440681422,0,1
1441027023,0,1
1441199823,0,2
1441286222,0,1
1441372622,0,3
1441459022,0,1
1441545422,0,1
1441631822,0,1
1441718225,0,2
1441804623,68,2
1441891024,53,1
1441977423,64,26
1442063827,38,0
1442150223,32,0
1442236623,23,0
1442323023,20,2
1442409422,44,1
