DateTime,AddedIPs,RemovedIPs
1438799423,131,118
1438947023,199,327
1439033423,144,171
1439119823,129,141
1439206222,162,168
1439292621,195,161
1439379023,119,120
1439465433,173,174
1439551836,175,145
1439638229,151,117
1439724636,157,167
1439811023,135,74
1439897425,162,140
1439983875,3585,143
1440070228,200,173
1440158429,215,178
1440244823,211,119
1440331223,162,161
1440417694,189,167
1440504022,1853,146
1440590454,3509,186
1440676830,3367,144
1440763228,3600,166
1440849629,2493,2685
1440936099,3299,189
1441022424,3175,189
1441108824,188,201
1441195253,2326,163
1441281639,4077,195
1441368024,2002,1301
1441454424,189,2590
1441540825,184,2629
1441627226,196,3178
1441713630,673,2406
1441800027,209,3330
1441886423,196,3714
1441972824,198,174
1442059224,169,3222
1442145624,185,5379
1442232029,211,2556
1442318424,200,183
1442404829,136,200
