DateTime,Entries,UniqueIPs
1438713022,1994,1994
1438799423,2007,2007
1438947023,1879,1879
1439033423,1852,1852
1439119823,1840,1840
1439119823,1840,1840
1439119823,1840,1840
1439119823,1840,1840
1439206222,1834,1834
1439206222,1834,1834
1439292621,1868,1868
1439379023,1867,1867
1439465433,1866,1866
1439551836,1896,1896
1439638229,1930,1930
1439638229,1930,1930
1439724636,1920,1920
1439811023,1981,1981
1439897425,2003,2003
1439983875,5445,5445
1440070228,5472,5472
1440158429,5509,5509
1440158429,5509,5509
1440244823,5601,5601
1440331223,5602,5602
1440417694,5624,5624
1440504022,7331,7331
1440590454,10654,10654
1440590454,10654,10654
1440676830,13877,13877
1440763228,17311,17311
1440849629,17119,17119
1440936099,20229,20229
1441022424,23215,23215
1441108824,23202,23202
1441195253,25365,25365
1441281639,29247,29247
1441368024,29948,29948
1441454424,27547,27547
1441540825,25102,25102
1441627226,22120,22120
1441713630,20387,20387
1441800027,17266,17266
1441886423,13748,13748
1441972824,13772,13772
1442059224,10719,10719
1442145624,5525,5525
1442232029,3180,3180
1442318424,3197,3197
