DateTime,Entries,UniqueIPs
1441713602,26214,26214
1441714502,26590,26590
1441715402,26961,26961
1441716303,27315,27315
1441717202,27596,27596
1441718102,27784,27784
1441719002,27914,27914
1441719902,28105,28105
1441720802,28390,28390
1441721702,28586,28586
1441722603,28672,28672
1441723502,28727,28727
1441724403,29017,29017
1441725302,29267,29267
1441726202,29426,29426
1441727102,29621,29621
1441728002,29644,29644
1441728902,29715,29715
1441729802,29766,29766
1441730702,29690,29690
1441731602,29618,29618
1441732502,29543,29543
1441733402,29565,29565
1441734302,29460,29460
1441735202,29299,29299
1441736102,29165,29165
1441737002,29089,29089
1441737902,28980,28980
1441738802,28865,28865
1441739702,28516,28516
1441740602,28370,28370
1441741502,28257,28257
1441742402,28053,28053
1441743302,27871,27871
1441744202,27703,27703
1441745102,27468,27468
1441746002,27151,27151
1441746902,26872,26872
1441747802,26621,26621
1441748702,26282,26282
1441749602,25991,25991
1441750502,25866,25866
1441751402,25692,25692
1441752302,25424,25424
1441753202,25100,25100
1441754102,24651,24651
1441755002,24084,24084
1441755902,24018,24018
1441756802,23872,23872
1441757701,23640,23640
1441758602,23215,23215
1441759502,22920,22920
1441760402,22670,22670
1441761302,22449,22449
1441762201,22157,22157
1441763102,21815,21815
1441764002,21545,21545
1441764902,21203,21203
1441765802,20898,20898
1441766702,20635,20635
1441767601,20380,20380
1441768502,20036,20036
1441769401,19670,19670
1441770302,19346,19346
1441771202,18958,18958
1441772102,18891,18891
1441773002,18712,18712
1441773902,18557,18557
1441774802,18576,18576
1441775702,18689,18689
1441776602,18833,18833
1441777501,18840,18840
1441778402,18972,18972
1441779302,19138,19138
1441780202,19418,19418
1441781102,19544,19544
1441782002,19631,19631
1441782902,19717,19717
1441783801,19786,19786
1441784702,19817,19817
1441785601,19888,19888
1441786501,20282,20282
1441787401,20748,20748
1441788302,21200,21200
1441789202,21689,21689
1441790102,22133,22133
1441791002,22532,22532
1441791902,22791,22791
1441792801,23051,23051
1441793702,23286,23286
1441794602,23496,23496
1441795502,23964,23964
1441796402,24427,24427
1441797302,27326,27326
1441798203,37125,37125
1441799103,37131,37131
1441800003,37111,37111
1441800903,37136,37136
1441801803,37209,37209
1441802703,37179,37179
1441803603,37151,37151
1441804502,37114,37114
1441805402,37038,37038
1441806303,36988,36988
1441807203,36957,36957
1441808102,36954,36954
1441809003,36937,36937
1441809903,36910,36910
1441810803,36916,36916
1441811702,36900,36900
1441812603,36887,36887
1441813503,36883,36883
1441814403,36963,36963
1441815303,36993,36993
1441816202,37060,37060
1441817102,36966,36966
1441818003,36823,36823
1441818903,36758,36758
1441819803,36735,36735
1441820703,36711,36711
1441821602,36655,36655
1441822502,36608,36608
1441823403,36444,36444
1441824302,36316,36316
1441825202,36277,36277
1441826102,36274,36274
1441827002,36280,36280
1441827902,36275,36275
1441828802,36302,36302
1441829702,36289,36289
1441830602,36285,36285
1441831502,36288,36288
1441832403,36280,36280
1441833302,36279,36279
1441834203,36249,36249
1441835102,36244,36244
1441836002,36239,36239
1441836903,36240,36240
1441837803,36223,36223
1441838702,36230,36230
1441839602,36278,36278
1441840502,36206,36206
1441841402,33948,33948
1441842302,24276,24276
1441843202,23981,23981
1441844102,23555,23555
1441845002,23218,23218
