DateTime,AddedIPs,RemovedIPs
1435442706,5,0
1435529106,6,0
1435615506,3,0
1435701924,4134,0
1435788325,6,0
1435874726,4,0
1435961123,5,0
1436047527,4,0
1436133927,6,0
1436306704,1,4147
1436393102,3,6
1436479504,5,4
1436565903,11,7
1436652304,9,5
1436738703,3,7
1436825103,7,2
1436911504,5,0
1436997905,12,3
1437170704,12,16
1437257104,5,9
1437429906,13,10
1437516305,9,5
1437602703,9,11
1437689105,16,4
1437775506,9,7
1437861904,18,6
1437948304,12,5
1438034704,12,6
1438121103,15,13
1438207503,20,10
1438293918,25,16
1438380313,4284,0
1438466713,20,0
1438553115,15,0
