DateTime,Entries,UniqueIPs
1433887503,0,0
1434146704,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434578703,0,0
1434665103,0,0
1435356306,7,7
1435442706,12,12
1435529106,18,18
1435615506,21,21
1435701924,4155,4155
1435788325,4161,4161
1435874726,4165,4165
1435961123,4170,4170
1436047527,4174,4174
1436133927,4180,4180
1436306704,34,34
1436393102,31,31
1436479504,32,32
1436565903,36,36
1436652304,40,40
1436738703,36,36
1436825103,41,41
1436911504,46,46
1436997905,55,55
1437170704,51,51
1437257104,47,47
1437429906,50,50
1437516305,54,54
1437602703,52,52
1437689105,64,64
1437775506,66,66
1437861904,78,78
1437948304,85,85
1438034704,91,91
1438121103,93,93
1438207503,103,103
1438293918,112,112
1438380313,4396,4396
1438466713,4416,4416
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
