DateTime,AddedIPs,RemovedIPs
1434931020,3,9
1434945420,5,8
1434959820,4,10
1434977520,8,9
1434991920,4,28
1435006320,6,15
1435020720,16,25
1435035120,10,10
1435049520,3,4
1435063920,9,8
1435078320,14,9
1435092720,9,9
1435107120,5,3
1435121520,7,5
1435135920,10,11
1435150320,14,7
1435164720,14,6
1435179120,8,7
1435193520,6,4
1435207920,3,8
1435222320,4,9
1435236720,7,14
1435251120,9,2
1435265520,4,17
1435279920,5,10
1435294320,4,10
1435308720,3,22
1435323120,5,17
1435337520,8,7
1435351920,5,13
1435366320,3,22
1435380720,6,39
1435395120,6,19
1435409520,7,17
1435423920,3,11
1435438320,7,10
1435452720,3,7
1435467120,4,12
1435481520,6,11
1435495920,2,10
1435510320,7,7
1435524720,2,4
1435539120,3,9
1435553520,11,20
1435567920,8,21
1435582320,8,7
1435596720,2,10
1435611120,3,7
1435625520,5,6
1435639920,3,8
1435654320,3,8
1435668720,3,6
1435683120,6,7
1435697520,5,5
1435711920,9,5
1435726320,5,3
1435740720,5,5
1435755120,22,10
1435769520,9,9
1435783920,4,9
1435798320,6,6
1435812720,4,5
1435827120,6,6
1435841520,5,22
1435855920,11,24
1435870320,6,51
1435884720,5,86
1435899120,6,13
1435913520,6,11
1435927920,6,6
1435942320,5,11
1435956720,2,22
1435971120,24,11
1435985520,16,18
1435999920,10,16
1436014320,11,14
1436028720,15,7
1436043120,12,1
1436057520,8,5
1436071920,12,5
1436086320,5,11
1436100720,7,9
1436115120,10,8
1436129520,18,5
1436143920,11,4
1436158320,10,4
1436172720,11,10
1436187120,6,7
1436201520,7,9
1436215920,3,11
1436230320,6,3
1436244720,8,5
1436259120,5,3
1436273520,4,4
1436287920,5,5
1436302320,3,10
1436316720,8,1
1436331120,7,9
1436345520,7,9
1436359920,9,3
1436374320,4,7
1436388720,20,10
1436403120,10,4
1436417520,11,10
1436431920,11,6
1436446320,15,5
1436460720,8,6
1436475120,7,13
1436489520,7,15
1436503920,2,6
1436518320,2,8
1436532720,5,11
1436547120,5,4
1436561820,2,5
1436613420,18,18
1436628420,6,6
1436643120,4,7
1436657520,8,6
1436671920,7,4
1436686320,3,4
1436700720,9,9
1436715120,4,11
1436729520,6,5
1436743920,3,20
1436758320,1,15
1436772720,3,8
1436787120,5,6
1436801520,15,3
1436815920,32,6
1436830320,16,5
1436844720,12,6
1436859120,24,3
1436873520,17,9
1436887920,9,19
1436902320,111,8
1436916720,21,9
1436931120,18,4
1436945520,28,5
1436959920,24,2
1436974320,116,7
1436988720,42,18
1437003120,23,10
1437017521,13,10
1437031920,8,8
1437046320,19,45
1437060720,6,13
1437075120,9,25
1437089520,10,8
1437103920,17,4
1437118320,15,12
1437132720,6,18
1437147120,5,19
1437161520,7,5
1437175920,5,7
1437190321,11,12
1437204720,5,7
1437219120,6,31
1437233520,7,20
1437247920,10,12
1437262320,13,15
1437276720,10,9
1437291120,8,5
1437305520,20,10
1437319920,10,16
1437334320,9,21
1437348720,8,10
1437363120,8,11
1437377520,11,17
1437391920,8,15
1437406320,6,16
1437420720,14,6
1437435120,7,10
1437449520,5,10
1437463920,9,10
1437478320,6,7
1437492720,4,7
1437507120,7,3
1437521520,3,11
1437535920,8,4
1437550320,8,3
1437564720,7,3
1437579120,16,0
1437593520,9,7
1437660420,55,60
1437674820,19,12
1437689220,21,7
1437703620,15,1
1437718020,16,14
1437732420,20,14
1437746820,15,9
1437761220,16,17
1437775620,16,9
1437790020,21,8
1437804420,18,9
1437818820,12,8
1437833220,19,9
1437847620,18,15
1437862020,11,9
1437876420,12,4
1437890820,8,7
1437905220,11,7
1437919620,9,4
1437934020,15,9
1437948420,16,9
1437962820,19,7
1437977220,11,6
1437991620,13,4
1438006020,17,7
1438020420,18,2
1438034820,13,8
1438049220,15,3
1438063620,13,7
1438078020,17,3
1438092420,16,3
1438106820,13,7
1438121220,13,6
1438135620,19,6
1438150020,14,6
1438164420,11,6
1438178820,13,7
1438193220,21,3
1438207620,13,3
1438222020,11,1
1438236420,16,8
1438250820,25,7
1438265220,43,2
1438279620,28,5
1438294020,16,4
1438308420,12,7
1438322820,7,4
1438337220,11,5
1438351620,21,53
1438366020,30,8
1438380420,13,7
1438394820,21,0
1438409220,28,10
1438423620,12,8
1438438020,7,8
1438452420,9,8
1438466820,36,5
1438481220,29,5
1438495620,11,10
1438510020,28,9
1438524420,13,4
1438538820,37,3
1438553220,27,7
1438567620,22,18
1438582020,20,14
1438596420,9,14
1438610820,7,13
1438625220,7,8
1438639620,4,12
1438654020,14,10
1438668420,8,12
1438682820,15,11
1438697220,10,9
1438711620,30,18
1438726020,17,24
1438740420,12,16
1438754820,17,22
1438769220,17,10
1438783620,17,11
1438798020,22,18
1438948320,184,137
1438962720,38,16
1438977120,43,29
1438991520,23,29
1439005920,23,22
1439020320,23,14
1439034720,18,10
1439049120,18,8
1439063520,14,10
1439077920,8,5
1439092320,12,4
1439106720,14,5
1439121420,7,3
1439135820,10,3
1439150220,4,3
1439164620,37,6
1439179020,15,5
1439194020,4,11
1439208420,14,5
1439222820,4,6
1439238720,15,9
1439253120,21,2
1439267520,16,5
1439281920,9,3
1439296320,19,11
1439310720,16,3
1439325120,19,3
1439339520,23,3
1439353920,18,4
1439368320,17,9
1439382720,18,4
1439397120,12,26
1439411520,9,29
1439425920,15,12
1439440320,13,12
1439454720,14,20
1439469120,24,22
1439483520,16,3
1439497920,36,19
1439512320,18,11
1439526720,16,14
1439541120,16,11
1439555520,17,43
1439569920,22,118
1439584320,19,16
1439598720,16,18
1439613120,14,13
1439627520,13,13
1439641920,12,15
1439656320,16,4
1439670720,17,7
1439685120,13,14
1439699520,11,12
1439713920,10,7
1439728320,13,6
1439742720,9,10
1439757120,7,10
1439771520,8,3
1439785920,19,7
1439800320,9,6
1439814720,10,7
1439829120,21,8
1439843520,6,12
1439857920,26,14
1439872320,25,9
1439886720,7,8
1439901120,12,2
1439915520,17,3
1439929920,11,3
1439944320,18,11
1439958720,16,7
1439973120,20,8
1439987520,18,5
1440001920,24,11
1440016320,9,10
1440030720,17,5
1440045120,15,11
1440059520,4,7
1440073920,13,8
1440088320,13,10
1440102720,10,7
1440117120,14,4
1440131520,14,6
1440145920,5,9
1440160320,9,10
1440174720,13,13
1440189120,3,5
1440203520,14,10
1440217920,16,8
1440232320,9,13
1440246720,6,14
1440261120,20,16
1440275520,7,22
1440289920,21,14
1440304320,19,13
1440318720,6,17
1440333120,8,20
1440347520,16,9
1440361920,9,20
1440376920,16,18
1440391320,13,17
1440405720,7,14
1440420120,10,19
1440434520,12,19
1440448920,13,12
1440463320,14,10
1440477720,10,10
1440492120,15,13
1440506520,14,15
1440520920,14,15
1440535320,7,13
1440549720,16,18
1440564120,32,12
1440578520,14,13
1440592920,21,15
1440607320,27,20
1440621720,26,12
1440636120,21,16
1440650520,23,15
1440664920,29,9
1440679320,13,18
1440693720,7,11
1440708120,15,15
1440722520,6,6
1440736920,15,13
1440751320,5,11
1440765720,10,17
1440780120,9,26
1440794520,5,8
1440808920,5,17
1440823320,6,12
1440837720,4,20
1440852120,7,34
1440866520,10,35
1440880920,8,17
1440895320,15,12
1440909720,13,12
1440924120,19,13
1440938520,5,16
1440952920,12,27
1440967320,11,16
1440996120,10,35
1441010520,10,15
1441024920,7,10
1441040820,14,9
1441055220,9,22
1441069620,7,30
1441084020,7,11
1441098420,14,22
1441112820,6,22
1441127220,5,29
1441141620,5,27
1441156020,7,16
1441170420,11,20
1441184820,5,17
1441199220,5,8
1441213620,5,4
1441228020,5,3
1441242420,10,12
1441256820,3,7
1441271220,5,15
1441285620,12,9
1441300020,9,29
1441314420,5,18
1441328820,25,14
1441343220,9,11
1441357620,6,18
1441372020,11,16
1441386420,6,27
1441400820,17,14
1441417020,14,26
1441431720,9,24
1441446120,4,14
1441460520,18,17
1441474920,4,24
1441489320,0,14
1441503720,0,17
1441518120,2,9
1441532520,17,17
1441546920,20,21
1441561320,9,36
1441575720,17,27
1441590120,45,19
1441604520,16,23
1441618920,17,17
1441633320,77,12
1441647720,69,35
1441662120,19,24
1441676520,10,16
