DateTime,AddedIPs,RemovedIPs
1434947524,5,0
1434961924,3,0
1434977524,6,0
1434991924,2,0
1435006324,5,0
1435020724,12,0
1435035124,9,0
1435049524,3,0
1435063924,8,0
1435078324,12,0
1435092724,8,0
1435107124,4,0
1435121524,4,0
1435135924,9,0
1435150324,12,0
1435164724,14,1
1435179124,5,0
1435193524,5,0
1435207924,2,0
1435222324,4,0
1435236724,6,0
1435251124,6,0
1435265524,4,0
1435279924,5,0
1435294324,3,0
1435308724,3,0
1435323124,3,0
1435337524,7,0
1435351924,2,0
1435366324,3,0
1435380725,6,0
1435395124,6,0
1435409524,5,0
1435423924,3,0
1435438324,7,0
1435452724,2,0
1435467124,4,0
1435481524,5,0
1435495924,2,0
1435510324,6,0
1435524724,2,0
1435539124,3,0
1435553524,10,0
1435567924,7,0
1435582324,7,0
1435596724,2,0
1435611124,3,0
1435625524,3,0
1435639924,2,0
1435654324,3,0
1435668724,3,0
1435683124,3,0
1435697524,5,0
1435711924,7,0
1435726324,4,0
1435740724,5,0
1435755124,20,0
1435769524,8,0
1435783924,4,0
1435798324,5,0
1435812724,3,0
1435827124,6,0
1435841524,4,0
1435855924,10,0
1435870324,5,0
1435884724,5,0
1435899124,6,0
1435913524,6,0
1435927924,5,0
1435942324,5,1
1435956724,1,0
1435971124,10,0
1435985524,7,0
1435999924,4,0
1436014324,7,0
1436028724,3,0
1436043124,6,0
1436057524,5,0
1436071924,8,0
1436086324,4,0
1436100724,5,0
1436115124,6,0
1436129524,5,0
1436143924,8,0
1436158324,5,0
1436172724,8,0
1436187124,6,0
1436201524,6,0
1436215924,2,0
1436230324,3,0
1436244724,2,0
1436259124,4,0
1436273524,1,0
1436287924,3,0
1436302324,2,0
1436316724,5,0
1436331124,5,0
1436345524,4,0
1436359924,9,0
1436374324,4,0
1436388724,19,0
1436403124,6,0
1436417524,9,0
1436431924,8,0
1436446324,14,0
1436460724,8,0
1436475124,6,0
1436489524,7,0
1436503924,2,0
1436518324,2,0
1436532724,5,0
1436547124,5,0
1436561824,2,0
1436613424,14,0
1436628424,4,0
1436643124,4,0
1436657524,6,0
1436671924,7,0
1436686324,2,0
1436700724,8,0
1436715124,4,0
1436729524,4,0
1436743924,2,0
1436772724,3,0
1436787124,3,0
1436801524,12,0
1436815924,28,0
1436830324,15,0
1436844725,11,0
1436859124,21,0
1436873524,14,0
1436887924,7,0
1436902324,96,0
1436916724,19,0
1436931124,14,0
1436945524,19,0
1436959924,19,0
1436974324,108,0
1436988724,36,0
1437003124,19,0
1437017525,11,0
1437031924,8,0
1437046324,17,0
1437060724,6,2
1437075124,7,0
1437089524,7,0
1437103925,15,0
1437118324,13,0
1437132724,6,0
1437147124,4,0
1437161524,6,0
1437175924,3,0
1437190325,10,0
1437204724,3,0
1437219124,5,0
1437233524,7,0
1437247924,6,0
1437262324,13,0
1437276724,8,0
1437291124,5,0
1437305524,20,0
1437319924,10,0
1437334324,8,0
1437348724,7,0
1437363124,8,0
1437377524,10,1
1437391924,8,0
1437406324,6,0
1437420724,14,0
1437435124,7,0
1437449524,5,0
1437463924,6,0
1437478324,6,0
1437492724,4,0
1437507124,7,0
1437521524,2,0
1437535925,7,0
1437550324,7,0
1437564724,6,0
1437579124,16,0
1437593524,7,0
1437660424,52,0
1437674824,17,0
1437689224,19,0
1437703624,14,0
1437718024,16,0
1437732424,18,0
1437746824,15,0
1437761224,14,0
1437775624,15,0
1437790024,20,0
1437804424,13,0
1437818824,12,0
1437833224,18,0
1437847624,16,0
1437862024,9,0
1437876424,12,0
1437890824,7,0
1437905224,10,0
1437919624,9,0
1437934024,14,0
1437948424,16,0
1437962824,18,0
1437977224,9,0
1437991624,13,0
1438006024,15,0
1438020424,18,0
1438034824,11,0
1438049224,12,0
1438063624,11,0
1438078024,15,0
1438092424,15,0
1438106824,13,0
1438121224,12,0
1438135624,18,0
1438150024,14,1
1438164424,9,0
1438178824,12,0
1438193224,15,0
1438207624,11,0
1438222024,8,0
1438236424,13,0
1438250824,20,0
1438265224,41,0
1438279624,26,0
1438294024,15,0
1438308424,11,0
1438322824,7,0
1438337224,11,0
1438351624,17,0
1438366024,24,0
1438380424,9,0
1438394824,12,0
1438409224,20,0
1438423624,11,0
1438438024,3,0
1438452424,5,0
1438466824,33,0
1438481224,25,0
1438495624,10,0
1438510024,26,0
1438524424,12,0
1438538824,33,0
1438553224,25,0
1438567624,18,0
1438582024,17,0
1438596424,8,0
1438610824,6,1
1438625224,4,0
1438639624,4,0
1438654024,13,0
1438668424,7,0
1438682824,14,0
1438697224,10,0
1438711624,26,0
1438726024,16,0
1438740424,11,0
1438754824,12,1
1438769224,15,0
1438783624,14,0
1438798024,20,0
1438948324,144,0
1438962724,29,0
1438977124,34,0
1438991524,17,0
1439005924,15,0
1439020324,18,0
1439034724,13,1
1439049124,14,0
1439063524,11,0
1439077924,4,0
1439092324,9,0
1439106724,10,0
1439121424,5,0
1439135824,6,0
1439150224,2,0
1439164624,30,0
1439179024,10,0
1439194024,3,0
1439208424,8,0
1439222824,3,0
1439238724,14,0
1439253124,16,0
1439267524,14,0
1439281924,8,0
1439296324,18,0
1439310724,11,0
1439325124,13,0
1439339524,15,0
1439353924,15,0
1439368324,16,0
1439382724,13,0
1439397124,7,0
1439411524,9,0
1439425924,12,0
1439440324,9,0
1439454724,11,0
1439469124,17,0
1439483524,14,0
1439497924,32,0
1439512324,17,0
1439526724,14,0
1439541124,12,0
1439555524,16,0
1439569924,18,0
1439584324,13,1
1439598724,14,0
1439613124,12,0
1439627524,12,0
1439641924,10,0
1439656324,14,0
1439670724,15,0
1439685124,12,0
1439699524,10,0
1439713924,9,0
1439728324,12,0
1439742724,7,0
1439757124,7,0
1439771524,8,0
1439785924,16,0
1439800324,8,0
1439814724,10,0
1439829124,19,0
1439843524,5,0
1439857924,25,0
1439872324,23,0
1439886724,6,0
1439901124,10,0
1439915524,16,0
1439929924,10,0
1439944324,15,0
1439958724,9,0
1439973124,10,0
1439987524,13,0
1440001924,20,0
1440016324,6,0
1440030724,12,0
1440045124,13,0
1440059524,3,0
1440073924,8,0
1440088324,9,0
1440102724,10,0
1440117124,9,0
1440131524,10,0
1440145924,5,0
1440160324,5,0
1440174724,12,0
1440189124,3,0
1440203524,11,0
1440217924,14,0
1440232324,8,0
1440246724,6,0
1440261124,18,0
1440275524,5,0
1440289924,18,0
1440304324,16,0
1440318724,4,0
1440333124,8,0
1440347524,13,0
1440361924,9,0
1440376924,15,0
1440391324,12,0
1440405724,7,0
1440420124,10,0
1440434524,11,0
1440448924,11,0
1440463324,11,0
1440477724,9,0
1440492124,14,0
1440506524,13,0
1440520924,13,0
1440535324,5,0
1440549724,15,0
1440564124,30,0
1440578524,13,0
1440592924,19,0
1440607325,21,1
1440621724,26,1
1440636124,17,0
1440650524,21,0
1440664924,24,1
1440679324,11,0
1440693724,5,0
1440708124,12,0
1440722524,5,0
1440736924,13,0
1440751324,5,0
1440765724,10,0
1440780124,8,0
1440794524,4,0
1440808924,5,0
1440823325,5,0
1440837725,4,0
1440852124,6,0
1440866524,6,0
1440880924,7,0
1440895324,13,0
1440909724,12,0
1440924125,15,0
1440938524,5,0
1440952924,12,0
1440967324,10,0
1440996124,10,0
1441010525,10,0
1441024924,6,0
1441040824,13,0
1441055224,9,0
1441069624,7,0
1441084024,7,0
1441098424,14,0
1441112824,5,0
1441127224,5,0
1441141625,4,0
1441156024,6,0
1441170424,10,0
1441184824,4,0
1441199224,5,0
1441213624,5,0
1441228024,5,0
1441242424,10,0
1441256824,3,0
1441271225,5,0
1441285624,11,0
1441300024,9,0
1441314424,4,0
1441328824,23,0
1441343225,8,0
1441357624,5,0
1441372024,10,0
1441386424,5,0
1441400824,13,0
1441417024,12,0
1441431724,8,0
1441446124,3,0
1441460524,17,0
1441474924,3,0
1441518124,2,0
1441532524,17,0
1441546924,18,0
1441561324,8,0
1441575724,16,0
1441590124,40,0
1441604524,12,0
1441618924,15,0
1441633324,60,0
1441647724,56,0
1441662124,15,0
1441676524,9,0
1441690924,11,0
1441705324,8,0
1441719724,7,1
1441734124,8,0
1441748524,12,0
1441762924,11,0
1441777324,12,0
1441791724,14,0
1441806124,4,0
1441876041,77,0
1441891046,32,0
1441905744,109,0
1441920143,21,0
1441934543,12,0
1441948943,9,0
1441963352,8,0
1441977743,13,0
1441992143,9,0
1442006545,13,0
1442020945,9,0
1442035386,9,0
1442049747,11,0
1442064147,13,0
1442078542,15,0
1442092944,12,0
1442107365,10,0
1442121748,9,0
1442136147,11,0
1442151189,10,0
1442165592,15,0
1442179946,9,0
1442194367,8,0
1442208703,13,0
1442223131,12,0
1442237531,10,0
1442251951,14,0
1442266331,16,0
1442280769,15,0
1442295143,10,0
1442309531,19,0
1442323929,11,0
1442338353,12,0
1442352729,23,0
1442367159,23,0
1442381547,15,0
1442395931,10,0
1442410330,31,0
1442424749,8,0
1442439129,12,0
1442453550,12,0
1442467944,6,0
1442482330,13,0
