DateTime,AddedIPs,RemovedIPs
1440014552,39,38
1440028959,47,48
1440043354,45,46
1440057742,39,48
1440072283,44,39
1440086542,40,45
1440100944,39,37
1440115344,35,43
1440129742,53,42
1440144144,34,41
1440158643,37,31
1440172942,25,46
1440187342,45,44
1440201743,36,43
1440216144,36,35
1440230543,37,43
1440245038,51,47
1440259345,32,34
1440273741,35,39
1440288145,29,47
1440302545,42,33
1440316947,43,37
1440331403,40,33
1440345746,28,37
1440360143,35,42
1440374543,27,32
1440388943,28,41
1440403344,36,46
1440417838,28,24
1440432143,35,38
1440446545,28,32
1440460944,32,47
1440475346,29,38
1440489746,41,35
1440504289,47,29
1440518543,52,37
1440532946,38,35
1440547346,35,24
1440561801,28,38
1440576213,49,29
1440590753,38,37
1440605373,36,28
1440619378,31,29
1440633757,37,29
1440648172,41,54
1440662575,36,51
1440677060,36,38
1440691368,48,35
1440705802,48,40
1440720183,45,24
1440734691,40,48
1440748977,52,33
1440763450,41,38
1440777769,43,31
1440792183,31,29
1440806568,39,41
1440820978,45,38
1440835352,27,42
1440849861,36,47
1440864171,31,52
1440878556,27,50
1440892963,37,41
1440907366,32,51
1440921763,48,42
1440936261,40,42
1440950566,28,27
1440964980,31,41
1440979372,23,40
1440993771,36,28
1441008164,42,30
1441022653,44,43
1441036967,43,25
1441051334,17,39
1441065785,25,34
1441080189,32,48
1441094584,48,41
1441109247,37,24
1441123547,36,32
1441137739,29,29
1441152145,30,46
1441166561,41,55
1441181045,30,34
1441195448,29,42
1441209789,32,17
1441224165,33,28
1441238573,42,39
1441252946,40,45
1441267367,55,29
1441281859,41,28
1441296188,31,28
1441310581,44,27
1441324968,38,42
1441339377,39,67
1441353776,45,30
1441368285,48,32
1441382588,38,30
1441396965,37,36
1441411372,26,50
1441425776,42,51
1441440180,53,38
1441454660,51,33
1441468983,37,32
1441483375,43,40
1441497775,36,54
1441512177,47,46
1441526576,39,37
1441541111,43,30
1441555392,39,28
1441569776,85,26
1441584185,40,55
1441598572,49,53
1441612973,45,50
1441627485,46,39
1441641779,49,41
1441656191,44,45
1441670593,36,44
1441684988,53,44
1441699369,45,50
1441713877,41,42
1441728181,36,48
1441742583,39,44
1441756951,24,51
1441771399,65,40
1441785778,44,50
1441800338,56,49
1441814634,50,40
1441829153,47,40
1441843652,44,56
1441857762,39,49
1441872161,51,35
1441886705,48,38
1441900972,41,38
1441915369,40,33
1441929738,44,57
1441944161,52,44
1441958574,57,48
1441973185,39,62
1441987527,66,43
1442001799,52,38
1442016180,37,44
1442030585,44,52
1442044982,52,49
1442059536,51,37
1442073789,47,41
1442088186,29,42
1442102572,49,54
1442116976,33,46
1442131372,47,53
1442145889,42,48
1442160196,57,56
1442174566,62,41
1442188978,55,44
1442203372,39,49
1442217766,45,51
1442232281,37,42
1442246589,40,29
1442260982,43,55
1442275371,52,47
1442289783,36,46
1442304179,47,44
1442318595,47,49
1442332978,36,56
1442347363,35,47
1442361946,42,44
1442376150,51,52
1442390551,40,43
1442404956,52,35
1442419353,48,42
1442433739,49,40
1442448134,50,38
1442462580,45,48
1442476936,48,44
1442491336,47,47
