DateTime,Entries,UniqueIPs
1440000131,601,601
1440014552,602,602
1440028959,601,601
1440043354,600,600
1440057742,591,591
1440072283,596,596
1440086542,591,591
1440100944,593,593
1440115344,585,585
1440129742,596,596
1440144144,589,589
1440158643,595,595
1440158643,595,595
1440172942,574,574
1440187342,575,575
1440201743,568,568
1440216144,569,569
1440230543,563,563
1440245038,567,567
1440259345,565,565
1440273741,561,561
1440288145,543,543
1440302545,552,552
1440316947,558,558
1440331403,565,565
1440345746,556,556
1440360143,549,549
1440374543,544,544
1440388943,531,531
1440403344,521,521
1440417838,525,525
1440432143,522,522
1440446545,518,518
1440460944,503,503
1440475346,494,494
1440489746,500,500
1440504289,518,518
1440518543,533,533
1440532946,536,536
1440547346,547,547
1440561801,537,537
1440576213,557,557
1440590753,558,558
1440605373,566,566
1440619378,568,568
1440633757,576,576
1440648172,563,563
1440662575,548,548
1440662575,548,548
1440677060,546,546
1440691368,559,559
1440705802,567,567
1440720183,588,588
1440734691,580,580
1440748977,599,599
1440763450,602,602
1440777769,614,614
1440792183,616,616
1440806568,614,614
1440820978,621,621
1440835352,606,606
1440849861,595,595
1440864171,574,574
1440878556,551,551
1440892963,547,547
1440907366,528,528
1440921763,534,534
1440936261,532,532
1440950566,533,533
1440964980,523,523
1440979372,506,506
1440993771,514,514
1441008164,526,526
1441022653,527,527
1441036967,545,545
1441051334,523,523
1441065785,514,514
1441080189,498,498
1441094584,505,505
1441109247,518,518
1441123547,522,522
1441137739,522,522
1441152145,506,506
1441166561,492,492
1441181045,488,488
1441195448,475,475
1441209789,490,490
1441224165,495,495
1441238573,498,498
1441252946,493,493
1441267367,519,519
1441281859,532,532
1441296188,535,535
1441310581,552,552
1441324968,548,548
1441339377,520,520
1441353776,535,535
1441368285,551,551
1441382588,559,559
1441396965,560,560
1441411372,536,536
1441425776,527,527
1441440180,542,542
1441454660,560,560
1441468983,565,565
1441483375,568,568
1441497775,550,550
1441512177,551,551
1441526576,553,553
1441541111,566,566
1441555392,577,577
1441569776,636,636
1441584185,621,621
1441598572,617,617
1441612973,612,612
1441627485,619,619
1441641779,627,627
1441656191,626,626
1441670593,618,618
1441684988,627,627
1441699369,622,622
1441713877,621,621
1441728181,609,609
1441742583,604,604
1441756951,577,577
1441771399,602,602
1441785778,596,596
1441800338,603,603
1441814634,613,613
1441829153,620,620
1441843652,608,608
1441857762,598,598
1441872161,614,614
1441886705,624,624
1441900972,627,627
1441915369,634,634
1441929738,621,621
1441944161,629,629
1441958574,638,638
1441973185,615,615
1441987527,638,638
1442001799,652,652
1442016180,645,645
1442030585,637,637
1442044982,640,640
1442059536,654,654
1442073789,660,660
1442088186,647,647
1442102572,642,642
1442116976,629,629
1442131372,623,623
1442145889,617,617
1442160196,618,618
1442174566,639,639
1442188978,650,650
1442203372,640,640
1442217766,634,634
1442232281,629,629
1442246589,640,640
1442260982,628,628
1442275371,633,633
1442289783,623,623
1442304179,626,626
1442318595,624,624
1442332978,604,604
1442347363,592,592
1442361946,590,590
1442376150,589,589
