DateTime,AddedIPs,RemovedIPs
1439368588,1,0
1439376852,1,1
1439380817,1,1
1439384947,2,2
1439387123,1,1
1439389104,1,1
1439391254,1,1
1439393228,1,1
1439395217,1,1
1439397391,1,1
1439399348,1,1
1439411789,1,1
1439413746,1,1
1439422026,1,1
1439424019,1,1
1439432305,1,1
1439434449,1,1
1439436425,1,1
1439438425,1,1
1439440592,1,1
1439442545,1,1
1439444719,1,1
1439446708,1,1
1439448850,1,2
1439450826,2,1
1439452819,1,1
1439465227,1,1
1439467237,1,1
1439469393,0,1
1439471349,2,1
1439473520,1,1
1439475504,1,1
1439477653,1,1
1439479627,1,1
1439481620,1,1
1439485748,1,1
1439487919,1,1
1439494026,1,1
1439496023,1,1
1439500149,1,1
1439502323,1,1
1439506449,1,1
1439508426,1,1
1439510421,1,1
1439512594,1,1
1439514547,1,1
1439522825,1,1
1439524823,1,2
1439526992,1,0
1439528946,0,1
1439531124,2,1
1439533112,1,1
1439535250,1,1
1439539222,1,1
1439541395,1,1
1439547505,1,1
1439549650,1,1
1439551626,1,1
1439555779,1,1
1439557749,1,1
1439559908,1,1
1439561892,1,1
1439568007,1,1
1439570182,1,1
1439572152,1,1
1439574310,0,1
1439576302,1,0
1439578454,1,1
1439580428,1,1
1439582410,1,1
1439584583,1,1
1439588709,0,1
1439594827,1,0
1439605092,1,1
1439607250,1,1
1439621648,1,1
1439623626,1,1
1439625611,1,1
1439627783,1,1
1439629752,1,1
1439631906,1,2
1439633895,2,1
1439636052,1,1
1439638025,1,1
1439642182,1,1
1439649368,0,0
1439653507,0,1
1439655493,2,1
1439657649,1,1
1439663773,1,1
1439665750,1,1
1439667911,1,1
1439669891,1,1
1439674027,1,1
1439676009,1,1
1439684291,1,1
1439686451,1,2
1439688428,1,1
1439690408,1,1
1439692567,2,1
1439694530,1,1
1439698689,0,1
1439700850,1,0
1439711108,1,1
1439713113,1,1
1439715250,1,1
1439717228,1,1
1439725508,1,1
1439729652,1,1
1439731630,1,1
1439737752,1,1
1439739910,1,1
1439752149,0,1
1439754309,1,0
1439762410,1,1
1439764570,1,1
1439768707,1,1
1439770691,1,1
1439776809,1,1
1439778972,1,1
1439787253,1,1
1439791209,1,1
1439793373,1,1
1439795351,1,1
1439799672,1,1
1439801650,1,1
1439811908,1,1
1439813903,1,1
1439818026,1,1
1439820011,1,1
1439826309,0,1
1439828293,2,1
