DateTime,Entries,UniqueIPs
1439350030,13,13
1439352016,13,13
1439354189,13,13
1439358318,13,13
1439360305,13,13
1439364426,13,13
1439366418,12,12
1439368588,13,13
1439376852,13,13
1439380817,13,13
1439384947,13,13
1439387123,13,13
1439389104,13,13
1439391254,13,13
1439393228,13,13
1439395217,13,13
1439397391,13,13
1439399348,13,13
1439411789,13,13
1439413746,13,13
1439422026,13,13
1439424019,13,13
1439432305,13,13
1439434449,13,13
1439436425,13,13
1439438425,13,13
1439440592,13,13
1439442545,13,13
1439444719,13,13
1439446708,13,13
1439448850,12,12
1439450826,13,13
1439452819,13,13
1439465227,13,13
1439467237,13,13
1439469393,12,12
1439471349,13,13
1439473520,13,13
1439475504,13,13
1439477653,13,13
1439479627,13,13
1439481620,13,13
1439485748,13,13
1439487919,13,13
1439494026,13,13
1439496023,13,13
1439500149,13,13
1439502323,13,13
1439506449,13,13
1439508426,13,13
1439510421,13,13
1439512594,13,13
1439514547,13,13
1439522825,13,13
1439524823,12,12
1439526992,13,13
1439528946,12,12
1439531124,13,13
1439533112,13,13
1439535250,13,13
1439539222,13,13
1439541395,13,13
1439547505,13,13
1439549650,13,13
1439551626,13,13
1439555779,13,13
1439557749,13,13
1439559908,13,13
1439561892,13,13
1439568007,13,13
1439570182,13,13
1439572152,13,13
1439574310,12,12
1439576302,13,13
1439578454,13,13
1439580428,13,13
1439582410,13,13
1439584583,13,13
1439588709,12,12
1439594827,13,13
1439605092,13,13
1439607250,13,13
1439621648,13,13
1439623626,13,13
1439625611,13,13
1439627783,13,13
1439629752,13,13
1439631906,12,12
1439633895,13,13
1439636052,13,13
1439638025,13,13
1439642182,13,13
1439649368,13,13
1439653507,12,12
1439655493,13,13
1439657649,13,13
1439663773,13,13
1439665750,13,13
1439667911,13,13
1439669891,13,13
1439674027,13,13
1439676009,13,13
1439684291,13,13
1439686451,12,12
1439688428,12,12
1439690408,12,12
1439692567,13,13
1439694530,13,13
1439698689,12,12
1439700850,13,13
1439711108,13,13
1439713113,13,13
1439715250,13,13
1439717228,13,13
1439725508,13,13
1439729652,13,13
1439731630,13,13
1439737752,13,13
1439739910,13,13
1439752149,12,12
1439754309,13,13
1439762410,13,13
1439764570,13,13
1439768707,13,13
1439770691,13,13
1439776809,13,13
1439778972,13,13
1439787253,13,13
1439791209,13,13
1439793373,13,13
1439795351,13,13
1439799672,13,13
1439801650,13,13
1439811908,13,13
1439813903,13,13
1439818026,13,13
1439820011,13,13
1439826309,12,12
1439828293,13,13
1439830451,13,13
1439834407,12,12
1439836573,13,13
1439842694,13,13
1439844852,13,13
1439846826,13,13
1439848809,13,13
1439852950,13,13
1439855110,13,13
1439859253,12,12
1439861234,13,13
1439863208,13,13
1439873651,13,13
1439875627,13,13
1439888049,13,13
1439890027,13,13
1439894171,13,13
1439898309,13,13
1439902449,13,13
1439904428,13,13
1439937723,11,11
1439939749,12,12
1439946023,13,13
1439962586,11,11
1439964548,13,13
1439970854,12,12
1439972829,13,13
1439981128,12,12
1439983113,13,13
1440005775,12,12
1440007754,13,13
1440009914,12,12
1440011894,12,12
1440014054,12,12
1440016028,13,13
1440018012,12,12
1440019929,13,13
1440030430,12,12
1440032314,13,13
1440079750,12,12
1440081916,13,13
1440094148,12,12
1440096317,13,13
1440122948,12,12
1440125117,13,13
1440127099,12,12
1440129246,11,11
1440131228,12,12
1440133213,13,13
1440147612,11,11
1440149769,13,13
1440151753,12,12
1440153916,12,12
1440155895,13,13
1440160577,13,13
1440168846,12,12
1440170838,13,13
1440207920,12,12
1440209891,13,13
1440212057,12,12
1440214030,13,13
1440226447,12,12
1440228433,13,13
1440238691,12,12
1440240847,13,13
1440246981,12,12
1440248949,13,13
1440288012,12,12
1440290182,13,13
1440294319,12,12
1440296296,13,13
1440314828,12,12
1440316813,13,13
1440335317,12,12
1440337127,12,12
1440338952,13,13
1440347229,12,12
1440349219,13,13
1440353361,12,12
1440355518,13,13
1440373754,12,12
1440376032,13,13
1440388820,12,12
1440390971,13,13
1440395119,12,12
1440399250,13,13
1440440833,12,12
1440442822,13,13
1440488175,12,12
1440490152,13,13
1440494298,12,12
1440496451,12,12
1440498433,13,13
1440512833,12,12
1440514812,13,13
1440523096,13,13
1440527232,13,13
1440577123,11,11
1440581235,13,13
1440656291,12,12
1440658447,12,12
1440660431,13,13
1440668512,13,13
1440673748,12,12
1440698414,11,11
1440700578,12,12
1440710829,11,11
1440712814,12,12
1440738019,11,11
1440740172,12,12
1440770969,11,11
1440773123,12,12
1440781219,11,11
1440783377,12,12
1440835750,11,11
1440837927,12,12
1440854293,11,11
1440856453,12,12
1440860414,11,11
1440862567,12,12
1440866727,9,9
1440868694,12,12
1440876976,11,11
1440878948,11,11
1440881135,10,10
1440883091,12,12
1440889214,11,11
1440891366,12,12
1440901629,11,11
1440903613,10,10
1440905767,12,12
1440907757,11,11
1440909925,12,12
1440914048,11,11
1440916027,10,10
1440918014,11,11
1440920168,12,12
1440922151,11,11
1440924325,12,12
1440926144,11,11
1440928446,10,10
1440930430,11,11
1440934457,10,10
1440936549,11,11
1440940695,10,10
1440942848,11,11
1440944827,10,10
1440946811,11,11
1440948967,10,10
1440950953,10,10
1440953127,11,11
1440957247,10,10
1440959228,11,11
1440961216,9,9
1440963368,11,11
1440965349,10,10
1440967525,9,9
1440969491,11,11
1440971646,10,10
1440974992,9,9
1440977229,11,11
1440996346,10,10
1440998298,11,11
1441031231,10,10
1441033221,11,11
1441045110,10,10
1441047223,11,11
1441053379,10,10
1441055370,11,11
1441057519,10,10
1441059520,11,11
1441065629,9,9
1441067780,11,11
1441071921,10,10
1441073916,11,11
1441084181,9,9
1441086329,11,11
1441094453,8,8
1441096573,11,11
1441098565,10,10
1441100720,11,11
1441104853,10,10
1441106833,11,11
1441112965,12,12
1441115123,11,11
1441117094,11,11
1441119251,12,12
1441123226,11,11
1441125373,11,11
1441127371,12,12
1441133651,8,8
1441135634,11,11
1441137623,12,12
1441139779,11,11
1441141765,12,12
1441143918,11,11
1441146088,10,10
1441148053,11,11
1441150036,12,12
1441154187,11,11
1441156166,12,12
1441158320,11,11
1441160309,12,12
1441162451,11,11
1441164435,10,10
1441166421,10,10
1441168576,8,8
1441170585,11,11
1441172725,12,12
1441174695,10,10
1441176851,10,10
1441178835,10,10
1441180826,8,8
1441182972,12,12
1441184969,11,11
1441187119,10,10
1441189099,11,11
1441191255,12,12
1441193232,10,10
1441195221,10,10
1441197372,9,9
1441199365,12,12
1441203499,11,11
1441205651,12,12
1441211774,8,8
1441213765,10,10
1441215919,11,11
1441217899,12,12
1441220051,11,11
1441222035,12,12
1441228165,9,9
1441230322,12,12
1441232333,10,10
1441234452,11,11
1441236435,12,12
1441240287,11,11
1441242578,11,11
1441244723,12,12
1441250831,11,11
1441252822,12,12
1441254977,10,10
1441256973,10,10
1441259123,11,11
1441261097,9,9
1441263253,9,9
1441265232,11,11
1441267222,10,10
1441269375,11,11
1441271366,9,9
1441273522,10,10
1441275502,12,12
1441283782,11,11
1441285765,12,12
1441296029,10,10
1441298176,12,12
1441300165,10,10
1441302322,10,10
1441304325,10,10
1441306451,12,12
1441310428,10,10
1441312575,11,11
1441314566,12,12
1441322837,11,11
1441324831,12,12
1441333100,10,10
1441335252,12,12
1441345520,11,11
1441347497,10,10
1441349652,11,11
1441351633,11,11
1441353624,12,12
1441355775,11,11
1441357765,12,12
1441366030,11,11
1441368021,8,8
1441370173,11,11
1441372164,12,12
1441374324,11,11
1441376296,12,12
1441378451,10,10
1441380435,12,12
1441382423,10,10
1441384572,12,12
1441413376,11,11
1441417073,11,11
1441418955,12,12
1441428360,11,11
1441430305,12,12
1441435044,10,10
1441437067,11,11
1441439701,12,12
1441446329,11,11
1441448299,12,12
1441456577,11,11
1441458556,12,12
1441460730,12,12
1441468825,10,10
1441470975,11,11
1441472958,10,10
1441475126,11,11
1441477220,12,12
1441491541,11,11
1441493649,12,12
1441533621,11,11
1441535772,12,12
1441548024,11,11
1441550170,12,12
1441552162,11,11
1441554320,12,12
1441591233,11,11
1441593412,12,12
1441630452,11,11
1441632435,12,12
1441642697,10,10
1441644634,12,12
1441649915,11,11
1441652046,12,12
1441660148,11,11
1441662325,12,12
1441726186,11,11
1441728035,12,12
1441752845,11,11
1441754829,12,12
1441849516,11,11
1441851492,12,12
1441857624,11,11
1441859774,12,12
1441861748,11,11
1441863917,12,12
1441915217,11,11
1441917369,11,11
1441919348,12,12
1441956427,11,11
1441958416,12,12
1441993520,11,11
1441995586,12,12
1441997646,11,11
1442003127,12,12
1442044575,11,11
1442046431,11,11
1442048418,11,11
1442050578,12,12
1442077235,11,11
1442079376,12,12
1442095754,11,11
1442097922,12,12
1442132833,11,11
1442134816,12,12
1442143094,11,11
1442145246,12,12
1442151656,11,11
1442153953,12,12
1442257752,11,11
1442259922,12,12
1442274320,11,11
1442276294,12,12
1442278455,11,11
1442280436,12,12
1442300956,11,11
1442303117,12,12
1442319510,11,11
