DateTime,AddedIPs,RemovedIPs
1437317660,0,30
1437330044,31,0
1437408016,0,23
1437420431,26,0
1437494414,0,30
1437506831,23,0
1437584956,0,20
1437593236,22,0
1437668842,0,31
1437681262,37,0
1437759392,0,30
1437767662,37,0
1437845794,0,35
1437854062,39,0
1437932182,0,31
1437944415,27,0
1438022191,0,34
1438034430,33,0
1438108636,0,26
1438120850,24,0
1438194982,0,23
1438211363,33,0
1438285520,0,29
1438301359,30,0
1438370311,0,39
1438390823,30,0
1438456710,0,35
1438477223,34,0
1438546161,0,38
1438566858,33,0
1438636703,0,31
1438653264,36,0
1438722570,0,31
1438743265,28,0
1438948584,21,50
1438993651,0,26
1439038834,23,0
1439080057,0,35
1439132877,21,0
1439170039,0,34
1439220435,19,0
1439255365,0,34
1439308837,25,0
1439345914,0,40
1439399363,19,0
1439411804,0,17
1439489917,36,0
1439580488,15,0
1439642199,0,23
1439647149,0,0
1439667924,27,0
1439729115,0,20
1439757394,31,0
1439823255,0,19
1439843795,31,0
1439913628,0,20
1440419781,34,145
1440444440,0,39
1440510316,42,0
1440600851,43,0
1440666557,0,0
1440688160,40,0
1440766447,0,39
1440775171,35,0
1440865090,36,0
1440955097,33,0
1441045120,28,0
1441114035,0,37
1441134553,28,0
1441204569,0,30
1441225102,34,0
1441290971,0,41
1441311502,37,0
1441378817,0,36
1441399049,35,0
1441469897,0,36
1441486456,42,0
1441559899,0,29
1441576023,34,0
1441648706,0,33
1441664835,26,0
1441738466,0,33
1441754840,32,0
1441828450,0,29
1441844834,30,0
1441914860,0,33
1441931236,31,0
1442003175,0,37
1442019257,40,0
1442089668,0,35
1442106033,31,0
1442180196,0,36
1442196562,30,0
1442266591,0,28
1442287094,31,0
1442357730,0,31
1442374031,26,0
1442448049,0,24
