DateTime,AddedIPs,RemovedIPs
1437330044,46,46
1437420431,42,42
1437506831,35,35
1437593236,37,37
1437681262,47,47
1437767662,42,42
1437854062,45,45
1437944415,42,42
1438034430,43,43
1438120850,40,40
1438211363,42,42
1438301359,40,40
1438390823,40,40
1438477223,44,44
1438566858,42,42
1438653264,47,47
1438743265,44,44
1438948584,39,39
1439038834,40,40
1439132877,33,33
1439220435,30,30
1439308837,37,37
1439399363,41,41
1439489917,44,44
1439580488,45,45
1439647149,0,0
1439667924,39,39
1439757394,41,41
1439843795,41,41
1439913628,0,0
1440419781,43,43
1440510316,43,43
1440600851,45,45
1440666557,0,0
1440688160,46,46
1440775171,42,42
1440865090,41,41
1440955097,39,39
1441045120,40,40
1441134553,37,37
1441225102,39,39
1441311502,45,45
1441399049,45,45
1441486456,47,47
1441576023,47,47
1441664835,36,36
1441754840,41,41
1441844834,39,39
1441931236,43,43
1442019257,49,49
1442106033,45,45
1442196562,45,45
1442287094,43,43
1442374031,44,44
