DateTime,AddedIPs,RemovedIPs
1437305276,46,46
1437391635,49,49
1437478048,44,44
1437564437,46,46
1437660837,49,49
1437734731,48,48
1437821126,45,45
1437908073,45,45
1437993400,49,49
1438079798,45,45
1438166190,47,47
1438252592,46,46
1438349796,49,49
1438427911,48,48
1438513764,44,44
1438599612,47,47
1438686017,46,46
1438772072,47,47
1438948586,49,49
1439030734,43,43
1439118557,43,43
1439204058,48,48
1439292448,48,48
1439378841,48,48
1439465239,44,44
1439551642,46,46
1439638038,49,49
1439647152,0,0
1439724985,45,45
1439810832,44,44
1439897237,49,49
1439913630,0,0
1440419782,50,50
1440506178,47,47
1440592573,47,47
1440666558,0,0
1440680052,47,47
1440766448,45,45
1440852853,46,46
1440938731,49,49
1441027634,45,45
1441114036,49,49
1441200431,46,46
1441286837,49,49
1441370720,43,43
1441457663,48,48
1441543521,45,45
1441632454,47,47
1441718359,47,47
1441804157,45,45
1441890018,49,49
1441976422,45,45
1442064985,44,44
1442151832,47,47
1442237795,41,41
1442324714,49,49
