DateTime,AddedIPs,RemovedIPs
1437255956,0,30
1437260099,33,0
1437346463,22,29
1437432852,0,26
1437436810,35,0
1437519261,0,35
1437523210,29,0
1437660826,27,27
1437689367,0,29
1437693510,35,0
1437775791,0,35
1437779905,27,0
1437866308,26,24
1437948568,0,29
1437952695,24,0
1438038556,28,20
1438120843,0,32
1438124957,37,0
1438211355,25,31
1438297224,0,31
1438301353,28,0
1438386868,25,22
1438473260,17,24
1438558582,11,22
1438640824,0,13
1438644979,26,0
1438730834,29,23
1438948578,27,59
1438989509,27,0
1439071787,0,27
1439075908,8,0
1439161756,0,8
1439165913,25,0
1439251222,25,24
1439337622,31,24
1439420057,0,33
1439424023,31,0
1439510424,29,28
1439592856,0,32
1439596818,27,0
1439647143,0,0
1439680152,0,27
1439684298,23,0
1439769607,18,17
1439852057,0,24
1439856021,28,0
1439913623,0,28
1440419777,33,33
1440506175,33,0
1440592570,26,29
1440666555,0,0
1440675925,0,30
1440680050,32,0
1440762328,0,32
1440766445,33,0
1440852850,27,29
1440938729,25,29
1441023526,34,27
1441106301,0,34
1441110016,29,0
1441196310,0,29
1441200428,32,0
1441282716,0,32
1441286835,33,0
1441370717,30,31
1441449368,0,32
1441457660,28,0
1441543518,22,26
1441628366,0,24
1441632450,26,0
1441718355,25,20
1441804154,26,30
1441890014,31,24
1441972453,0,34
1441976418,28,0
1442060846,0,28
1442064981,25,0
1442147249,0,25
1442151827,23,0
1442237792,24,19
1442320574,0,28
1442324711,30,0
1442407018,0,30
1442411121,30,0
