DateTime,AddedIPs,RemovedIPs
1437346463,26,26
1437436810,35,35
1437523210,29,29
1437660826,29,29
1437693510,35,35
1437779905,27,27
1437866308,29,29
1437952695,24,24
1438038556,32,32
1438124957,37,37
1438211355,31,31
1438301353,28,28
1438386868,31,31
1438473260,24,24
1438558582,13,13
1438644979,26,26
1438730834,32,32
1438948578,33,33
1438989509,27,27
1439075908,8,8
1439165913,25,25
1439251222,26,26
1439337622,33,33
1439424023,31,31
1439510424,32,32
1439596818,27,27
1439647143,0,0
1439684298,23,23
1439769607,24,24
1439856021,28,28
1439913623,0,0
1440419777,33,33
1440506175,33,33
1440592570,30,30
1440666555,0,0
1440680050,32,32
1440766445,33,33
1440852850,31,31
1440938729,27,27
1441023526,34,34
1441110016,29,29
1441200428,32,32
1441286835,33,33
1441370717,32,32
1441457660,28,28
1441543518,24,24
1441632450,26,26
1441718355,31,31
1441804154,27,27
1441890014,34,34
1441976418,28,28
1442064981,25,25
1442151827,23,23
1442237792,28,28
1442324711,30,30
