DateTime,Entries,UniqueIPs
1437247816,1196,1250
1437301135,1164,1217
1437305270,1194,1249
1437387496,1161,1212
1437391629,1184,1239
1437473896,1152,1206
1437478042,1182,1240
1437560296,1151,1209
1437564431,1190,1250
1437660830,1191,1251
1437730587,1159,1216
1437734724,1189,1247
1437816990,1147,1204
1437821120,1181,1241
1437903928,1140,1199
1437908067,1179,1239
1437989240,1151,1207
1437997541,1184,1245
1438079792,1150,1209
1438083923,1186,1245
1438166184,1149,1208
1438170315,1187,1247
1438252586,1157,1216
1438256717,1196,1255
1438337895,1161,1218
1438349790,1201,1260
1438423770,1168,1225
1438427905,1203,1263
1438509861,1173,1229
1438513757,1214,1271
1438595656,1184,1241
1438599606,1221,1280
1438682054,1186,1245
1438686012,1224,1285
1438772066,1216,1278
1438948580,1174,1241
1439030729,1176,1239
1439118552,1174,1236
1439165916,1199,1199
1439190559,1199,1199
1439194717,1199,1199
1439200204,1199,1199
1439204052,1237,1237
1439238870,1237,1237
1439288315,1196,1196
1439292443,1232,1232
1439374711,1198,1198
1439378835,1237,1237
1439461113,1202,1202
1439465233,1242,1242
1439547513,1205,1205
1439551635,1242,1242
1439633902,1201,1201
1439638033,1237,1237
1439647146,1237,1237
1439720827,1204,1204
1439724979,1242,1242
1439806696,1203,1203
1439810827,1240,1240
1439897232,1242,1242
1439913625,1131,1131
1440419779,1047,1047
1440497893,1008,1008
1440506176,1050,1050
1440588431,1005,1005
1440592571,1040,1040
1440666556,1040,1040
1440675926,1043,1043
1440762329,1045,1045
1440848717,1044,1044
1440930975,1006,1006
1440934826,1043,1043
1441019352,999,999
1441023527,1042,1042
1441102151,998,998
1441110017,1041,1041
1441188062,1002,1002
1441196311,1043,1043
1441274414,1003,1003
1441282717,1048,1048
1441361906,1003,1003
1441370719,1041,1041
1441399048,1003,1003
1441457661,1043,1043
1441543519,1084,1084
1441620549,1044,1044
1441632452,1085,1085
1441710030,1053,1053
1441718356,1096,1096
1441796058,1064,1064
1441804155,1097,1097
1441881923,1058,1058
1441890015,1099,1099
1441968318,1060,1060
1441976419,1093,1093
1442056705,1053,1053
1442064983,1093,1093
1442143101,1056,1056
1442151829,1096,1096
1442229491,1059,1059
1442237793,1094,1094
1442316432,1054,1054
1442324712,1091,1091
