DateTime,AddedIPs,RemovedIPs
1437301135,0,44
1437305270,36,0
1437387496,0,40
1437391629,42,0
1437473896,0,39
1437478042,45,0
1437560296,0,43
1437564431,44,0
1437660830,42,43
1437734724,38,40
1437821120,42,44
1437908067,43,41
1437993392,0,45
1437997541,44,0
1438079792,0,41
1438083923,44,0
1438166184,0,41
1438170315,44,0
1438207220,0,45
1438256717,44,0
1438337895,0,47
1438349790,47,0
1438423770,0,39
1438427905,47,0
1438509861,0,43
1438513757,45,0
1438599606,46,47
1438686012,44,42
1438772066,42,44
1438948580,47,88
1439030729,40,46
1439118552,37,46
1439204052,43,46
1439288315,0,42
1439292443,41,0
1439374711,0,47
1439378835,42,0
1439411802,0,45
1439465233,44,0
1439551635,39,0
1439633902,0,41
1439638033,42,0
1439647146,0,0
1439720827,0,37
1439724979,43,0
1439806696,0,36
1439810827,42,0
1439897232,42,44
1439913625,0,128
1440419779,43,130
1440502032,0,49
1440506176,46,0
1440592571,41,0
1440666556,0,0
1440675926,46,0
1440762329,42,0
1440766446,0,43
1440848717,43,0
1440934826,41,0
1441023527,45,0
1441110017,45,40
1441196311,43,41
1441278549,0,43
1441282717,47,0
1441370719,42,47
1441453525,0,38
1441457661,42,0
1441535780,0,42
1441543519,43,0
1441624696,0,45
1441632452,47,0
1441714158,0,45
1441718356,46,0
1441800018,0,45
1441804155,39,0
1441886049,0,45
1441890015,45,0
1441968318,0,47
1441976419,40,0
1442060847,0,41
1442064983,42,0
1442147250,0,40
1442151829,43,0
1442233640,0,45
1442237793,37,0
1442320575,0,43
