DateTime,Entries,UniqueIPs
1440344508,1584,1584
1440352310,1777,1777
1440367314,2214,2214
1440373912,2439,2439
1440381716,2649,2649
1440389509,2795,2795
1440397907,2982,2982
1440404506,3064,3064
1440411712,3188,3188
1440419502,3289,3289
1440426708,3368,3368
1440433910,3595,3595
1440441107,3673,3673
1440448911,3779,3779
1440457318,4046,4046
1440464505,4114,4114
1440471711,4241,4241
1440480116,4329,4329
1440488506,4423,4423
1440496910,4513,4513
1440504704,4560,4560
1440514304,4637,4637
1440522104,4759,4759
1440529906,4797,4797
1440538308,4853,4853
1440544912,4982,4982
1440552714,5053,5053
1440560519,5109,5109
1440567712,5179,5179
1440574315,5245,5245
1440582118,5280,5280
1440589321,5323,5323
1440598311,5386,5386
1440607310,5601,5601
1440616305,5641,5641
1440624731,5697,5697
1440631309,5794,5794
1440638508,5846,5846
1440645704,5889,5889
1440653513,5928,5928
1440660702,5951,5951
1440667302,5993,5993
1440667302,5993,5993
1440675108,6030,6030
1440682308,6055,6055
1440689507,6098,6098
1440696104,6173,6173
1440703300,6206,6206
1440710500,6224,6224
1440717104,6329,6329
1440724909,6365,6365
1440732109,6402,6402
1440740510,6436,6436
1440747104,6459,6459
1440754314,6491,6491
1440761514,6524,6524
1440768109,6543,6543
1440775312,6585,6585
1440782508,6624,6624
1440789706,6650,6650
1440796905,6667,6667
1440804108,6794,6794
1440811306,6835,6835
1440818505,6858,6858
1440826306,6891,6891
1440832906,6911,6911
1440840108,6942,6942
1440847912,6968,6968
1440855108,6995,6995
1440862315,7038,7038
1440868909,7062,7062
1440876707,7082,7082
1440883300,7096,7096
1440889903,7251,7251
1440897109,7271,7271
1440902506,7297,7297
1440910318,7325,7325
1440916914,7351,7351
1440924720,7390,7390
1440932517,7410,7410
1440939709,7435,7435
1440947510,7457,7457
1440955916,7573,7573
1440962505,7600,7600
1440969706,7614,7614
1440976910,7767,7767
1440984710,7796,7796
1440991902,7844,7844
1441000305,7884,7884
1441008104,7909,7909
1441014708,7938,7938
1441021897,7964,7964
1441029105,7995,7995
1441035704,8021,8021
1441042905,8059,8059
1441050701,8094,8094
1441057304,8102,8102
1441064497,8195,8195
1441071704,8214,8214
1441080099,8242,8242
1441086701,8293,8293
1441093902,8314,8314
1441101113,8345,8345
1441108307,8365,8365
1441114908,8402,8402
1441122108,8423,8423
1441129907,8465,8465
1441136502,8477,8477
1441143104,8490,8490
1441148502,8522,8522
1441153898,8541,8541
1441159295,8556,8556
1441165901,8586,8586
1441174310,8608,8608
1441179702,8620,8620
1441187508,8632,8632
1441194104,8645,8645
1441203704,8667,8667
1441210302,8698,8698
1441218110,8746,8746
1441226506,8763,8763
1441234909,8781,8781
1441241506,8801,8801
1441249306,8823,8823
1441255911,8861,8861
1441263114,8892,8892
1441271505,8913,8913
1441280507,8934,8934
1441287708,8952,8952
1441294301,8973,8973
1441301507,9118,9118
1441308109,9136,9136
1441315904,9149,9149
1441324299,9166,9166
1441330900,9186,9186
1441338100,9207,9207
1441345896,9249,9249
1441352499,9265,9265
1441359710,9273,9273
1441367507,9299,9299
1441374698,9315,9315
1441381902,9367,9367
1441388498,9511,9511
1441394507,9530,9530
1441401106,9539,9539
1441413105,9569,9569
1441418506,9588,9588
1441424511,9629,9629
1441430511,9648,9648
1441437710,9664,9664
1441444315,9680,9680
1441452113,9696,9696
1441459913,9734,9734
1441467114,9752,9752
1441473709,9866,9866
1441480904,9878,9878
1441487503,9901,9901
1441494703,9947,9947
1441501312,9966,9966
1441507908,9992,9992
1441514512,10009,10009
1441521712,10027,10027
1441527114,10037,10037
1441534316,10057,10057
1441542115,10077,10077
1441549314,10091,10091
1441555914,10236,10236
1441563713,10248,10248
1441570905,10261,10261
1441578111,10293,10293
1441584712,10322,10322
1441590712,10336,10336
1441598513,10370,10370
1441605716,10381,10381
1441612910,10393,10393
1441620115,10404,10404
1441626703,10416,10416
1441633307,10436,10436
1441641111,10509,10509
1441648918,10862,10862
1441657917,10895,10895
1441666921,10913,10913
1441674719,11003,11003
1441683718,11185,11185
1441692113,11247,11247
1441701718,11264,11264
1441712513,11330,11330
1441719117,11349,11349
1441728118,11559,11559
1441737720,11714,11714
1441748513,11798,11798
1441758723,11922,11922
1441766519,12019,12019
1441777323,12115,12115
1441788719,12149,12149
1441798315,12184,12184
1441806119,12223,12223
1441815715,12262,12262
1441824115,12288,12288
1441833112,12315,12315
1441842107,12352,12352
1441861308,12561,12561
1441870910,12577,12577
1441880508,12602,12602
1441888306,12627,12627
1441895514,12641,12641
1441902716,12663,12663
1441908717,12671,12671
1441914713,12692,12692
1441922517,12719,12719
1441929717,12771,12771
1441936918,12777,12777
1441945321,12885,12885
1441954315,12901,12901
1441962116,12918,12918
1441969921,12948,12948
1441978909,12973,12973
1441987311,13026,13026
1441994510,13047,13047
1442002312,13065,13065
1442009512,13106,13106
1442018513,13124,13124
1442024516,13142,13142
1442031719,13254,13254
1442040119,13279,13279
1442049117,13303,13303
1442055717,13322,13322
1442063513,13339,13339
1442072513,13359,13359
1442080913,13395,13395
1442087511,13421,13421
1442095316,13430,13430
1442101916,13451,13451
1442109109,13465,13465
1442116324,13495,13495
1442124119,13582,13582
1442131319,13609,13609
1442137925,13620,13620
1442145710,13646,13646
1442152908,13656,13656
1442159508,13674,13674
1442167310,13702,13702
1442181709,13713,13713
1442188309,13725,13725
1442194911,13736,13736
1442202710,13771,13771
1442211112,13921,13921
1442221319,13935,13935
1442229717,13947,13947
1442238116,13984,13984
1442246507,14012,14012
1442254312,14029,14029
1442262712,14043,14043
1442270512,14052,14052
1442278314,14075,14075
1442284921,14092,14092
1442293315,14112,14112
1442299917,14130,14130
1442308315,14143,14143
1442317324,14243,14243
1442326314,14268,14268
1442332913,14278,14278
1442340112,14300,14300
1442347311,14315,14315
1442353908,14339,14339
1442361712,14370,14370
1442368913,14385,14385
1442375515,14396,14396
1442383915,14414,14414
1442391709,14431,14431
1442398914,14504,14504
1442406718,14519,14519
1442414509,14540,14540
1442424108,14576,14576
1442432515,14610,14610
1442440911,14633,14633
1442447513,14640,14640
1442454706,14657,14657
1442461911,14680,14680
1442470312,14705,14705
