DateTime,AddedIPs,RemovedIPs
1440352310,193,165
1440367314,438,376
1440373912,251,148
1440381716,239,239
1440389509,196,232
1440397907,259,288
1440404506,152,195
1440411712,234,231
1440419502,170,252
1440426708,180,153
1440433910,341,227
1440441107,158,163
1440448911,224,238
1440457318,426,262
1440464505,182,172
1440471711,271,172
1440480116,237,363
1440488506,230,252
1440496910,259,318
1440504704,144,204
1440514304,225,308
1440522104,265,250
1440529906,148,204
1440538308,233,219
1440544912,296,211
1440552714,237,176
1440560519,226,187
1440567712,215,213
1440574315,197,261
1440582118,213,223
1440589321,187,215
1440598311,247,297
1440607310,367,237
1440616305,174,236
1440624731,245,307
1440631309,189,206
1440638508,201,188
1440645704,194,165
1440653513,287,206
1440660702,196,208
1440667302,166,206
1440675108,184,231
1440682308,135,173
1440689507,178,210
1440696104,204,145
1440703300,192,204
1440710500,171,183
1440717104,249,146
1440724909,257,178
1440732109,198,156
1440740510,229,285
1440747104,145,186
1440754314,170,176
1440761514,181,230
1440768109,127,162
1440775312,241,197
1440782508,149,167
1440789706,203,207
1440796905,173,170
1440804108,266,157
1440811306,211,202
1440818505,169,127
1440826306,210,237
1440832906,157,135
1440840108,197,234
1440847912,180,233
1440855108,169,175
1440862315,183,211
1440868909,111,137
1440876707,163,223
1440883300,155,152
1440889903,303,186
1440897109,165,127
1440902506,178,121
1440910318,252,214
1440916914,181,164
1440924720,252,252
1440932517,149,189
1440939709,165,224
1440947510,168,230
1440955916,258,200
1440962505,178,217
1440969706,158,152
1440976910,332,187
1440984710,250,227
1440991902,189,190
1441000305,246,267
1441008104,142,264
1441014708,128,192
1441021897,173,210
1441029105,167,184
1441035704,180,202
1441042905,172,145
1441050701,216,181
1441057304,124,142
1441064497,255,196
1441071704,231,193
1441080099,194,154
1441086701,217,193
1441093902,145,165
1441101113,209,230
1441108307,159,240
1441114908,156,189
1441122108,163,188
1441129907,174,169
1441136502,172,196
1441143104,127,142
1441148502,187,143
1441153898,136,86
1441159295,196,141
1441165901,184,120
1441174310,235,299
1441179702,108,132
1441187508,192,233
1441194104,137,148
1441203704,186,339
1441210302,118,159
1441218110,226,235
1441226506,143,203
1441234909,205,254
1441241506,179,143
1441249306,263,157
1441255911,197,132
1441263114,297,232
1441271505,174,185
1441280507,230,277
1441287708,131,204
1441294301,169,198
1441301507,260,155
1441308109,182,214
1441315904,150,193
1441324299,168,220
1441330900,137,130
1441338100,230,185
1441345896,178,154
1441352499,224,187
1441359710,151,130
1441367507,219,207
1441374698,135,137
1441381902,216,234
1441388498,287,141
1441394507,158,164
1441401106,150,155
1441408251,0,1749
1441413105,1769,0
1441418506,210,118
1441424511,130,88
1441430511,208,182
1441437710,153,155
1441444315,196,190
1441452113,133,164
1441459913,195,223
1441467114,161,260
1441473709,198,139
1441480904,155,243
1441487503,120,123
1441494703,234,179
1441501312,162,127
1441507908,187,179
1441514512,185,157
1441521712,187,162
1441527114,129,108
1441534316,191,214
1441542115,192,230
1441549314,120,200
1441555914,281,178
1441563713,133,165
1441570905,207,204
1441578111,189,159
1441584712,261,171
1441590712,188,110
1441598513,271,208
1441605716,159,225
1441612910,154,205
1441620115,172,249
1441626703,122,188
1441633307,191,207
1441641111,183,146
1441648918,451,132
1441657917,201,190
1441666921,247,201
1441674719,272,266
1441683718,349,293
1441692113,254,231
1441701718,204,250
1441712513,254,430
1441719117,147,191
1441728118,384,253
1441737720,344,235
1441748513,298,255
1441758723,394,450
1441766519,345,240
1441777323,327,222
1441788719,318,425
1441798315,224,401
1441806119,187,272
1441815715,201,235
1441824115,232,222
1441833112,247,234
1441842107,270,231
1441861308,742,439
1441870910,215,288
1441880508,210,397
1441888306,171,252
1441895514,141,152
1441902716,180,222
1441908717,235,142
1441914713,210,129
1441922517,264,189
1441929717,285,170
1441936918,173,201
1441945321,310,225
1441954315,208,372
1441962116,191,202
1441969921,182,231
1441978909,194,286
1441987311,237,202
1441994510,191,174
1442002312,218,232
1442009512,210,179
1442018513,205,225
1442024516,210,175
1442031719,308,198
1442040119,236,237
1442049117,198,211
1442055717,173,201
1442063513,173,270
1442072513,191,226
1442080913,209,246
1442087511,173,139
1442095316,193,270
1442101916,167,176
1442109109,200,226
1442116324,197,139
1442124119,331,228
1442131319,227,162
1442137925,192,225
1442145710,236,209
1442152908,136,221
1442159508,189,174
1442167310,172,173
1442181709,320,320
1442188309,198,177
1442194911,197,118
1442202710,295,187
1442211112,326,179
1442221319,263,292
1442229717,178,319
1442238116,214,262
1442246507,164,197
1442254312,178,215
1442262712,224,247
1442270512,134,192
1442278314,255,154
1442284921,190,139
1442293315,238,204
1442299917,254,201
1442308315,216,265
1442317324,287,261
1442326314,174,273
1442332913,170,215
1442340112,154,209
