DateTime,Entries,UniqueIPs
1440344508,1584,1584
1440352310,1612,1612
1440367314,1674,1674
1440373912,1777,1777
1440381716,1777,1777
1440389509,1741,1741
1440397907,1712,1712
1440404506,1669,1669
1440411712,1672,1672
1440419502,1590,1590
1440426708,1617,1617
1440433910,1731,1731
1440441107,1726,1726
1440448911,1712,1712
1440457318,1876,1876
1440464505,1886,1886
1440471711,1985,1985
1440480116,1859,1859
1440488506,1837,1837
1440496910,1778,1778
1440504704,1718,1718
1440514304,1635,1635
1440522104,1650,1650
1440529906,1594,1594
1440538308,1608,1608
1440544912,1693,1693
1440552714,1754,1754
1440560519,1793,1793
1440567712,1795,1795
1440574315,1731,1731
1440582118,1721,1721
1440589321,1693,1693
1440598311,1643,1643
1440607310,1773,1773
1440616305,1711,1711
1440624731,1649,1649
1440631309,1632,1632
1440638508,1645,1645
1440645704,1674,1674
1440653513,1755,1755
1440660702,1743,1743
1440667302,1703,1703
1440667302,1703,1703
1440675108,1656,1656
1440682308,1618,1618
1440689507,1586,1586
1440696104,1645,1645
1440703300,1633,1633
1440710500,1621,1621
1440717104,1724,1724
1440724909,1803,1803
1440732109,1845,1845
1440740510,1789,1789
1440747104,1748,1748
1440754314,1742,1742
1440761514,1693,1693
1440768109,1658,1658
1440775312,1702,1702
1440782508,1684,1684
1440789706,1680,1680
1440796905,1683,1683
1440804108,1792,1792
1440811306,1801,1801
1440818505,1843,1843
1440826306,1816,1816
1440832906,1838,1838
1440840108,1801,1801
1440847912,1748,1748
1440855108,1742,1742
1440862315,1714,1714
1440868909,1688,1688
1440876707,1628,1628
1440883300,1631,1631
1440889903,1748,1748
1440897109,1786,1786
1440902506,1843,1843
1440910318,1881,1881
1440916914,1898,1898
1440924720,1898,1898
1440932517,1858,1858
1440939709,1799,1799
1440947510,1737,1737
1440955916,1795,1795
1440962505,1756,1756
1440969706,1762,1762
1440976910,1907,1907
1440984710,1930,1930
1440991902,1929,1929
1441000305,1908,1908
1441008104,1786,1786
1441014708,1722,1722
1441021897,1685,1685
1441029105,1668,1668
1441035704,1646,1646
1441042905,1673,1673
1441050701,1708,1708
1441057304,1690,1690
1441064497,1749,1749
1441071704,1787,1787
1441080099,1827,1827
1441086701,1851,1851
1441093902,1831,1831
1441101113,1810,1810
1441108307,1729,1729
1441114908,1696,1696
1441122108,1671,1671
1441129907,1676,1676
1441136502,1652,1652
1441143104,1637,1637
1441148502,1681,1681
1441153898,1731,1731
1441159295,1786,1786
1441165901,1850,1850
1441174310,1786,1786
1441179702,1762,1762
1441187508,1721,1721
1441194104,1710,1710
1441203704,1557,1557
1441210302,1516,1516
1441218110,1507,1507
1441226506,1447,1447
1441234909,1398,1398
1441241506,1434,1434
1441249306,1540,1540
1441255911,1605,1605
1441263114,1670,1670
1441271505,1659,1659
1441280507,1612,1612
1441287708,1539,1539
1441294301,1510,1510
1441301507,1615,1615
1441308109,1583,1583
1441315904,1540,1540
1441324299,1488,1488
1441330900,1495,1495
1441338100,1540,1540
1441345896,1564,1564
1441352499,1601,1601
1441359710,1622,1622
1441367507,1634,1634
1441374698,1632,1632
1441381902,1614,1614
1441388498,1760,1760
1441394507,1754,1754
1441401106,1749,1749
1441408251,0,0
1441413105,1769,1769
1441418506,1861,1861
1441424511,1903,1903
1441430511,1929,1929
1441437710,1927,1927
1441444315,1933,1933
1441452113,1902,1902
1441459913,1874,1874
1441467114,1775,1775
1441473709,1834,1834
1441480904,1746,1746
1441487503,1743,1743
1441494703,1798,1798
1441501312,1833,1833
1441507908,1841,1841
1441514512,1869,1869
1441521712,1894,1894
1441527114,1915,1915
1441534316,1892,1892
1441542115,1854,1854
1441549314,1774,1774
1441555914,1877,1877
1441563713,1845,1845
1441570905,1848,1848
1441578111,1878,1878
1441584712,1968,1968
1441590712,2046,2046
1441598513,2109,2109
1441605716,2043,2043
1441612910,1992,1992
1441620115,1915,1915
1441626703,1849,1849
1441633307,1833,1833
1441641111,1870,1870
1441648918,2189,2189
1441657917,2200,2200
1441666921,2246,2246
1441674719,2252,2252
1441683718,2308,2308
1441692113,2331,2331
1441701718,2285,2285
1441712513,2109,2109
1441719117,2065,2065
