DateTime,AddedIPs,RemovedIPs
1437256878,596,0
1437265877,314,0
1437275478,261,0
1437286881,221,0
1437297684,126,0
1437307281,138,0
1437316278,112,0
1437325880,174,0
1437336075,120,0
1437343883,123,0
1437351077,78,0
1437361276,94,0
1437370276,86,0
1437379872,140,0
1437389477,257,0
1437400273,111,0
1437411681,147,0
1437456671,326,0
1437466277,77,0
1437474079,91,0
1437484276,71,0
1437494476,178,0
1437502875,101,0
1437511873,61,0
1437520875,256,0
1437531078,128,0
1437543077,101,0
1437553875,99,0
1437563475,60,0
1437572476,88,0
1437582076,346,0
1437653485,302,0
1437664882,76,0
1437674482,143,0
1437682880,82,0
1437691281,257,0
1437701473,94,0
1437711076,61,0
1437722474,94,0
1437733276,55,0
1437744080,96,0
1437754283,116,0
1437764479,88,0
1437772882,42,0
1437781883,152,0
1437792081,75,0
1437804082,95,0
1437815481,81,0
1437824483,42,0
1437835880,104,0
1437845483,116,0
1437853887,43,0
1437862888,59,0
1437871885,75,0
1437881485,57,0
1437891682,61,0
1437902486,65,0
1437912086,76,0
1437921687,46,0
1437933689,185,0
1437942084,36,0
1437951088,61,0
1437960688,43,0
1437969685,72,0
1437980489,52,0
1437990692,55,0
1438000885,43,0
1438009890,85,0
1438018893,78,0
1438029088,90,0
1438036881,290,0
1438047678,65,0
1438057282,78,0
1438068680,79,0
1438077687,55,0
1438087886,77,0
1438099285,62,0
1438110084,65,0
1438118482,40,0
1438127485,233,0
1438137680,58,0
1438148480,56,0
1438159881,94,0
1438181482,119,0
1438191680,228,0
1438200681,52,0
1438208479,33,0
1438217476,53,0
1438227680,81,0
1438239086,54,0
1438249890,41,0
1438259491,42,0
1438267880,41,0
1438275684,205,0
1438289478,72,0
1438303876,62,0
1438317672,77,0
1438324881,42,0
1438332676,23,0
1438346481,52,0
1438356676,51,0
1438368675,75,0
1438381281,106,0
1438395079,65,0
1438407682,65,0
1438422083,61,0
1438434080,32,0
1438444279,51,0
1438455683,71,0
1438465880,35,0
1438477284,53,0
1438488687,44,0
1438503080,43,0
1438513284,37,0
1438524079,28,0
1438534879,42,0
1438545082,31,0
1438556484,89,0
1438567890,41,0
1438578684,39,0
1438590681,56,0
1438600884,22,0
1438611683,50,0
1438622486,66,0
1438634485,40,0
1438647086,168,0
1438661487,87,0
1438675887,58,0
1438690285,39,0
1438701081,62,0
1438722689,98,0
1438730489,175,0
1438744883,55,0
1438759287,69,0
1438773687,76,0
1438787489,30,0
1438795288,103,0
1438945890,256,0
1438957292,49,0
1438969295,111,0
1438983693,104,0
1438992097,169,0
1439006495,71,0
1439020288,47,0
1439034690,55,0
1439048492,45,0
1439059294,45,0
1439072493,156,0
1439086288,46,0
1439094089,34,0
1439101292,27,0
1439110285,51,0
1439124090,14,0
1439134894,43,0
1439148688,58,0
1439160696,98,0
1439172098,55,0
1439185294,73,0
1439192490,26,0
1439201490,28,0
1439214690,45,0
1439229087,62,0
1439242890,54,0
1439255498,94,0
1439262694,28,0
1439270492,15,0
1439277695,19,0
1439291497,51,0
1439298685,21,0
1439307091,38,0
1439321487,77,0
1439334086,99,0
1439347287,59,0
1439361091,70,0
1439374897,55,0
1439382684,31,0
1439396492,64,0
1439404289,34,0
1439412095,23,0
1439421087,65,0
1439434295,45,0
1439448100,41,0
1439462498,49,0
1439476894,47,0
1439484097,56,0
1439491893,29,0
1439506298,109,0
1439520698,48,0
1439535092,88,0
1439549500,38,0
1439563894,51,0
1439571691,48,0
1439578891,16,0
1439587897,26,0
1439596299,55,0
1439603493,25,0
1439617899,54,0
1439626897,26,0
1439635295,30,0
1439644290,21,0
1439652691,36,0
1439666495,53,0
1439680299,101,0
1439694701,28,0
1439704298,42,0
1439713294,27,0
1439721693,36,0
1439728901,25,0
1439742698,52,0
1439757102,34,0
1439770906,88,0
1439778704,24,0
1439787098,18,0
1439794899,27,0
1439805097,21,0
1439818896,37,0
1439826100,37,0
1439834499,26,0
1439848294,43,0
1439862092,132,158
1439870496,28,140
1439884891,59,64
1439898096,51,73
1439905895,28,70
1439913691,54,64
1439928102,217,46
1439941898,144,42
1439949099,10,124
1439958101,94,59
1439967701,38,72
1439976099,25,93
1439983895,36,75
1439998299,57,84
1440011501,34,0
1440023500,109,0
1440034896,52,0
1440049298,56,322
1440057701,30,75
1440071495,56,0
1440078692,31,161
1440093096,110,66
1440107496,38,49
1440121901,134,150
1440129696,38,107
1440144104,52,109
1440157901,41,65
1440172297,62,131
1440186702,55,0
1440201103,101,296
1440208898,34,0
1440223299,61,0
1440237095,45,0
1440251498,38,0
1440265895,50,135
1440273094,23,30
1440280902,69,48
1440294102,74,67
1440302498,22,175
1440316293,43,0
1440322909,23,169
1440331299,12,0
1440344497,38,67
1440352296,26,63
1440359508,0,41
1440373900,157,56
1440381702,19,51
1440389497,16,83
1440397895,47,88
1440411701,44,87
1440419488,16,60
1440433898,166,57
1440441095,21,29
1440448898,20,59
1440457305,188,58
1440471698,70,54
1440480099,41,59
1440488494,35,63
1440496896,35,55
1440504692,17,62
1440514290,37,69
1440522092,77,65
1440529895,16,0
1440538296,15,48
1440552702,127,55
1440560507,23,55
1440574303,47,66
1440582106,20,157
1440589307,25,0
1440598297,37,54
1440607297,197,41
1440616293,16,74
1440624698,21,49
1440638496,111,71
1440645691,32,95
1440653496,16,104
1440667290,34,82
1440675095,15,80
1440689495,40,69
1440703289,78,101
1440717091,97,93
1440724894,19,61
1440732096,26,113
1440740499,25,108
1440754296,27,0
1440768097,33,167
1440782495,57,66
1440796892,24,75
1440811293,143,135
1440818491,15,208
1440832893,39,0
1440840096,18,342
1440847899,18,0
1440862298,45,602
1440876694,30,1962
1440889891,156,354
1440902494,28,135
1440916902,41,69
1440924706,29,233
1440932503,17,0
1440939694,16,53
1440947494,15,56
1440955902,112,0
1440969692,27,76
1440984696,167,71
1440991888,43,57
1441000291,34,91
1441014692,42,64
1441029091,44,42
1441042889,48,43
1441057292,29,42
1441071692,98,38
1441080086,23,104
1441093888,51,0
1441108295,37,47
1441122096,47,67
1441136491,41,35
1441148489,31,46
1441159283,32,71
1441165889,24,0
1441179690,29,51
1441194093,21,44
1441203691,19,122
1441218098,68,70
1441226495,12,47
1441234898,11,68
1441249294,35,0
1441263094,60,82
1441271494,19,62
1441280494,18,87
1441294289,32,0
1441308095,159,119
1441315892,9,31
1441324285,16,70
1441338089,33,104
1441352488,49,150
1441359694,5,177
1441367491,17,0
1441381890,62,102
1441394493,158,235
1441418492,42,0
1441430497,51,0
1441444301,27,0
