DateTime,Entries,UniqueIPs
1437248480,2347,3643
1437256878,2722,4239
1437265877,2988,4553
1437275478,3194,4814
1437286881,3381,5035
1437297684,3503,5161
1437307281,3632,5299
1437316278,3735,5411
1437325880,3904,5585
1437336075,4019,5705
1437343883,4138,5828
1437351077,4216,5906
1437361276,4309,6000
1437370276,4393,6086
1437379872,4531,6226
1437389477,4773,6483
1437400273,4879,6594
1437411681,5015,6741
1437456671,5331,7067
1437466277,5404,7144
1437474079,5488,7235
1437484276,5555,7306
1437494476,5732,7484
1437502875,5832,7585
1437511873,5893,7646
1437520875,6116,7902
1437531078,6238,8030
1437543077,6336,8131
1437553875,6433,8230
1437563475,6490,8290
1437572476,6577,8378
1437582076,6902,8724
1437653485,7186,9026
1437664882,7260,9102
1437674482,7398,9245
1437682880,7479,9327
1437691281,7733,9584
1437701473,7825,9678
1437711076,7885,9739
1437722474,7975,9833
1437733276,8027,9888
1437744080,8122,9984
1437754283,8235,10100
1437764479,8321,10188
1437772882,8363,10230
1437781883,8501,10382
1437792081,8574,10457
1437804082,8664,10552
1437815481,8742,10633
1437824483,8784,10675
1437835880,8884,10779
1437845483,8998,10895
1437853887,9041,10938
1437862888,8947,10841
1437871885,8890,10786
1437881485,8851,10750
1437891682,8818,10721
1437902486,8882,10788
1437912086,8781,10687
1437921687,8753,10661
1437933689,8869,10782
1437942084,8856,10770
1437951088,8869,10782
1437960688,8814,10724
1437969685,8814,10723
1437980489,8777,10686
1437990692,8726,10634
1438000885,8686,10591
1438009890,8663,10568
1438018893,8741,10649
1438029088,8829,10743
1438036881,9116,11039
1438047678,9186,11109
1438057282,8908,10814
1438068680,8993,10899
1438077687,8973,10871
1438087886,8943,10841
1438099285,8922,10820
1438110084,8919,10818
1438118482,8811,10719
1438127485,8940,10852
1438137680,8878,10788
1438148480,8807,10720
1438159881,8826,10741
1438170687,8737,10651
1438181482,8789,10709
1438191680,9011,10944
1438200681,8706,10629
1438208479,8745,10668
1438217476,8804,10731
1438227680,8892,10820
1438239086,8952,10880
1438249890,8998,10926
1438259491,9047,10975
1438267880,8919,10845
1438275684,9127,11056
1438289478,9164,11094
1438303876,9091,11018
1438317672,9113,11039
1438324881,8905,10830
1438332676,8935,10860
1438346481,8915,10841
1438356676,8899,10824
1438368675,8925,10850
1438381281,8999,10924
1438395079,8941,10868
1438407682,8923,10849
1438422083,8898,10824
1438434080,8780,10703
1438444279,8781,10703
1438455683,8825,10747
1438465880,8802,10723
1438477284,8802,10723
1438488687,8718,10640
1438503080,8701,10619
1438513284,8681,10599
1438524079,8645,10558
1438534879,8615,10527
1438545082,8590,10501
1438556484,8625,10535
1438567890,8545,10451
1438578684,8507,10412
1438590681,8475,10384
1438600884,8408,10316
1438611683,8404,10312
1438622486,8423,10330
1438634485,8388,10291
1438647086,8401,10319
1438661487,8394,10310
1438675887,8349,10263
1438690285,8210,10121
1438701081,8215,10127
1438722689,8175,10090
1438730489,8272,10223
1438744883,8263,10215
1438759287,8101,10041
1438773687,8198,10140
1438787489,8061,9983
1438795288,8042,9943
1438945890,5795,6022
1438957292,5797,6024
1438969295,5856,6100
1438983693,5869,6131
1438992097,5897,6215
1439006495,5915,6238
1439020288,5877,6199
1439034690,5876,6194
