DateTime,AddedIPs,RemovedIPs
1436754098,613,680
1436770295,501,658
1436784098,490,658
1436797892,454,494
1436809894,684,473
1436823691,462,452
1436837501,493,463
1436850693,442,596
1436864500,481,461
1436877095,432,512
1436889690,371,512
1436902289,444,517
1436912487,433,264
1436924498,686,328
1436937101,562,475
1436953297,418,755
1436978492,733,1114
1436991692,467,478
1437004293,674,428
1437016895,464,430
1437040887,677,990
1437051683,363,393
1437061882,288,340
1437072086,327,297
1437081091,330,306
1437089485,469,231
1437099685,279,271
1437111686,401,432
1437121281,302,386
1437131489,261,328
1437142282,265,353
1437153084,421,352
1437162680,297,308
1437174685,504,389
1437187287,414,419
1437196882,301,322
1437207686,336,373
1437217884,275,305
1437228679,325,404
1437238280,282,304
1437256878,596,504
1437265877,341,228
1437275478,301,261
1437286881,331,405
1437297684,198,393
1437307281,280,301
1437316278,246,277
1437325880,326,259
1437336075,249,311
1437343883,272,203
1437351077,218,182
1437361276,271,292
1437370276,248,264
1437379872,283,290
1437389477,384,304
1437400273,281,274
1437411681,300,380
1437456671,834,759
1437466277,249,380
1437474079,207,237
1437484276,203,295
1437494476,360,332
1437502875,302,244
1437511873,206,199
1437520875,502,250
1437531078,333,307
1437543077,293,381
1437553875,260,399
1437563475,190,298
1437572476,288,277
1437582076,556,240
1437653485,827,982
1437664882,269,310
1437674482,331,302
1437682880,312,188
1437691281,440,223
1437701473,324,287
1437711076,227,278
1437722474,289,438
1437733276,280,383
1437744080,308,300
1437754283,311,334
1437764479,314,276
1437772882,271,290
1437781883,403,235
1437792081,273,283
1437804082,388,401
1437815481,274,378
1437824483,227,267
1437835880,330,364
1437845483,392,304
1437853887,247,198
1437862888,329,287
1437871885,330,303
1437881485,295,277
1437891682,294,276
1437902486,260,331
1437912086,226,375
1437921687,242,344
1437933689,476,447
1437942084,253,230
1437951088,325,252
1437960688,324,253
1437969685,274,273
1437980489,396,307
1437990692,240,343
1438000885,219,355
1438009890,257,263
1438018893,271,240
1438029088,353,291
1438036881,480,227
1438047678,343,289
1438057282,283,343
1438068680,299,427
1438077687,263,318
1438087886,284,289
1438099285,319,304
1438110084,358,375
1438118482,267,238
1438127485,449,230
1438137680,307,307
1438148480,347,422
1438159881,347,439
1438181482,537,654
1438191680,464,302
1438200681,257,275
1438208479,197,269
1438217476,230,257
1438227680,380,345
1438239086,295,330
1438249890,287,315
1438259491,277,398
1438267880,179,753
1438275684,321,890
1438289478,288,1422
1438303876,286,554
1438317672,297,325
1438324881,173,204
1438332676,172,221
1438346481,274,370
1438356676,197,199
1438368675,281,232
1438381281,349,245
1438395079,294,327
1438407682,299,268
1438422083,269,360
1438434080,180,284
1438444279,208,212
1438455683,276,230
1438465880,213,183
1438477284,283,213
1438488687,247,237
1438503080,257,317
1438513284,206,240
1438524079,155,207
1438534879,212,230
1438545082,221,171
1438556484,265,228
1438567890,280,198
1438578684,211,208
1438590681,235,272
1438600884,184,213
1438611683,268,236
1438622486,263,242
1438634485,274,226
1438647086,376,278
1438661487,363,278
1438675887,336,322
1438690285,174,215
1438701081,337,385
1438722689,526,481
1438730489,302,151
1438744883,290,413
1438759287,405,343
1438773687,329,382
1438787489,191,301
1438795288,326,332
1438945890,647,694
1438957292,229,214
1438969295,400,235
1438983693,377,297
1438992097,320,213
1439006495,338,379
1439020288,297,394
1439034690,313,332
1439048492,295,298
1439059294,278,239
1439072493,413,278
1439086288,294,308
1439094089,160,192
1439101292,115,181
1439110285,186,301
1439124090,115,160
1439134894,290,345
1439148688,260,270
1439160696,302,228
1439172098,246,207
1439185294,291,297
1439192490,193,190
1439201490,139,215
1439214690,267,282
1439229087,343,253
1439242890,289,279
1439255498,332,241
1439262694,183,178
1439270492,150,151
1439277695,146,154
1439291497,261,329
1439298685,121,131
1439307091,174,177
1439321487,299,330
1439334086,319,261
1439347287,291,252
1439361091,289,251
1439374897,261,284
1439382684,148,183
1439396492,278,282
1439404289,159,180
1439412095,159,159
1439421087,205,207
1439434295,312,284
1439448100,267,254
1439462498,282,297
1439476894,307,292
1439484097,209,142
1439491893,153,150
1439506298,354,264
1439520698,262,305
1439535092,312,313
1439549500,252,340
1439563894,295,310
1439571691,189,159
1439578891,149,150
1439587897,204,232
1439596299,243,243
1439603493,193,193
1439617899,399,291
1439626897,201,242
1439635295,157,216
1439644290,201,264
1439652691,179,196
1439666495,368,267
1439680299,439,264
1439694701,285,326
1439704298,215,238
1439713294,187,214
1439721693,209,217
1439728901,198,193
1439742698,388,276
1439757102,392,267
1439770906,356,304
1439778704,207,198
1439787098,141,222
1439794899,185,230
1439805097,177,483
1439818896,285,399
1439826100,197,164
1439834499,174,189
1439848294,292,284
1439862092,397,298
1439870496,194,180
1439884891,304,390
1439898096,279,312
1439905895,204,202
1439913691,211,181
1439928102,530,320
1439941898,429,295
1439949099,163,199
1439958101,290,210
1439967701,255,355
1439976099,181,261
1439983895,169,275
1439998299,309,391
1440011501,269,319
