DateTime,Entries,UniqueIPs
1438303876,1130,1130
1438317672,1102,1102
1438324881,1071,1071
1438332676,1022,1022
1438346481,926,926
1438356676,924,924
1438368675,973,973
1438381281,1077,1077
1438395079,1044,1044
1438407682,1075,1075
1438422083,984,984
1438434080,880,880
1438444279,876,876
1438455683,922,922
1438465880,952,952
1438477284,1022,1022
1438488687,1032,1032
1438503080,972,972
1438513284,938,938
1438524079,886,886
1438534879,868,868
1438545082,918,918
1438556484,955,955
1438567890,1037,1037
1438578684,1040,1040
1438590681,1003,1003
1438600884,974,974
1438611683,1006,1006
1438622486,1027,1027
1438634485,1075,1075
1438647086,1173,1173
1438661487,1258,1258
1438675887,1272,1272
1438690285,1231,1231
1438701081,1183,1183
1438722689,1228,1228
1438730489,1379,1379
1438744883,1256,1256
1438759287,1318,1318
1438773687,1265,1265
1438787489,1155,1155
1438795288,1149,1149
1438945890,1102,1102
1438957292,1117,1117
1438969295,1282,1282
1438983693,1362,1362
1438992097,1469,1469
1439006495,1428,1428
1439020288,1331,1331
1439034690,1312,1312
1439048492,1309,1309
1439059294,1348,1348
1439072493,1483,1483
1439086288,1469,1469
1439094089,1437,1437
1439101292,1371,1371
1439110285,1256,1256
1439124090,1211,1211
1439134894,1156,1156
1439148688,1146,1146
1439160696,1220,1220
1439172098,1259,1259
1439185294,1253,1253
1439185294,1253,1253
1439185294,1253,1253
1439192490,1256,1256
1439201490,1180,1180
1439214690,1165,1165
1439229087,1255,1255
1439229087,1255,1255
1439242890,1265,1265
1439255498,1356,1356
1439262694,1361,1361
1439270492,1360,1360
1439277695,1352,1352
1439291497,1284,1284
1439298685,1274,1274
1439307091,1271,1271
1439321487,1240,1240
1439334086,1298,1298
1439347287,1337,1337
1439361091,1375,1375
1439374897,1352,1352
1439382684,1317,1317
1439396492,1313,1313
1439404289,1292,1292
1439412095,1292,1292
1439421087,1290,1290
1439434295,1318,1318
1439448100,1331,1331
1439462498,1316,1316
1439476894,1331,1331
1439484097,1398,1398
1439491893,1401,1401
1439506298,1491,1491
1439520698,1448,1448
1439535092,1447,1447
1439549500,1359,1359
1439563894,1344,1344
1439571691,1374,1374
1439578891,1373,1373
1439587897,1345,1345
1439596299,1345,1345
1439603493,1345,1345
1439617899,1453,1453
1439626897,1412,1412
1439635295,1353,1353
1439644290,1290,1290
1439652691,1273,1273
1439666495,1374,1374
1439680299,1549,1549
1439694701,1508,1508
1439704298,1485,1485
1439713294,1458,1458
1439721693,1450,1450
1439728901,1455,1455
1439742698,1567,1567
1439757102,1692,1692
1439770906,1744,1744
1439778704,1753,1753
1439787098,1672,1672
1439794899,1627,1627
1439805097,1321,1321
1439818896,1207,1207
1439826100,1240,1240
1439834499,1225,1225
1439848294,1233,1233
1439862092,1332,1332
1439870496,1346,1346
1439884891,1260,1260
1439898096,1227,1227
1439905895,1229,1229
1439913691,1259,1259
1439928102,1469,1469
1439941898,1603,1603
1439949099,1567,1567
1439958101,1647,1647
1439967701,1547,1547
1439976099,1467,1467
1439983895,1361,1361
1439998299,1279,1279
1440011501,1229,1229
1440023500,1314,1314
1440034896,1477,1477
1440049298,1500,1500
1440057701,1417,1417
1440071495,1338,1338
1440078692,1312,1312
1440093096,1349,1349
1440107496,1379,1379
1440121901,1582,1582
1440129696,1598,1598
1440144104,1502,1502
1440157901,1399,1399
1440157901,1399,1399
1440172297,1361,1361
1440186702,1420,1420
1440201103,1553,1553
1440208898,1643,1643
1440223299,1628,1628
1440237095,1484,1484
1440251498,1415,1415
1440265895,1441,1441
1440273094,1430,1430
1440280902,1471,1471
1440294102,1502,1502
1440302498,1515,1515
1440316293,1434,1434
1440322909,1459,1459
1440331299,1428,1428
1440344497,1409,1409
1440352296,1437,1437
1440373900,1594,1594
1440381702,1598,1598
1440389497,1559,1559
1440397895,1529,1529
1440411701,1483,1483
1440419488,1400,1400
1440433898,1545,1545
1440441095,1541,1541
1440448898,1527,1527
1440457305,1698,1698
1440471698,1815,1815
1440480099,1690,1690
1440488494,1670,1670
1440496896,1609,1609
1440504692,1544,1544
1440514290,1458,1458
1440522092,1473,1473
1440529895,1416,1416
