DateTime,AddedIPs,RemovedIPs
1438617688,8,0
1438622491,7,6
1438628491,7,0
1438634489,10,0
1438639892,8,11
1438647091,4,6
1438654292,8,0
1438661493,6,7
1438668694,5,0
1438675893,7,7
1438683702,10,0
1438690291,0,8
1438695694,7,0
1438701087,4,0
1438722694,6,12
1438726598,0,9
1438730496,5,0
1438738896,5,11
1438744889,6,0
1438751495,12,6
1438759293,10,0
1438766494,7,8
1438773693,8,0
1438781498,7,0
1438787495,0,6
1438795294,8,6
1438802492,6,13
1438945894,8,122
1438952493,12,0
1438957297,12,14
1438962697,9,0
1438969300,5,10
1438976499,8,0
1438983698,10,9
1438992103,12,8
1438998697,7,0
1439006501,7,7
1439013702,9,0
1439020294,6,7
1439027494,6,0
1439034695,7,9
1439041301,5,4
1439048497,7,0
1439053301,11,0
1439059300,4,9
1439064696,9,0
1439072498,11,6
1439079699,6,6
1439086294,9,0
1439094096,5,8
1439101298,7,0
1439110289,6,5
1439117495,7,6
1439124095,0,10
1439134901,7,0
1439143295,7,8
1439148694,5,0
1439154691,8,9
1439160701,14,0
1439166704,8,4
1439172104,5,0
1439178098,9,0
1439185299,11,0
1439192495,7,0
1439201495,4,0
1439208097,8,13
1439214695,4,0
1439221295,10,9
1439229092,9,7
1439235699,7,7
1439242895,9,0
1439249500,7,0
1439255503,6,0
1439262702,8,7
1439270498,9,0
1439277700,3,5
1439285502,6,10
1439291502,7,0
1439298690,9,10
1439307097,11,7
1439314896,5,0
1439321492,8,11
1439327490,3,0
1439334092,9,8
1439340087,6,0
1439347293,6,7
1439353297,7,0
1439361096,6,0
1439367698,7,9
1439374902,8,0
1439382690,9,11
1439389892,6,5
1439396498,7,0
1439404295,5,7
1439412101,4,0
1439421093,8,8
1439434303,5,13
1439441495,5,0
1439448108,8,10
1439455305,4,0
1439462504,8,7
1439469704,7,0
1439476900,7,10
1439484103,7,9
1439491898,5,0
1439499103,6,11
1439506304,11,12
1439513497,8,0
1439520704,6,9
1439527290,8,0
1439535098,5,10
1439542297,5,0
1439549505,6,0
1439556094,4,0
1439563900,5,6
1439571696,6,10
1439578898,5,0
1439587902,6,8
1439596305,8,0
1439603498,4,9
1439611298,8,0
1439617905,3,0
1439626903,10,5
1439635300,9,9
1439644296,5,7
1439652697,2,0
1439659898,10,7
1439666500,5,7
1439673698,9,9
1439680305,5,0
1439685707,5,7
1439694707,6,8
1439704303,11,6
1439713300,7,8
1439721699,9,0
1439728907,6,7
1439736707,4,6
1439742704,5,0
1439748710,9,4
1439757108,9,9
1439764312,11,0
1439770912,8,8
1439778711,6,0
1439787104,4,4
1439794906,6,7
1439805103,7,5
1439812297,6,5
1439818902,3,0
1439826106,9,7
1439834504,9,0
1439841105,6,0
1439848299,8,0
1439854899,6,8
1439862098,7,11
1439870502,5,8
1439877700,10,0
1439884897,7,4
1439890896,3,0
1439898102,9,5
1439905900,7,7
1439913697,9,2
1439920905,7,5
1439928108,5,0
1439935304,6,10
1439941904,13,6
1439949105,4,10
1439958106,5,10
1439967707,8,9
1439976106,4,6
1439983901,11,8
1439991096,9,0
1439998303,3,4
1440004908,11,0
1440011507,5,0
1440018698,6,0
1440023505,12,0
1440029506,6,13
1440034902,5,0
1440040914,8,0
1440049305,10,8
1440057707,8,10
1440064306,7,0
1440071500,5,8
1440078697,6,10
1440086498,3,7
1440093101,11,0
1440100294,4,9
1440107501,5,8
1440114703,5,6
1440121907,6,0
1440129701,7,9
1440137507,4,9
1440144109,5,0
1440151311,7,6
1440157907,5,4
1440165107,5,6
1440172304,4,0
1440180101,7,0
1440186708,9,0
1440193908,6,12
1440201109,11,0
1440208904,6,0
1440216106,8,0
1440223305,8,0
1440230507,7,0
1440237101,7,0
1440244301,7,0
1440251504,6,0
1440258701,6,13
1440265902,6,0
1440273099,6,8
1440280909,6,6
1440288107,5,7
1440294108,4,0
1440302504,6,12
1440309703,5,0
1440316299,7,9
1440322915,7,0
1440331306,5,5
1440337904,5,5
1440344503,7,0
1440352303,3,4
1440359518,0,9
1440367308,5,5
1440373906,9,5
1440381710,4,0
1440389503,2,3
1440397901,8,9
1440404500,7,0
1440411707,5,6
1440419494,6,6
1440426703,7,0
1440433904,6,11
1440441100,6,1
1440448904,6,7
1440457311,8,9
1440464498,7,1
1440471704,7,0
1440480109,8,7
1440488500,9,9
1440496903,5,7
1440504698,6,5
1440514296,4,0
1440522098,8,8
1440529901,5,9
1440538303,3,5
1440544906,4,7
1440552707,6,0
1440560513,3,8
1440567706,8,11
1440574309,3,6
1440582112,7,0
1440589314,10,5
1440598303,6,8
1440607302,10,11
1440616299,3,5
1440624726,5,7
1440631303,9,7
1440638502,5,0
1440645697,6,6
1440653506,2,7
1440660696,5,6
1440667296,5,0
1440675101,4,7
1440682303,5,7
1440689502,7,0
1440696098,9,8
1440703295,8,9
1440710494,4,0
1440717097,10,9
1440724900,9,4
1440732102,7,11
1440740504,14,9
1440747097,6,0
1440754303,5,0
1440761507,6,0
1440768103,10,9
1440775303,4,8
1440782502,8,0
1440789699,7,7
1440796899,7,4
1440804100,7,6
1440811300,3,10
1440818498,3,0
1440826299,6,6
1440832899,6,5
1440840102,3,0
1440847905,8,6
1440855102,3,7
1440862305,6,7
1440868902,8,10
1440876700,12,5
1440883294,6,6
1440889897,7,5
1440897102,6,6
1440902500,3,0
1440910310,4,7
1440916907,7,11
1440924713,1,0
1440932509,4,11
1440939702,6,7
1440947502,4,6
1440955908,9,12
1440962499,3,4
1440969700,5,4
1440976901,10,7
1440984702,3,5
1440991895,1,9
1441000299,9,14
1441008097,6,3
1441014700,5,5
1441021891,6,6
1441029097,5,7
1441035698,5,4
1441042896,8,6
1441050695,7,10
1441057298,4,4
1441064491,5,7
1441071698,5,8
1441080092,7,8
1441086694,8,5
1441093895,6,3
1441101107,7,12
1441108301,7,6
1441114902,7,6
1441122102,8,8
1441129899,4,5
1441136497,5,6
1441143097,5,11
1441148494,5,0
1441153893,5,8
1441159289,8,0
1441165895,6,10
1441174304,2,8
1441179696,3,8
1441187504,6,2
1441194098,6,9
1441203698,5,5
1441210295,9,10
1441218104,7,6
1441226500,4,16
1441234904,6,8
1441241499,4,5
1441249300,7,7
1441255904,4,8
1441263102,4,3
1441271500,5,9
1441280500,6,0
1441287703,12,13
1441294295,5,7
1441301501,6,0
1441308103,5,0
1441315898,4,0
1441324292,7,13
1441330894,6,0
1441338094,5,9
1441345892,7,7
1441352494,5,9
1441359701,4,8
1441367502,5,12
1441374689,2,0
1441381896,9,9
1441388492,4,6
1441394499,5,0
1441401100,4,6
1441413097,1,0
1441418498,8,0
1441424504,4,0
1441430503,8,0
1441437702,11,0
1441444308,5,0
1441452107,4,0
1441459906,8,0
1441467106,7,0
1441473701,11,0
1441480895,9,0
1441487495,5,0
1441494696,9,0
1441501304,7,0
1441507900,5,0
1441514506,3,0
1441521705,7,0
1441527108,4,0
1441534308,5,0
1441542107,5,7
1441549302,3,5
1441555907,13,14
1441563706,8,5
1441570898,5,5
1441578102,4,8
1441584703,3,5
1441590704,5,0
1441598504,6,16
1441605708,6,5
1441612903,6,0
1441620107,3,9
1441626697,7,5
1441633301,4,4
1441641102,7,0
1441648911,8,10
1441657910,3,10
1441666909,3,10
1441674710,12,5
