DateTime,AddedIPs,RemovedIPs
1438482691,18,18
1438488694,17,17
1438495889,19,21
1438503085,22,20
1438508490,15,16
1438513289,22,20
1438518684,18,19
1438524083,14,13
1438529487,22,25
1438534883,17,15
1438540288,21,21
1438545086,18,17
1438550486,17,21
1438556490,22,19
1438561891,18,18
1438567894,19,19
1438573296,18,20
1438578689,20,17
1438584088,21,21
1438590687,18,21
1438595489,20,17
1438600888,19,20
1438606289,21,22
1438611688,19,18
1438617688,20,20
1438622491,17,18
1438628491,22,20
1438634489,23,22
1438639892,17,18
1438647091,20,21
1438654292,20,21
1438661493,21,20
1438668694,22,23
1438675893,23,21
1438683702,23,22
1438695694,23,26
1438701087,21,20
1438722694,20,19
1438730496,24,23
1438738896,23,26
1438744889,18,17
1438751495,24,22
1438759293,21,22
1438766494,23,25
1438773693,25,23
1438781498,23,23
1438795294,22,25
1438802492,19,17
1438945894,22,22
1438952493,25,24
1438957297,21,22
1438962697,18,16
1438969300,19,21
1438976499,23,22
1438983698,22,21
1438992103,21,21
1438998697,23,25
1439006501,20,20
1439013702,19,20
1439020294,20,20
1439027494,22,21
1439034695,20,20
1439041301,18,20
1439048497,19,17
1439053301,19,19
1439059300,19,20
1439064696,21,19
1439072498,22,22
1439079699,19,22
1439086294,22,19
1439094096,18,22
1439101298,20,18
1439110289,18,19
1439117495,16,17
1439134901,21,19
1439143295,21,20
1439148694,18,18
1439154691,15,16
1439160701,22,20
1439166704,23,22
1439172104,17,20
1439178098,15,15
1439185299,21,19
1439192495,19,22
1439201495,15,18
1439208097,17,12
1439214695,22,23
1439221295,22,20
1439229092,20,22
1439235699,20,20
1439242895,22,21
1439249500,18,19
1439255503,18,18
1439262702,21,19
1439270498,20,21
1439277700,19,20
1439285502,19,19
1439291502,18,18
1439298690,24,21
1439307097,22,25
1439314896,20,22
1439321492,24,18
1439327490,12,17
1439334092,21,19
1439340087,21,20
1439347293,23,23
1439353297,19,20
1439361096,21,21
1439367698,21,20
1439374902,21,20
1439382690,22,23
1439389892,21,23
1439396498,23,22
1439404295,15,17
1439412101,22,21
1439421093,19,21
1439434303,22,19
1439441495,19,19
1439448108,22,21
1439455305,17,19
1439462504,23,20
1439469704,19,23
1439476900,18,17
1439484103,20,22
1439491898,18,18
1439499103,23,20
1439506304,21,21
1439513497,18,18
1439520704,23,23
1439527290,21,20
1439535098,22,25
1439542297,22,20
1439549505,23,23
1439556094,21,21
1439563900,21,23
1439571696,21,21
1439578898,19,18
1439587902,22,22
1439596305,24,23
1439603498,20,22
1439611298,22,20
1439617905,21,23
1439626903,26,22
1439635300,25,24
1439644296,23,27
1439652697,23,23
1439659898,21,20
1439666500,22,21
1439673698,24,24
1439680305,19,22
1439685707,22,20
1439694707,23,22
1439704303,21,23
1439713300,25,23
1439721699,24,23
1439728907,21,23
1439736707,24,24
1439742704,22,23
1439748710,20,20
1439757108,24,21
1439764312,23,25
1439770912,23,21
1439778711,22,25
1439787104,22,22
1439794906,20,20
1439805103,24,23
1439812297,19,22
1439818902,20,18
1439826106,21,20
1439834504,24,22
1439841105,19,22
1439848299,24,22
1439854899,25,24
1439862098,18,21
1439870502,22,21
1439877700,23,23
1439884897,20,20
1439890896,19,20
1439898102,21,22
1439905900,24,21
1439913697,21,22
1439920905,22,24
1439928108,19,20
1439935304,17,15
1439941904,24,23
1439949105,23,24
1439958106,17,18
1439967707,21,21
1439976106,23,21
1439983901,21,22
1439991096,23,20
1439998303,19,22
1440004908,22,20
1440011507,22,24
1440018698,25,21
1440023505,19,22
1440029506,25,23
1440034902,22,24
1440040914,21,24
1440049305,24,19
1440057707,26,26
1440064306,19,23
1440071500,22,20
1440078697,23,24
1440086498,19,20
1440093101,25,21
1440100294,21,23
1440107501,21,24
1440114703,20,19
1440121907,26,21
1440129701,25,26
1440137507,20,24
1440144109,23,21
1440151311,21,22
1440157907,25,23
1440165107,24,23
1440172304,23,24
1440180101,22,24
1440186708,26,23
1440193908,27,26
1440201109,22,25
1440208904,23,23
1440216106,22,21
1440223305,25,25
1440230507,20,22
1440237101,24,21
1440244301,24,26
1440251504,24,24
1440258701,23,22
1440265902,19,22
1440273099,24,21
1440280909,22,23
1440288107,22,21
1440294108,22,22
1440302504,21,23
1440309703,23,21
1440316299,21,22
1440322915,20,20
1440331306,23,22
1440337904,22,23
1440344503,22,21
1440352303,23,24
1440367308,23,24
1440373906,24,22
1440381710,19,20
1440389503,21,22
1440397901,23,22
1440404500,23,22
1440411707,21,21
1440419494,23,22
1440426703,20,22
1440433904,22,24
1440441100,22,19
1440448904,21,23
1440457311,21,22
1440464498,22,19
1440471704,23,23
1440480109,25,25
1440488500,23,24
1440496903,24,23
1440504698,24,25
1440514296,21,23
1440522098,22,19
1440529901,25,24
1440538303,24,26
1440544906,23,23
1440552707,20,22
1440560513,25,22
1440567706,20,24
1440574309,19,19
1440582112,23,19
1440589314,22,20
1440598303,24,26
1440607302,24,24
1440616299,24,24
1440624726,22,24
1440631303,22,21
1440638502,21,23
1440645697,21,19
1440653506,24,24
1440660696,23,24
1440667296,18,17
1440675101,22,21
1440682303,21,23
1440689502,20,17
1440696098,24,24
1440703295,22,24
1440710494,19,21
1440717097,23,21
1440724900,25,22
1440732102,22,24
1440740504,25,24
1440747097,22,21
1440754303,23,24
1440761507,23,23
1440768103,26,25
1440775303,22,25
1440782502,23,23
1440789699,25,23
1440796899,24,24
1440804100,24,24
1440811300,24,26
1440818498,19,20
1440826299,21,22
1440832899,23,21
1440840102,21,22
1440847905,24,22
1440855102,21,25
1440862305,22,18
1440868902,25,25
1440876700,26,25
1440883294,21,23
1440889897,21,20
1440897102,23,25
1440902500,20,20
1440910310,19,19
1440916907,21,21
1440924713,20,21
1440932509,23,19
1440939702,24,26
1440947502,24,23
1440955908,23,23
1440962499,23,25
1440969700,23,22
1440976901,25,23
1440984702,19,23
1440991895,22,20
1441000299,22,24
1441008097,25,20
1441014700,22,24
1441021891,22,24
1441029097,19,20
1441035698,21,20
1441042896,22,21
1441050695,23,23
1441057298,23,23
1441064491,24,21
1441071698,22,25
1441080092,22,22
1441086694,23,22
1441093895,20,23
1441101107,22,21
1441108301,21,18
1441114902,22,22
1441122102,21,24
1441129899,22,22
1441136497,21,20
1441143097,20,19
1441148494,22,24
1441153893,20,20
1441159289,22,20
1441165895,18,20
1441174304,26,23
1441179696,20,21
1441187504,21,23
1441194098,22,20
1441203698,25,24
1441210295,22,23
1441218104,21,23
1441226500,20,20
1441234904,21,20
1441241499,21,21
1441249300,24,22
1441255904,24,26
1441263102,23,22
1441271500,23,22
1441280500,19,23
1441287703,23,19
1441294295,23,23
1441301501,18,21
1441308103,19,19
1441315898,22,21
1441324292,22,23
1441330894,20,19
1441338094,19,22
1441345892,25,20
1441352494,25,26
1441359701,23,23
1441367502,21,24
1441374689,24,22
1441381896,24,24
1441388492,18,20
1441394499,22,20
1441401100,21,22
1441408249,0,23
1441413097,26,0
1441418498,25,26
1441424504,20,21
1441430503,22,22
1441437702,26,24
1441444308,26,26
1441452107,20,24
1441459906,23,20
1441467106,21,23
1441473701,21,20
1441480895,17,19
1441487495,21,19
1441494696,20,21
1441501304,22,20
1441507900,18,19
1441514506,20,21
1441521705,25,22
1441527108,17,21
1441534308,21,20
1441542107,24,21
1441549302,23,23
1441555907,23,24
1441563706,23,24
1441570898,24,22
1441578102,19,23
1441584703,22,20
1441590704,21,21
1441598504,22,22
1441605708,17,20
1441612903,23,21
1441620107,23,23
1441626697,22,19
1441633301,23,25
1441641102,24,24
1441648911,18,20
1441657910,17,17
1441666909,25,22
1441674710,25,23
1441683707,22,24
1441692105,23,24
1441701709,22,20
1441712506,22,24
1441719109,20,21
1441728111,24,22
1441737712,24,25
1441748505,21,23
1441758714,23,21
1441766511,19,22
1441777314,22,16
1441788711,24,26
1441798307,22,24
1441806111,22,22
1441815705,24,22
1441824108,27,25
1441833102,23,24
1441842100,24,25
1441851935,0,25
1441861300,26,0
1441870901,23,24
1441880501,22,23
1441888299,24,22
1441895504,24,25
1441902706,20,19
1441908708,24,25
1441914707,26,25
1441922510,23,25
1441929708,20,20
1441936910,22,21
1441945311,25,25
1441954308,25,25
1441962108,26,25
1441969907,20,23
1441978902,27,23
1441987304,25,27
1441994500,22,23
1442002304,23,21
1442009505,21,23
1442018506,22,22
1442024506,22,23
1442031709,20,19
1442040111,24,22
1442049108,25,25
1442055709,23,24
1442063506,22,24
1442072504,25,22
1442080906,23,24
1442087504,23,23
1442095308,26,25
1442101907,25,25
1442109102,24,24
1442116317,23,24
1442124109,24,25
1442131311,24,22
1442137917,24,25
1442145701,24,23
1442152901,23,23
1442159501,20,23
1442167303,25,21
1442181701,22,25
1442188302,23,22
1442194904,22,23
1442202702,23,22
1442211104,25,25
1442221309,26,25
1442229710,21,24
1442238106,25,22
1442246500,27,26
1442254305,22,24
1442262703,25,23
1442270502,24,27
1442278305,23,21
1442284912,24,26
1442293307,21,21
1442299908,22,23
1442308308,23,22
