DateTime,Entries,UniqueIPs
1437254066,323,325
1437254066,292,294
1437271246,324,326
1437277085,321,323
1437303508,328,330
1437314224,326,328
1437340939,337,339
1437355490,338,339
1437362242,361,362
1437393155,323,324
1437401412,324,325
1437425041,351,353
1437443828,329,331
1437449569,320,322
1437477427,338,340
1437487412,370,372
1437514096,349,350
1437539754,318,319
1437542222,365,366
1437568779,340,342
1437579144,349,352
1437601804,335,338
1437660188,300,302
1437686375,306,307
1437703087,256,256
1437709638,280,281
1437739719,311,312
1437751685,316,317
1437773817,315,316
1437787095,346,348
1437795166,347,349
1437826362,324,326
1437834526,379,381
1437861296,322,324
1437875362,328,330
1437880791,356,358
1437911923,358,361
1437925895,348,351
1437943485,385,388
1437956979,398,400
1437963865,413,415
1437997449,404,406
1438006534,415,416
1438032352,349,350
1438057069,340,341
1438062801,380,381
1438094561,344,345
1438118006,396,398
1438135885,395,396
1438152222,336,337
1438169171,372,373
1438179791,416,417
1438208075,337,338
1438219731,387,388
1438228119,370,371
1438261378,327,328
1438272333,328,329
1438295789,320,321
1438310117,343,345
1438318649,352,354
1438342626,381,383
1438363840,354,356
1438375259,380,382
1438401470,338,340
1438408277,347,349
1438430713,316,318
1438437943,327,329
1438464942,276,278
1438485221,335,337
1438493239,354,356
1438523542,369,372
1438534520,393,396
1438554439,381,384
1438575105,410,413
1438580818,443,446
1438608078,445,448
1438610650,432,435
1438641322,437,440
1438659292,415,418
1438660143,417,420
1438688925,418,420
1438698378,373,374
1438723267,429,430
1438750009,328,329
1438754534,360,361
1438775513,373,374
1438801478,376,377
1438948209,148,148
1438969492,221,221
1438981521,270,270
1439007192,332,332
1439008079,368,368
1439034346,417,417
1439053135,423,423
1439070431,380,380
1439092696,434,434
1439100421,388,388
1439121905,365,365
1439132439,392,392
1439156130,383,383
1439171109,359,359
1439178502,382,382
1439178502,302,302
1439178502,302,302
1439178502,302,302
1439216179,311,311
1439231851,311,311
1439231851,311,311
1439242030,339,339
1439257141,338,338
1439276097,362,362
1439293911,353,353
1439308836,343,343
1439338492,336,336
1439350919,322,322
1439360461,356,356
1439380370,366,366
1439390820,381,381
1439423216,376,376
1439433517,363,363
1439453860,331,331
1439480125,290,290
1439481429,324,324
1439516242,348,348
1439519431,374,374
1439531950,354,354
1439560982,355,355
1439563976,388,388
1439602472,358,358
1439606709,327,327
1439614849,369,369
1439614849,300,300
1439651168,285,285
1439652496,318,318
1439685403,368,368
1439689848,380,380
1439702467,363,363
1439738766,343,343
1439774383,327,327
1439788925,272,272
1439794808,306,306
1439821913,347,347
1439826546,324,324
1439857254,360,360
1439867098,354,354
1439873939,386,386
1439899963,366,366
1439913331,367,367
1439944252,385,385
1439951615,402,402
1439960019,379,379
1439986060,435,435
1439995976,455,455
1440024780,436,436
1440045305,400,400
1440051575,372,372
1440071699,425,425
1440094506,386,386
1440118713,399,399
1440121427,443,443
1440133742,446,446
1440133742,330,330
1440171492,384,384
1440179867,428,428
1440198646,418,418
1440208450,421,421
1440222290,419,419
1440248148,405,405
1440263794,404,404
1440280544,399,399
1440296239,353,353
1440309800,331,331
1440342819,315,315
1440347553,358,358
1440369822,322,322
1440383085,318,318
1440394451,345,345
1440427574,363,363
1440428986,343,343
1440453413,342,342
1440472592,346,346
1440477904,386,386
1440505623,388,388
1440528827,362,362
1440542239,342,342
1440555184,382,382
1440563844,328,328
1440602033,354,354
1440636611,333,333
1440641152,360,360
1440649258,358,358
1440649258,288,288
1440689978,273,273
1440699698,305,305
1440716520,337,337
1440726429,336,336
1440735744,335,335
1440762952,336,336
1440773430,365,365
1440800374,346,346
1440821248,359,359
1440821754,311,311
1440848943,362,362
1440867031,339,339
1440886307,371,371
1440898405,356,356
1440909184,395,395
1440936410,349,349
1440944955,378,378
1440974202,358,358
1440984520,346,346
1440995327,389,389
1441021722,375,375
1441039405,355,355
1441055711,380,380
1441078290,353,353
1441081161,389,389
1441107997,340,340
1441126157,392,392
1441154083,367,367
1441158212,407,407
1441167946,414,414
1441193418,407,407
1441209461,397,397
1441235644,393,393
1441252216,357,357
1441254569,354,354
1441282347,364,364
1441290831,389,389
1441316196,367,367
1441337132,377,377
1441347838,329,329
1441367948,364,364
1441383797,343,343
1441405425,327,327
1441423696,325,325
1441434177,366,366
1441454812,331,331
1441472900,343,343
1441489290,375,375
1441512850,350,350
1441522546,354,354
1441551249,358,358
1441559017,394,394
1441575764,353,353
1441601484,365,365
1441630024,359,359
1441637231,393,393
1441662954,359,359
1441686019,359,359
1441695848,342,342
1441716335,341,341
1441733626,349,349
1441750595,311,311
1441772418,346,346
1441800656,340,340
1441819235,342,342
1441844806,323,323
1441848593,360,360
1441859645,333,333
1441887884,320,320
1441896473,344,344
1441924518,358,358
1441945822,364,364
1441947834,358,358
1441973129,403,403
1441982496,414,414
1442009039,396,396
1442022469,363,363
1442033357,381,381
1442069152,310,310
1442076743,350,350
1442095551,351,351
1442115975,351,351
1442126035,344,344
1442152542,401,401
1442154427,412,412
1442180214,378,378
1442203392,346,346
1442211617,320,320
1442241458,356,356
1442253605,363,363
1442267648,347,347
1442283810,384,384
1442291770,387,387
1442302851,368,368
