DateTime,AddedIPs,RemovedIPs
1437271246,14,31
1437277085,8,0
1437303508,24,10
1437314224,7,6
1437340939,19,33
1437355490,12,10
1437362242,33,0
1437393155,22,27
1437401412,17,23
1437425041,20,21
1437443828,21,15
1437449569,18,17
1437477427,9,18
1437487412,24,15
1437514096,17,16
1437539754,22,27
1437542222,22,0
1437568779,22,18
1437579144,27,14
1437601804,18,21
1437660188,41,91
1437686375,28,15
1437703087,18,15
1437709638,22,0
1437739719,19,37
1437751685,20,37
1437773817,22,0
1437787095,15,30
1437795166,21,18
1437826362,21,36
1437834526,28,19
1437861296,12,17
1437875362,13,0
1437880791,20,9
1437911923,21,34
1437925895,21,16
1437943485,20,0
1437956979,32,13
1437963865,33,15
1437997449,20,22
1438006534,31,14
1438032352,21,24
1438057069,41,37
1438062801,27,0
1438094561,31,40
1438118006,27,0
1438135885,26,15
1438152222,28,36
1438169171,16,20
1438179791,17,32
1438208075,13,22
1438219731,23,0
1438228119,16,8
1438261378,15,35
1438272333,22,19
1438295789,21,0
1438310117,35,16
1438318649,28,15
1438342626,16,23
1438363840,22,44
1438375259,16,0
1438401470,17,80
1438408277,23,0
1438430713,9,27
1438437943,8,0
1438464942,9,22
1438485221,26,47
1438493239,18,25
1438523542,28,40
1438534520,26,18
1438554439,15,17
1438575105,31,45
1438580818,17,0
1438608078,27,23
1438610650,8,0
1438641322,25,25
1438659292,28,15
1438660143,17,21
1438688925,25,22
1438698378,12,22
1438723267,17,0
1438750009,19,61
1438754534,12,0
1438775513,20,34
1438801478,24,29
1438948209,41,185
1438969492,21,54
1438981521,17,0
1439007192,31,45
1439008079,13,24
1439034346,15,0
1439053135,25,43
1439070431,21,25
1439092696,35,37
1439100421,13,0
1439121905,16,0
1439132439,16,51
1439156130,8,0
1439171109,7,23
1439178502,10,0
1439216179,11,53
1439231851,15,29
1439242030,10,0
1439257141,16,53
1439276097,11,32
1439293911,9,0
1439308836,9,49
1439338492,18,39
1439350919,20,18
1439360461,13,0
1439380370,15,25
1439390820,13,38
1439423216,11,17
1439433517,16,12
1439453860,23,13
1439480125,27,22
1439481429,11,0
1439516242,34,14
1439519431,12,19
1439531950,18,17
1439560982,20,11
1439563976,12,0
1439602472,23,45
1439606709,15,22
1439614849,16,13
1439651168,15,24
1439652496,13,0
1439685403,17,22
1439689848,13,0
1439702467,6,29
1439738766,23,42
1439774383,32,18
1439788925,5,29
1439794808,8,0
1439821913,16,24
1439826546,9,0
1439857254,7,19
1439867098,7,11
1439873939,15,22
1439899963,26,12
1439913331,20,15
1439944252,27,13
1439951615,18,14
1439960019,23,15
1439986060,26,11
1439995976,22,22
1440024780,13,16
1440045305,20,46
1440051575,16,0
1440071699,26,24
1440094506,13,27
1440118713,31,15
1440121427,20,0
1440133742,14,16
1440171492,14,70
1440179867,15,0
1440198646,13,41
1440208450,9,0
1440222290,9,0
1440248148,22,0
1440263794,13,17
1440280544,10,14
1440296239,16,0
1440309800,10,30
1440342819,17,39
1440347553,14,0
1440369822,11,24
1440383085,11,18
1440394451,7,25
1440427574,16,35
1440428986,7,0
1440453413,13,0
1440472592,22,58
1440477904,12,0
1440505623,15,23
1440528827,16,27
1440542239,8,24
1440555184,16,14
1440563844,10,27
1440602033,19,49
1440636611,17,28
1440641152,6,0
1440649258,9,19
1440689978,10,69
1440699698,10,0
1440716520,8,27
1440726429,6,0
1440735744,7,29
1440762952,13,36
1440773430,4,24
1440800374,16,25
1440821248,17,17
1440821754,0,23
1440848943,18,0
1440867031,23,55
1440886307,13,0
1440898405,15,29
1440909184,14,24
1440936410,17,56
1440944955,12,0
1440974202,17,44
1440984520,14,0
1440995327,18,15
1441021722,12,6
1441039405,22,34
1441055711,10,0
1441078290,18,37
1441081161,13,0
1441107997,12,31
1441126157,13,19
1441154083,21,67
1441158212,19,0
1441167946,10,0
1441193418,21,49
1441209461,21,37
1441235644,27,26
1441252216,7,24
1441254569,9,31
1441282347,14,24
1441290831,14,28
1441316196,21,17
1441337132,29,0
1441347838,24,36
1441367948,15,0
1441383797,11,29
1441405425,11,41
1441423696,7,0
1441434177,9,0
1441454812,20,0
1441472900,16,0
1441489290,22,0
1441512850,27,0
1441522546,20,0
1441551249,20,22
1441559017,12,0
1441575764,11,28
1441601484,20,18
1441630024,23,24
1441637231,10,0
1441662954,10,13
1441686019,16,26
1441695848,9,8
1441716335,6,6
1441733626,16,12
1441750595,9,10
1441772418,15,6
1441800656,22,11
1441819235,13,11
1441844806,15,24
1441848593,12,0
1441859645,6,23
1441887884,12,15
1441896473,5,0
1441924518,12,15
1441945822,19,25
1441947834,9,0
1441973129,9,27
1441982496,11,0
1442009039,11,15
1442022469,7,11
1442033357,12,21
1442069152,12,16
1442076743,9,40
1442095551,14,0
1442115975,17,28
1442126035,12,21
1442152542,24,0
1442154427,6,14
1442180214,18,27
1442203392,19,22
1442211617,10,0
1442241458,17,18
1442253605,15,23
1442267648,7,0
1442283810,11,12
1442291770,4,0
1442302851,10,16
1442319364,10,0
1442329323,9,0
1442352687,7,17
1442369468,16,9
