DateTime,AddedIPs,RemovedIPs
1434715088,13,0
1434726359,5,35
1434748657,25,0
1434761392,20,16
1434771805,17,13
1434802579,30,24
1434817869,23,23
1434839815,18,11
1434852778,15,0
1434863798,21,9
1434891396,12,22
1434910921,15,17
1434938118,20,42
1434943352,19,0
1434951547,9,0
1434975808,18,16
1434988232,10,24
1435010643,31,15
1435023689,13,16
1435032993,30,0
1435059948,25,22
1435069148,21,15
1435097346,19,7
1435119888,20,31
1435122864,18,0
1435148241,36,39
1435158237,19,0
1435181714,14,16
1435197950,14,34
1435206126,20,0
1435233855,11,34
1435241036,17,0
1435268483,18,13
1435283373,12,21
1435290309,8,16
1435320142,11,14
1435333916,10,31
1435355094,12,15
1435370781,7,20
1435378665,12,22
1435405910,14,15
1435413810,10,0
1435439908,17,17
1435453914,13,16
1435463900,12,9
1435492311,35,17
1435499858,31,20
1435526796,22,16
1435545857,19,21
1435550297,19,0
1435576750,23,14
1435587335,21,13
1435612973,22,15
1435629115,20,22
1435637597,18,11
1435666095,14,20
1435678556,11,11
1435703388,17,23
1435719154,15,11
1435728885,23,15
1435752604,39,11
1435759935,21,0
1435784956,32,12
1435799581,13,26
1435807605,20,0
1435836418,32,49
1435850168,21,0
1435873571,42,22
1435885660,23,0
1435896334,22,15
1435926373,18,38
1435933086,38,0
1435959505,23,27
1435973038,18,16
1435981704,12,27
1436013381,15,20
1436020753,27,11
1436045430,26,15
1436056156,16,0
1436067577,18,15
1436097794,22,33
1436104554,19,0
1436132016,27,12
1436147489,25,21
1436156686,24,0
1436183385,16,15
1436193892,21,29
1436217142,29,0
1436232592,35,9
1436244055,22,15
1436268996,20,10
1436278616,33,9
1436305811,25,15
1436317543,31,12
1436327925,20,15
1436355723,23,15
1436368541,30,16
1436390523,12,11
1436405757,26,19
1436415267,28,7
1436443534,29,19
1436451307,18,14
1436477472,20,25
1436491060,30,12
1436498899,22,10
1436529657,11,30
1436536865,26,0
1436565557,19,38
1436589685,29,26
1436616582,25,20
1436628926,26,18
1436650611,22,0
1436664388,37,19
1436674353,26,14
1436702017,31,27
1436711384,18,0
1436738606,20,23
1436752878,26,24
1436767740,19,48
1436792731,18,16
1436799801,15,19
1436825840,18,0
1436840148,18,33
1436847854,6,0
1436877165,12,15
1436886819,10,12
1436909928,19,0
1436924386,19,47
1436934715,12,43
1436963318,18,19
1436971532,15,17
1436998925,26,21
1437012033,19,20
1437019160,12,0
1437047853,15,39
1437055411,6,0
1437084064,15,45
1437100539,22,31
1437104732,11,15
1437134484,16,13
1437146667,13,14
1437169842,25,0
1437186264,19,36
1437192556,14,0
1437223005,21,19
1437227334,12,0
1437254066,10,3629
1437271246,42,42
1437277085,36,35
1437303508,54,54
1437314224,30,30
1437340939,54,54
1437355490,39,39
1437362242,53,53
1437393155,59,59
1437401412,66,66
1437425041,72,72
1437443828,75,75
1437449569,57,57
1437477427,62,62
1437487412,81,81
1437514096,64,64
1437539754,65,65
1437542222,68,67
1437568779,63,63
1437579144,74,75
1437601804,54,53
1437660188,103,104
1437686375,66,66
1437703087,66,66
1437709638,55,54
1437739719,49,50
1437751685,66,66
1437773817,67,67
1437787095,64,63
1437795166,55,56
1437826362,57,56
1437834526,70,71
1437861296,59,59
1437875362,70,72
1437880791,56,54
1437911923,61,62
1437925895,74,74
1437943485,60,59
1437956979,72,73
1437963865,61,61
1437997449,58,58
1438006534,83,81
1438032352,76,76
1438057069,86,88
1438062801,68,67
1438094561,78,77
1438118006,74,74
1438135885,76,76
1438152222,66,66
1438169171,62,63
1438179791,64,66
1438208075,63,61
1438219731,72,75
1438228119,50,48
1438261378,49,49
1438272333,68,69
1438295789,59,59
1438310117,70,71
1438318649,60,57
1438342626,54,57
1438363840,78,77
1438375259,56,55
1438401470,59,60
1438408277,65,66
1438430713,55,54
1438437943,59,60
1438464942,46,45
1438485221,72,71
1438493239,67,66
1438523542,82,84
1438534520,82,80
1438554439,64,67
1438575105,89,88
1438580818,48,48
1438608078,79,79
1438610650,50,50
1438641322,77,77
1438659292,71,71
1438660143,66,66
1438688925,82,81
1438698378,58,58
1438723267,74,75
1438750009,62,62
1438754534,46,47
1438775513,79,77
1438801478,78,79
1438948209,108,109
1438969492,73,73
1438981521,56,55
1439007192,78,76
1439008079,51,52
1439034346,75,75
1439053135,81,82
1439070431,67,67
1439092696,80,79
1439100421,65,65
1439121905,58,59
1439132439,42,42
1439156130,53,54
1439171109,40,41
1439178502,36,34
1439216179,56,57
1439231851,44,44
1439242030,38,37
1439257141,44,44
1439276097,70,71
1439293911,39,38
1439308836,41,39
1439338492,58,57
1439350919,54,56
1439360461,56,55
1439380370,58,60
1439390820,54,53
1439423216,52,51
1439433517,34,34
1439453860,64,64
1439480125,50,51
