DateTime,AddedIPs,RemovedIPs
1437374177,8,0
1437393054,40,16
1437398436,12,43
1437401408,28,0
1437413348,21,79
1437424937,21,14
1437443823,23,51
1437449512,22,31
1437460683,19,58
1437477313,37,21
1437487405,32,67
1437499797,15,0
1437513988,32,18
1437536867,14,169
1437539649,18,22
1437542217,62,0
1437548351,27,92
1437568662,50,33
1437573149,13,51
1437579137,73,0
1437586827,11,42
1437596666,11,0
1437601698,24,0
1437660180,30,206
1437672660,21,43
1437686264,28,19
1437703081,30,33
1437709525,15,0
1437710188,7,90
1437720399,16,0
1437739597,34,22
1437746034,11,47
1437751679,92,27
1437760012,16,0
1437769701,13,32
1437773710,24,18
1437787086,40,0
1437795065,44,40
1437796319,9,11
1437806511,7,55
1437826260,23,37
1437834522,18,31
1437846264,11,16
1437855763,11,0
1437861187,45,0
1437875354,58,43
1437880684,34,32
1437882281,6,12
1437892516,5,15
1437911806,27,0
1437918909,9,33
1437925887,19,77
1437932295,21,0
1437941608,9,31
1437943333,16,0
1437956956,34,24
1437963719,41,38
1437967838,14,9
1437979263,20,20
1437997341,39,15
1438006524,19,41
1438018511,26,54
1438028299,17,0
1438032247,33,52
1438053755,13,56
1438057060,81,0
1438062694,33,0
1438065769,13,0
1438094453,27,94
1438106138,26,14
1438117884,23,19
1438135880,30,43
1438141244,14,35
1438152105,51,42
1438152407,7,0
1438169068,32,54
1438177999,10,0
1438179781,15,26
1438192092,11,0
1438201870,10,19
1438207965,27,34
1438219724,35,0
1438228339,15,41
1438239163,11,23
1438261254,57,59
1438264251,8,15
1438272330,29,71
1438276980,8,0
1438287176,17,11
1438295666,31,24
1438310110,40,27
1438313760,18,27
1438318537,20,16
1438324284,14,38
1438342522,30,13
1438349617,13,49
1438363834,30,22
1438375140,16,25
1438401357,10,83
1438408270,79,0
1438410982,13,0
1438430584,8,65
1438437936,18,20
1438449756,11,91
1438459647,10,0
1438464828,15,49
1438485212,28,35
1438485231,15,10
1438493124,17,20
1438496948,5,39
1438523715,20,39
1438534512,77,19
1438536598,8,0
1438547007,10,45
1438554319,23,41
1438571796,7,50
1438575093,77,0
1438580731,14,0
1438584394,7,0
1438607992,32,51
1438610645,16,0
1438623059,8,48
1438634198,2,28
1438641227,16,0
1438659284,19,35
1438660070,17,20
1438670687,16,23
1438688842,32,0
1438695863,8,60
1438698369,21,34
1438709387,12,23
1438720361,8,0
1438723176,18,0
1438745322,7,102
1438749918,26,20
1438754529,83,0
1438755721,8,0
1438775395,29,69
1438782978,16,0
1438795793,17,55
1438801407,87,0
1438806466,13,0
1438948103,53,420
1438953937,27,35
1438969483,37,48
1438981437,28,28
1439005567,14,62
1439008070,34,22
1439014970,9,0
