DateTime,Entries,UniqueIPs
1437393054,8535,8827
1437398436,8505,8796
1437401408,8532,8824
1437413348,8475,8766
1437424937,8484,8773
1437443823,8454,8745
1437449512,8448,8736
1437460683,8409,8697
1437477313,8426,8713
1437487405,8392,8678
1437499797,8405,8693
1437513988,8419,8707
1437536867,8265,8552
1437539649,8261,8548
1437542217,8322,8610
1437548351,8259,8545
1437568662,8274,8562
1437573149,8235,8524
1437579137,8308,8597
1437586827,8277,8566
1437596666,8288,8577
1437601698,8312,8601
1437660180,8139,8425
1437672660,8117,8403
1437686264,8126,8412
1437703081,8122,8409
1437709525,8137,8424
1437710188,8054,8341
1437720399,8069,8357
1437739597,8079,8369
1437746034,8042,8333
1437751679,8108,8398
1437760012,8119,8414
1437769701,8098,8395
1437773710,8104,8401
1437787086,8143,8441
1437795065,8145,8445
1437796319,8143,8443
1437806511,8095,8395
1437826260,8081,8381
1437834522,8068,8368
1437846264,8063,8363
1437855763,8071,8374
1437861187,8113,8419
1437875354,8120,8434
1437880684,8122,8436
1437882281,8116,8430
1437892516,8106,8420
1437911806,8133,8447
1437918909,8109,8423
1437925887,8051,8365
1437932295,8072,8386
1437941608,8050,8364
1437943333,8066,8380
1437956956,8078,8390
1437963719,8082,8393
1437967838,8085,8398
1437979263,8085,8398
1437997341,8109,8422
1438006524,8085,8400
1438018511,8058,8372
1438028299,8073,8389
1438032247,8049,8370
1438053755,8008,8327
1438057060,8088,8408
1438062694,8119,8441
1438065769,8130,8454
1438094453,8067,8387
1438106138,8079,8399
1438117884,8084,8403
1438135880,8069,8390
1438141244,8047,8369
1438152105,8054,8378
1438152407,8060,8385
1438169068,8039,8363
1438177999,8049,8373
1438179781,8043,8362
1438192092,8051,8373
1438201870,8040,8364
1438207965,8033,8357
1438219724,8067,8392
1438228339,8038,8366
1438239163,8025,8354
1438261254,8025,8352
1438264251,8019,8345
1438272330,7976,8303
1438276980,7984,8311
1438287176,7988,8317
1438295666,7995,8324
1438310110,8007,8337
1438313760,7998,8328
1438318537,8001,8332
1438324284,7978,8308
1438342522,7996,8325
1438349617,7964,8289
1438363834,7971,8297
1438375140,7962,8288
1438401357,7890,8215
1438408270,7968,8294
1438410982,7981,8307
1438430584,7926,8250
1438437936,7924,8248
1438449756,7844,8168
1438459647,7854,8178
1438464828,7822,8144
1438485212,7815,8137
1438485231,7817,8142
1438493124,7814,8139
1438496948,7781,8105
1438523715,7762,8086
1438534512,7820,8144
1438536598,7828,8152
1438547007,7793,8117
1438554319,7778,8099
1438571796,7737,8056
1438575093,7814,8133
1438580731,7828,8147
1438584394,7835,8154
1438607992,7818,8135
1438610645,7834,8151
1438623059,7799,8111
1438634198,7773,8085
1438641227,7789,8101
1438659284,7774,8085
1438660070,7769,8082
1438670687,7762,8075
1438688842,7791,8107
1438695863,7739,8055
1438698369,7729,8042
1438709387,7718,8031
1438720361,7725,8039
1438723176,7743,8057
1438745322,7651,7962
1438749918,7660,7968
1438754529,7742,8051
1438755721,7750,8059
1438775395,7711,8019
1438782978,7727,8035
1438795793,7692,7997
1438801407,7778,8084
1438806466,7790,8097
1438948103,7437,7730
1438953937,7430,7722
1438969483,7418,7711
1438981437,7420,7711
1439005567,7375,7663
1439008070,7385,7675
1439014970,7394,7684
1439034248,7398,7687
1439041562,7338,7623
1439053127,7371,7656
1439055084,7371,7655
