DateTime,AddedIPs,RemovedIPs
1437340868,68,68
1437355479,97,96
1437362135,90,90
1437364171,94,95
1437374177,53,52
1437393054,96,98
1437398436,94,95
1437401408,61,60
1437413348,67,68
1437424937,63,61
1437443823,94,93
1437449512,91,93
1437460683,60,61
1437477313,97,96
1437487405,99,100
1437499797,60,60
1437513988,78,77
1437536867,66,67
1437539649,45,44
1437542217,81,78
1437548351,93,93
1437568662,102,102
1437573149,93,94
1437579137,127,127
1437586827,80,81
1437596666,43,42
1437601698,62,62
1437660180,93,93
1437672660,53,57
1437686264,67,65
1437703081,99,97
1437709525,91,92
1437710188,26,26
1437720399,35,36
1437739597,95,93
1437746034,80,84
1437751679,102,98
1437760012,92,96
1437769701,40,39
1437773710,77,77
1437787086,90,88
1437795065,89,88
1437796319,77,80
1437806511,44,44
1437826260,90,86
1437834522,91,94
1437846264,54,56
1437855763,48,47
1437861187,101,97
1437875354,129,129
1437880684,82,83
1437882281,87,90
1437892516,34,35
1437911806,94,89
1437918909,87,93
1437925887,58,56
1437932295,71,70
1437941608,38,41
1437943333,51,50
1437956956,90,85
1437963719,96,96
1437967838,88,93
1437979263,68,67
1437997341,105,102
1438006524,91,93
1438018511,59,60
1438028299,44,44
1438032247,96,93
1438053755,90,92
1438057060,99,99
1438062694,102,102
1438065769,90,92
1438094453,75,75
1438106138,68,67
1438117884,80,79
1438135880,97,95
1438141244,89,91
1438152105,121,120
1438152407,91,91
1438169068,90,90
1438177999,84,84
1438179781,41,41
1438192092,51,51
1438201870,34,34
1438207965,95,93
1438219724,99,99
1438228339,88,88
1438239163,47,48
1438261254,102,103
1438264251,88,90
1438272330,65,65
1438276980,72,74
1438287176,68,68
1438295666,93,90
1438310110,95,95
1438313760,91,94
1438318537,57,58
1438324284,71,69
1438342522,95,94
1438349617,78,81
1438363834,62,59
1438375140,44,44
1438401357,43,45
1438408270,101,99
1438410982,93,94
1438430584,28,28
1438437936,67,65
1438449756,61,65
1438459647,61,60
1438464828,38,36
1438485212,92,92
1438485231,95,95
1438493124,96,96
1438496948,89,89
1438523715,51,51
1438534512,99,97
1438536598,94,96
1438547007,52,50
1438554319,84,84
1438571796,82,84
1438575093,95,95
1438580731,90,89
1438584394,82,83
1438607992,92,92
1438610645,92,93
1438623059,55,55
1438634198,37,37
1438641227,83,85
1438659284,77,73
1438660070,90,92
1438670687,62,62
1438688842,94,94
1438695863,85,85
1438698369,51,49
1438709387,66,65
1438720361,41,42
1438723176,72,73
1438745322,77,76
1438749918,66,69
1438754529,101,97
1438755721,93,93
1438775395,91,92
1438782978,92,91
1438795793,54,54
1438801407,110,109
1438806466,106,109
1438948103,123,124
1438953937,85,87
1438969483,61,60
1438981437,73,71
1439005567,72,73
1439008070,95,95
1439014970,87,86
1439034248,100,101
1439041562,93,91
1439053127,103,104
1439055084,90,90
1439064958,37,35
1439070337,92,93
1439092687,90,89
1439100328,80,81
1439102472,91,90
1439121808,93,94
1439132431,94,99
1439142872,75,73
1439152271,40,42
1439156027,76,74
1439171100,88,88
1439176794,92,93
1439178418,36,35
1439188046,57,57
1439216081,71,71
1439228883,55,54
1439231847,73,70
1439238181,76,79
1439241943,55,54
1439257134,92,94
1439263594,85,85
1439276001,93,91
1439276915,84,86
1439293821,89,89
1439308829,88,88
1439314065,82,87
1439324581,43,40
1439338385,99,97
1439350911,82,78
1439360366,98,101
1439361769,107,109
1439380269,113,113
1439390812,96,98
1439402044,63,64
1439413414,38,39
1439423118,92,87
1439433507,89,89
1439439014,83,87
1439448469,50,47
1439453771,79,76
1439475498,65,69
1439481340,82,80
1439488675,83,85
1439499275,47,52
1439516158,84,82
1439519423,83,79
1439524643,85,93
1439531864,90,83
1439534695,82,85
1439561012,65,62
1439563968,80,75
1439574583,72,75
1439585235,36,37
1439602391,95,90
1439606701,125,127
1439614766,105,106
1439621650,73,75
1439647463,49,47
1439651162,66,69
1439652410,63,62
1439660782,91,91
1439671682,35,38
1439685315,91,86
1439689842,83,83
1439697648,93,97
1439702390,49,45
1439708267,62,66
1439734547,45,47
1439738123,77,73
1439738756,52,50
1439748257,86,92
1439758631,35,33
1439774299,91,86
1439788917,99,98
1439794735,99,103
1439820177,56,58
1439821906,74,74
1439826473,71,69
1439833465,84,88
1439844622,33,34
1439857170,86,82
1439867082,93,93
1439869766,88,92
1439873850,79,74
1439880887,81,85
1439899868,89,83
1439906515,85,89
1439913323,91,86
1439920054,77,82
1439930531,45,45
1439944169,93,89
1439951606,88,87
1439956106,84,89
1439959934,65,63
1439966677,78,78
1439985961,102,97
1439992108,84,88
1439995970,71,67
1440005595,73,75
1440016695,28,29
1440024660,90,86
1440042220,81,85
1440045212,53,51
1440052344,69,71
1440071605,94,90
1440079531,90,95
1440092400,31,31
1440094497,64,62
1440103178,58,61
1440118598,95,91
1440121416,81,82
1440130041,89,92
1440133648,66,62
1440138832,70,73
1440165368,47,48
1440171355,98,95
1440179859,125,127
1440190306,37,39
1440198531,94,88
1440208439,85,85
1440215600,79,84
1440222162,94,89
1440225236,88,91
1440248053,89,86
1440250975,81,86
1440263786,92,92
1440265242,85,88
1440276732,31,30
1440280450,68,64
1440296232,116,112
1440302821,87,92
1440309710,93,89
1440311923,85,91
1440337884,39,38
1440342813,116,110
1440347464,88,88
1440351859,99,103
1440362874,38,37
1440369702,95,93
1440383077,105,106
1440388847,91,95
1440394357,96,94
1440398659,89,91
1440423814,40,39
1440427487,73,71
1440428977,85,84
1440437845,82,86
1440448449,44,39
1440453173,92,89
1440472547,99,100
1440477812,85,87
1440484370,77,77
1440505528,92,90
1440510664,85,88
1440524573,38,39
1440528818,104,100
1440535564,93,98
1440542158,90,84
1440555176,100,101
1440563757,92,92
1440571487,64,65
1440597921,45,48
1440601277,91,87
1440601983,63,61
1440611788,82,87
1440621900,47,47
1440636518,100,97
1440641142,93,95
1440649174,94,94
1440660097,12,12
1440683847,63,64
1440689891,94,92
1440699691,101,102
1440708325,58,56
1440716440,79,81
1440726422,97,96
1440733516,87,88
1440735665,29,28
1440744279,57,57
1440762868,112,112
1440773421,127,124
1440783383,90,94
1440793793,48,46
1440800189,95,94
1440821663,114,114
1440829683,64,66
1440848852,90,90
1440855844,94,94
1440867025,112,112
1440870523,93,93
1440881340,52,54
1440886174,89,86
1440898399,83,83
1440906144,84,90
1440909101,47,45
1440916978,59,57
1440936318,99,98
1440942830,87,89
1440944950,52,55
1440956351,55,54
1440966740,35,36
1440974098,93,90
1440984511,93,92
1440995240,84,87
1441002722,67,68
1441021630,97,96
1441028250,86,87
1441039396,101,99
1441042055,88,91
1441052803,47,45
1441055610,56,54
1441078284,90,91
1441081068,68,67
1441088976,73,73
1441107833,96,96
1441117012,86,89
1441126149,92,89
1441129082,92,96
1441139658,49,49
1441154006,96,94
1441158206,81,82
1441165539,90,93
1441167859,46,43
1441175751,65,68
1441193324,89,85
1441202322,91,92
1441209453,130,127
1441214589,99,100
1441226130,42,41
1441235545,90,88
1441252206,91,92
1441254487,61,62
1441262475,60,59
1441282248,97,96
1441287389,87,89
1441290823,80,80
1441301280,69,68
1441311629,41,42
1441316107,89,85
1441338240,80,83
1441347745,119,121
1441367857,84,81
1441374029,100,101
1441383790,112,111
1441387490,87,87
1441397744,33,33
1441405339,93,94
1441423689,101,103
1441424158,117,116
1441434312,68,70
1441454726,93,93
1441460268,91,91
1441473748,65,66
1441484089,62,60
1441489202,61,59
1441509592,62,63
1441512843,74,74
1441522467,86,87
1441546834,97,96
1441551168,66,63
1441559009,101,104
1441560378,87,86
1441575679,85,84
1441597359,71,72
1441600904,87,88
1441601394,78,79
1441608000,86,84
1441629923,98,98
1441633515,87,88
1441637224,91,93
1441646797,63,61
1441657792,37,39
1441662864,68,66
1441686003,85,85
1441695755,73,73
1441716245,89,89
1441720935,93,93
1441733219,73,74
1441733620,12,11
1441745100,36,36
1441750503,83,85
1441772324,85,83
1441780401,72,76
1441800559,89,89
1441807927,86,86
1441819230,106,103
1441821028,85,85
1441831468,33,33
1441844711,97,95
1441848587,92,91
1441859563,86,87
1441867580,61,62
1441887796,96,94
1441896464,105,109
1441906645,64,62
1441917899,45,46
1441924427,96,94
1441942712,83,86
1441945742,61,61
1441947828,102,100
1441954098,90,92
1441973041,93,91
1441982491,102,105
1441993273,56,57
1442004717,33,31
1442008960,77,76
1442022464,88,87
1442028564,88,90
1442033276,65,64
1442039315,79,78
1442066574,61,60
1442069069,41,41
1442076738,80,80
1442079234,84,84
1442089862,42,44
1442095460,76,75
1442115970,102,94
1442125951,92,95
1442127465,102,102
1442152456,76,74
1442154423,56,55
1442165367,75,83
1442175974,30,29
1442180131,74,74
1442201301,69,69
1442203386,92,92
1442211998,58,57
1442241375,68,69
1442253603,76,74
1442263931,54,57
1442267525,60,59
1442283803,104,105
1442291684,100,100
1442299676,74,76
1442302777,44,44
1442319286,102,100
1442324811,86,88
1442329315,88,83
1442339590,71,73
1442350036,41,41
1442352603,50,50
1442369460,109,108
1442375324,93,96
