DateTime,Entries,UniqueIPs
1437287177,141,141
1437303440,143,143
1437312860,141,141
1437314216,143,143
1437327009,142,142
1437340868,142,142
1437355479,143,143
1437362135,143,143
1437364171,142,142
1437374177,143,143
1437393054,141,141
1437398436,140,140
1437401408,141,141
1437413348,140,140
1437424937,142,142
1437443823,143,143
1437449512,141,141
1437460683,140,140
1437477313,141,141
1437487405,140,140
1437499797,140,140
1437513988,141,141
1437536867,140,140
1437539649,141,141
1437542217,144,144
1437548351,144,144
1437568662,144,144
1437573149,143,143
1437579137,143,143
1437586827,142,142
1437596666,143,143
1437601698,143,143
1437660180,143,143
1437672660,139,139
1437686264,141,141
1437703081,143,143
1437709525,142,142
1437710188,142,142
1437720399,141,141
1437739597,143,143
1437746034,139,139
1437751679,143,143
1437760012,139,139
1437769701,140,140
1437773710,140,140
1437787086,142,142
1437795065,143,143
1437796319,140,140
1437806511,140,140
1437826260,144,144
1437834522,141,141
1437846264,139,139
1437855763,140,140
1437861187,144,144
1437875354,144,144
1437880684,143,143
1437882281,140,140
1437892516,139,139
1437911806,144,144
1437918909,138,138
1437925887,140,140
1437932295,141,141
1437941608,138,138
1437943333,139,139
1437956956,144,144
1437963719,144,144
1437967838,139,139
1437979263,140,140
1437997341,143,143
1438006524,141,141
1438018511,140,140
1438028299,140,140
1438032247,143,143
1438053755,141,141
1438057060,141,141
1438062694,141,141
1438065769,139,139
1438094453,139,139
1438106138,140,140
1438117884,141,141
1438135880,143,143
1438141244,141,141
1438152105,142,142
1438152407,142,142
1438169068,142,142
1438177999,142,142
1438179781,142,142
1438192092,142,142
1438201870,142,142
1438207965,144,144
1438219724,144,144
1438228339,144,144
1438239163,143,143
1438261254,142,142
1438264251,140,140
1438272330,140,140
1438276980,138,138
1438287176,138,138
1438295666,141,141
1438310110,141,141
1438313760,138,138
1438318537,137,137
1438324284,139,139
1438342522,140,140
1438349617,137,137
1438363834,140,140
1438375140,140,140
1438401357,138,138
1438408270,140,140
1438410982,139,139
1438430584,139,139
1438437936,141,141
1438449756,137,137
1438459647,138,138
1438464828,140,140
1438485212,140,140
1438485231,140,140
1438493124,140,140
1438496948,140,140
1438523715,140,140
1438534512,142,142
1438536598,140,140
1438547007,142,142
1438554319,142,142
1438571796,140,140
1438575093,140,140
1438580731,141,141
1438584394,140,140
1438607992,140,140
1438610645,139,139
1438623059,139,139
1438634198,139,139
1438641227,137,137
1438659284,141,141
1438660070,139,139
1438670687,139,139
1438688842,139,139
1438695863,139,139
1438698369,141,141
1438709387,142,142
1438720361,141,141
1438723176,140,140
1438745322,141,141
1438749918,138,138
1438754529,142,142
1438755721,142,142
1438775395,141,141
1438782978,142,142
1438795793,142,142
1438801407,143,143
1438806466,140,140
1438948103,139,139
1438953937,137,137
1438969483,138,138
1438981437,140,140
1439005567,139,139
1439008070,139,139
1439014970,140,140
1439034248,139,139
1439041562,141,141
1439053127,140,140
1439055084,140,140
1439064958,142,142
1439070337,141,141
1439092687,142,142
1439100328,141,141
1439102472,142,142
1439121808,141,141
1439132431,136,136
1439142872,138,138
1439152271,136,136
1439156027,138,138
1439171100,138,138
1439176794,137,137
1439178418,138,138
1439188046,138,138
1439188046,138,138
1439188046,138,138
1439188046,138,138
1439216081,138,138
1439228883,139,139
1439231847,142,142
1439238181,139,139
1439241943,140,140
1439257134,138,138
1439263594,138,138
1439276001,140,140
1439276915,138,138
1439293821,138,138
1439308829,138,138
1439314065,133,133
1439324581,136,136
1439338385,138,138
1439350911,142,142
1439360366,139,139
1439361769,137,137
1439380269,137,137
1439390812,135,135
1439402044,134,134
1439413414,133,133
1439423118,138,138
1439433507,138,138
1439439014,134,134
1439448469,137,137
1439453771,140,140
1439475498,136,136
1439481340,138,138
1439488675,136,136
1439499275,131,131
1439516158,133,133
1439519423,137,137
1439524643,129,129
1439531864,136,136
1439534695,133,133
1439561012,136,136
1439563968,141,141
1439574583,138,138
1439585235,137,137
1439602391,142,142
1439606701,140,140
1439614766,139,139
1439621650,137,137
1439647463,139,139
1439647463,139,139
1439651162,136,136
1439652410,137,137
1439660782,137,137
1439671682,134,134
1439685315,139,139
1439689842,139,139
1439697648,135,135
1439702390,139,139
1439708267,135,135
1439734547,133,133
1439738123,137,137
1439738756,139,139
1439748257,133,133
1439758631,135,135
1439774299,140,140
1439788917,141,141
1439794735,137,137
1439820177,135,135
1439821906,135,135
1439826473,137,137
1439833465,133,133
1439844622,132,132
1439857170,136,136
1439867082,136,136
1439869766,132,132
1439873850,137,137
1439880887,133,133
1439899868,139,139
1439906515,135,135
1439913323,140,140
1439920054,135,135
1439930531,135,135
1439944169,139,139
1439951606,140,140
1439956106,135,135
1439959934,137,137
1439966677,137,137
1439985961,142,142
1439992108,138,138
1439995970,142,142
1440005595,140,140
1440016695,139,139
1440024660,143,143
1440042220,139,139
1440045212,141,141
1440052344,139,139
1440071605,143,143
1440079531,138,138
1440092400,138,138
1440094497,140,140
