DateTime,Entries,UniqueIPs
1438659309,14043,14043
1438745896,13930,13930
1438918486,11186,11186
1439005465,11113,11113
1439091311,11043,11043
1439177687,10914,10914
1439177687,10914,10914
1439177687,10914,10914
1439177687,10914,10914
1439177687,10914,10914
1439264564,10812,10812
1439350479,10684,10684
1439436882,11765,11765
1439523957,11783,11783
1439609730,14654,14654
1439609730,14654,14654
1439696093,16852,16852
1439783658,17072,17072
1439868884,17337,17337
1439955423,17387,17387
1440042338,16427,16427
1440128316,16379,16379
1440128316,16379,16379
1440214494,13693,13693
1440300892,14163,14163
1440387289,14038,14038
1440473683,17649,17649
1440560090,16781,16781
1440560090,16781,16781
1440647631,16557,16557
1440732885,16506,16506
1440819305,16468,16468
1440905689,14973,14973
1440992085,14899,14899
1441078493,11730,11730
1441164886,11813,11813
1441251289,11750,11750
1441338441,12719,12719
1441424088,12689,12689
1441510495,12580,12580
1441598103,12578,12578
1441683306,12558,12558
1441769705,12532,12532
1441856084,12580,12580
1441942873,11777,11777
1442028893,11836,11836
1442115296,11707,11707
1442201695,11568,11568
1442288116,11479,11479
1442376015,12045,12045
