DateTime,AddedIPs,RemovedIPs
1435015803,7,0
1435030203,7,0
1435044603,13,0
1435059006,10,0
1435073403,18,103
1435087803,13,0
1435102205,9,0
1435116606,9,0
1435131006,8,0
1435145403,10,0
1435159803,7,0
1435174204,14,0
1435188605,3,0
1435203003,16,0
1435217403,8,0
1435231803,18,0
1435246203,12,0
1435260603,13,138
1435275003,14,0
1435289404,10,0
1435303803,7,0
1435318206,11,0
1435332603,7,73
1435347003,9,0
1435361405,8,0
1435375805,5,0
1435390203,9,0
1435404605,6,0
1435419005,4,73
1435433403,9,0
1435447803,7,0
1435462203,11,0
1435476603,10,0
1435491006,9,0
1435505405,7,0
1435519805,8,65
1435534205,11,0
1435548605,8,0
1435563005,4,0
1435577405,6,0
1435591805,8,0
1435606205,10,51
1435620605,3,0
1435635003,10,0
1435649404,3,0
1435663808,8,0
1435678205,12,0
1435692605,6,81
1435707003,10,0
1435717803,7,0
1435732219,6,0
1435746603,5,0
1435761003,10,0
1435775402,27,71
1435789803,18,0
1435804203,19,0
1435818603,16,0
1435833005,15,0
1435847403,14,0
1435861803,49,63
1435876203,17,0
1435890603,9,0
1435905004,16,0
1435919405,5,0
1435933805,3,0
1435948205,17,93
1435962605,14,0
1435977005,16,0
1435991404,6,0
1436005805,8,0
1436020206,13,0
1436034605,10,89
1436049005,11,0
1436063405,9,0
1436077805,7,0
1436092205,8,0
1436106605,4,0
1436121005,8,73
1436135405,8,0
1436149804,7,0
1436164205,21,0
1436178604,11,0
1436193003,10,0
1436207402,7,70
1436221802,13,0
1436236202,8,0
1436250603,12,0
1436265002,6,0
1436279403,3,0
1436293803,18,63
1436308203,8,0
1436322603,7,0
1436337003,9,0
1436351403,1,0
1436365803,11,0
1436380202,9,74
1436394603,2,0
1436409003,3,0
1436423403,7,0
1436437805,3,0
1436452206,6,0
1436466602,7,71
1436481003,16,0
1436495402,3,0
1436509803,3,0
1436524202,2,0
1436538603,7,0
1436553002,3,79
1436567403,4,0
1436610605,5,0
1436625002,9,0
1436639402,10,53
1436653805,12,0
1436668203,11,0
1436682602,5,0
1436697005,5,0
1436711403,6,0
1436725802,8,51
1436740202,7,0
1436754603,16,0
1436769002,10,0
1436783405,8,0
1436797803,7,0
1436812204,6,50
1436826604,9,0
1436841002,6,0
1436855402,10,0
1436869802,2,0
1436884203,7,0
1436898602,12,50
1436913002,15,0
1436927402,21,0
1436941802,16,0
1436956205,11,0
1436970610,9,0
1436985002,17,50
1436999402,10,0
1437013803,13,0
1437028203,12,0
1437042604,10,0
1437057002,16,0
1437071402,18,87
1437085803,4,0
1437100202,10,0
1437114602,13,0
1437129005,12,0
1437143403,4,0
1437157803,17,124
1437172202,4,0
1437186602,8,0
1437201002,8,0
1437215405,6,0
1437229805,6,0
1437247804,7,67
1437262203,7,0
1437276604,12,0
1437291004,4,0
1437305405,4,0
1437319804,4,55
1437334204,8,0
1437348604,8,0
1437363004,8,0
1437377403,17,0
1437391804,9,0
1437406205,10,63
1437420604,6,0
1437435005,7,0
1437449404,7,0
1437463803,10,0
1437478205,8,0
1437492604,6,58
1437507004,7,0
1437521404,6,0
1437535804,4,0
1437550202,12,0
1437564605,11,0
1437579004,10,56
1437593405,8,0
1437658203,32,0
1437672604,3,34
1437687003,4,0
1437701404,4,0
1437715802,10,0
1437730203,6,0
1437744604,7,0
1437759004,2,40
1437773404,10,0
1437787804,6,0
1437802204,5,0
1437816605,5,0
1437831004,4,0
1437845404,10,23
1437859804,5,0
1437874204,5,0
1437888607,0,795
1437903004,799,0
1437917404,2,0
1437928204,1,46
1437942601,5,0
1437957001,8,0
1437971401,8,0
1437985801,7,0
1438000204,8,0
1438014604,7,49
1438029004,13,0
1438043404,17,0
1438057804,17,0
1438072205,19,0
1438086604,14,0
1438101004,16,46
1438115404,11,0
1438129804,7,0
1438144204,5,0
1438158604,7,0
1438173004,1,0
1438187401,2,71
1438201802,5,0
1438216201,7,0
1438230601,3,0
1438245001,2,0
1438259404,7,0
1438273804,12,68
1438288204,4,0
1438302604,10,0
1438317004,9,0
1438331404,7,0
1438345804,8,0
1438360204,11,72
1438374605,13,0
1438389004,17,0
1438403407,6,0
1438417804,10,0
1438432204,8,0
1438446604,4,60
1438461001,9,0
1438475401,12,0
1438489801,16,0
1438504202,9,0
1438518604,9,0
1438533004,8,48
1438547404,14,0
1438561804,18,0
1438576204,8,0
1438590604,11,0
1438605004,15,0
1438619404,10,50
1438633803,14,0
1438648204,11,0
1438662604,8,0
1438677004,17,0
1438691404,5,0
1438705804,12,57
1438720204,7,0
1438734604,19,0
1438749004,7,0
1438763405,14,0
1438777804,6,0
1438792204,12,43
1438806604,13,0
1438947004,126,53
1438961404,14,34
1438975804,12,0
1438990204,9,0
1439004604,11,0
1439019004,14,0
1439033404,6,0
1439047804,13,33
1439062204,7,0
1439076604,13,0
1439091004,9,0
1439105404,10,0
1439119804,5,0
1439134204,8,36
1439148604,15,0
1439163004,13,0
1439177404,10,0
1439191804,10,0
1439206204,7,0
1439220604,5,28
1439238604,12,7
1439253004,14,0
1439267401,16,0
1439281801,2,0
1439296204,6,0
1439310604,16,0
1439325005,16,69
1439339404,15,0
1439353805,11,0
1439368205,17,0
1439382605,7,0
1439397004,17,68
1439411405,19,0
1439425805,10,3
1439440205,8,0
1439454605,10,0
1439469004,7,0
1439483404,14,25
1439497804,9,0
1439512204,11,0
1439526605,9,0
1439541004,8,0
1439555404,5,0
1439569804,9,44
1439584204,11,0
1439598604,9,0
1439613004,8,0
1439627405,3,0
1439641804,13,0
1439656204,11,61
1439670604,12,0
1439685004,10,0
1439699404,7,0
1439713804,9,0
1439728204,11,0
1439742604,9,53
1439757005,11,0
1439771404,11,0
1439785804,20,0
1439800204,21,0
1439814604,7,0
1439829004,11,0
1439843404,12,68
1439857804,9,0
1439872205,23,0
1439886605,9,0
1439901004,9,0
1439915404,12,69
1439929804,25,0
1439944204,17,0
1439958605,17,0
1439973005,23,0
1439987404,22,0
1440001805,15,0
1440016205,17,67
1440030604,11,0
1440045004,7,0
1440059405,11,0
1440073805,12,0
1440088205,8,0
1440102604,9,68
1440117004,14,0
1440131404,9,0
1440145805,9,0
1440160204,10,0
1440174604,11,77
1440189005,10,0
1440203404,17,0
1440217805,7,0
1440232205,12,0
1440246604,11,0
1440261004,9,59
1440275405,10,0
1440289804,14,0
1440304204,8,0
1440318602,7,0
1440333004,8,0
1440347404,9,49
1440361805,10,0
1440376204,15,0
1440390604,4,0
1440405005,8,0
1440419404,13,0
1440433805,25,51
1440448205,8,0
1440462605,10,0
1440477005,7,0
1440491405,5,0
1440505804,14,0
1440520201,9,59
1440534602,9,0
1440549002,14,0
1440563402,12,0
1440577802,12,0
1440592205,6,0
1440606605,12,80
1440621001,18,0
1440635402,15,0
1440649802,7,0
1440664203,8,0
1440678602,6,0
1440693001,8,75
1440707401,12,0
1440721802,9,0
1440736202,6,0
1440750602,9,0
1440765002,11,0
1440779401,10,59
1440793801,26,0
1440808202,13,0
1440822602,23,0
1440837002,16,0
1440851402,12,0
1440865802,14,48
1440880202,11,0
1440894605,5,0
1440909002,11,0
1440923401,4,0
1440937802,9,0
1440952201,9,57
1440966601,10,0
1440981002,8,0
1440995401,10,0
1441009802,8,0
1441024202,7,0
1441038602,8,75
1441053001,13,0
1441067402,9,0
1441081801,8,0
1441096202,7,0
1441110602,4,0
1441125002,1,82
1441139401,10,0
1441153802,5,0
1441168202,12,0
1441182601,7,0
1441197002,7,0
1441211402,9,87
1441225802,11,0
1441240202,7,0
1441254602,14,0
1441269002,7,0
1441283404,11,0
1441297801,15,94
1441312202,17,0
1441326602,21,0
1441341002,15,0
1441355402,12,0
1441369802,28,0
1441384201,18,64
1441398601,13,0
1441413002,26,0
1441427401,13,0
1441441801,17,0
1441456204,16,0
1441470602,13,67
1441485002,20,0
1441499401,14,0
1441513802,11,0
1441528201,12,0
1441542602,16,0
1441557001,12,59
1441571401,9,0
1441585801,8,0
1441600202,25,0
1441614602,9,0
1441629002,15,0
1441643402,9,58
1441657801,8,0
1441672202,9,0
1441686602,8,0
1441701002,8,0
1441715405,8,0
1441729804,17,70
1441744201,9,0
1441758602,13,0
1441773002,17,0
1441787401,17,0
1441801801,22,0
1441816201,12,70
1441830601,16,0
1441845001,11,0
1441859402,14,0
1441873801,7,0
1441888202,14,0
1441902601,12,73
1441917001,6,0
1441931402,14,0
1441945804,18,0
1441960202,9,0
1441974602,13,0
1441989001,8,54
1442003401,10,0
1442017801,11,0
1442032202,7,0
1442046602,6,0
1442061001,7,0
1442075402,11,0
1442089801,9,94
1442104201,11,0
1442118602,11,0
1442133002,11,0
1442147404,22,0
1442161802,7,67
1442176205,12,0
1442190604,9,0
1442205004,4,0
1442219402,5,0
1442233806,9,0
