DateTime,Entries,UniqueIPs
1435131006,1181,1181
1435145403,1191,1191
1435159803,1198,1198
1435174204,1212,1212
1435188605,1215,1215
1435203003,1231,1231
1435217403,1239,1239
1435231803,1257,1257
1435246203,1269,1269
1435260603,1144,1144
1435275003,1158,1158
1435289404,1168,1168
1435303803,1175,1175
1435318206,1186,1186
1435332603,1120,1120
1435347003,1129,1129
1435361405,1137,1137
1435375805,1142,1142
1435390203,1151,1151
1435404605,1157,1157
1435419005,1088,1088
1435433403,1097,1097
1435447803,1104,1104
1435462203,1115,1115
1435476603,1125,1125
1435491006,1134,1134
1435505405,1141,1141
1435519805,1084,1084
1435534205,1095,1095
1435548605,1103,1103
1435563005,1107,1107
1435577405,1113,1113
1435591805,1121,1121
1435606205,1080,1080
1435620605,1083,1083
1435635003,1093,1093
1435649404,1096,1096
1435663808,1104,1104
1435678205,1116,1116
1435692605,1041,1041
1435707003,1051,1051
1435717803,1058,1058
1435732219,1064,1064
1435746603,1069,1069
1435761003,1079,1079
1435775402,1035,1035
1435789803,1053,1053
1435804203,1072,1072
1435818603,1088,1088
1435833005,1103,1103
1435847403,1117,1117
1435861803,1103,1103
1435876203,1120,1120
1435890603,1129,1129
1435905004,1145,1145
1435919405,1150,1150
1435933805,1153,1153
1435948205,1077,1077
1435962605,1091,1091
1435977005,1107,1107
1435991404,1113,1113
1436005805,1121,1121
1436020206,1134,1134
1436034605,1055,1055
1436049005,1066,1066
1436063405,1075,1075
1436077805,1082,1082
1436092205,1090,1090
1436106605,1094,1094
1436121005,1029,1029
1436135405,1037,1037
1436149804,1044,1044
1436164205,1065,1065
1436178604,1076,1076
1436193003,1086,1086
1436207402,1023,1023
1436221802,1036,1036
1436236202,1044,1044
1436250603,1056,1056
1436265002,1062,1062
1436279403,1065,1065
1436293803,1020,1020
1436308203,1028,1028
1436322603,1035,1035
1436337003,1044,1044
1436351403,1045,1045
1436365803,1056,1056
1436380202,991,991
1436394603,993,993
1436409003,996,996
1436423403,1003,1003
1436437805,1006,1006
1436452206,1012,1012
1436466602,948,948
1436481003,964,964
1436495402,967,967
1436509803,970,970
1436524202,972,972
1436538603,979,979
1436553002,903,903
1436567403,907,907
1436610605,912,912
1436625002,921,921
1436639402,878,878
1436653805,890,890
1436668203,901,901
1436682602,906,906
1436697005,911,911
1436711403,917,917
1436725802,874,874
1436740202,881,881
1436754603,897,897
1436769002,907,907
1436783405,915,915
1436797803,922,922
1436812204,878,878
1436826604,887,887
1436841002,893,893
1436855402,903,903
1436869802,905,905
1436884203,912,912
1436898602,874,874
1436913002,889,889
1436927402,910,910
1436941802,926,926
1436956205,937,937
1436970610,946,946
1436985002,913,913
1436999402,923,923
1437013803,936,936
1437028203,948,948
1437042604,958,958
1437057002,974,974
1437071402,905,905
1437085803,909,909
1437100202,919,919
1437114602,932,932
1437129005,944,944
1437143403,948,948
1437157803,841,841
1437172202,845,845
1437186602,853,853
1437201002,861,861
1437215405,867,867
1437229805,873,873
1437247804,813,813
1437262203,820,820
1437276604,832,832
1437291004,836,836
1437305405,840,840
1437319804,789,789
1437334204,797,797
1437348604,805,805
1437363004,813,813
1437377403,830,830
1437391804,839,839
1437406205,786,786
1437420604,792,792
1437435005,799,799
1437449404,806,806
1437463803,816,816
1437478205,824,824
1437492604,772,772
1437507004,779,779
1437521404,785,785
1437535804,789,789
1437550202,801,801
1437564605,812,812
1437579004,766,766
1437593405,774,774
1437658203,806,806
1437672604,775,775
1437687003,779,779
1437701404,783,783
1437715802,793,793
1437730203,799,799
1437744604,806,806
1437759004,768,768
1437773404,778,778
1437787804,784,784
1437802204,789,789
1437816605,794,794
1437831004,798,798
1437845404,785,785
1437859804,790,790
1437874204,795,795
1437888607,0,0
1437903004,799,799
1437917404,801,801
1437928204,756,756
1437942601,761,761
1437957001,769,769
1437971401,777,777
1437985801,784,784
1438000204,792,792
1438014604,750,750
1438029004,763,763
1438043404,780,780
1438057804,797,797
1438072205,816,816
1438086604,830,830
1438101004,800,800
1438115404,811,811
1438129804,818,818
1438144204,823,823
1438158604,830,830
1438173004,831,831
1438187401,762,762
1438201802,767,767
1438216201,774,774
1438230601,777,777
1438245001,779,779
1438259404,786,786
1438273804,730,730
1438288204,734,734
1438302604,744,744
1438317004,753,753
1438331404,760,760
1438345804,768,768
1438360204,707,707
1438374605,720,720
1438389004,737,737
1438403407,743,743
1438417804,753,753
1438432204,761,761
1438446604,705,705
1438461001,714,714
1438475401,726,726
1438489801,742,742
1438504202,751,751
1438518604,760,760
1438533004,720,720
1438547404,734,734
1438561804,752,752
1438576204,760,760
1438590604,771,771
1438605004,786,786
1438619404,746,746
1438633803,760,760
1438648204,771,771
1438662604,779,779
1438677004,796,796
1438691404,801,801
1438705804,756,756
1438720204,763,763
1438734604,782,782
1438749004,789,789
1438763405,803,803
1438777804,809,809
1438792204,778,778
1438806604,791,791
1438947004,864,864
1438961404,844,844
1438975804,856,856
1438990204,865,865
1439004604,876,876
1439019004,890,890
1439033404,896,896
1439047804,876,876
1439062204,883,883
1439076604,896,896
1439091004,905,905
1439105404,915,915
1439119804,920,920
1439134204,892,892
1439148604,907,907
1439163004,920,920
1439177404,930,930
1439191804,940,940
1439191804,940,940
1439191804,940,940
1439206204,947,947
1439220604,924,924
1439238604,929,929
1439253004,943,943
1439267401,959,959
1439281801,961,961
1439296204,967,967
1439310604,983,983
1439325005,930,930
1439339404,945,945
1439353805,956,956
1439368205,973,973
1439382605,980,980
1439397004,929,929
1439411405,948,948
1439425805,955,955
1439440205,963,963
1439454605,973,973
1439469004,980,980
1439483404,969,969
1439497804,978,978
1439512204,989,989
1439526605,998,998
1439541004,1006,1006
1439555404,1011,1011
1439569804,976,976
