DateTime,Entries,UniqueIPs
1440978122,418,418
1441393322,80,80
1441395124,136,136
1441396922,176,176
1441399322,220,220
1441401122,245,245
1441402923,314,314
1441404722,335,335
1441406522,364,364
1441408322,408,408
1441410122,462,462
1441411922,480,480
1441413722,497,497
1441417922,525,525
1441420321,556,556
1441422122,572,572
1441423922,594,594
1441425722,601,601
1441428122,624,624
1441429922,634,634
1441431722,657,657
1441433522,674,674
1441435922,692,692
1441438322,704,704
1441440723,712,712
1441443122,720,720
1441445522,728,728
1441447322,730,730
1441449122,737,737
1441450922,743,743
1441452721,748,748
1441454522,749,749
1441456922,756,756
1441458722,764,764
1441460522,767,767
1441462322,773,773
1441464122,783,783
1441465922,787,787
1441467722,791,791
1441469522,792,792
1441471322,794,794
1441473126,795,795
1441474922,796,796
1441476721,801,801
1441480322,804,804
1441482122,806,806
1441483922,800,800
1441485722,801,801
1441487522,786,786
1441489922,776,776
1441492922,754,754
1441494722,709,709
1441496522,697,697
1441498322,685,685
1441500122,680,680
1441501922,683,683
1441506121,630,630
1441507922,636,636
1441510322,628,628
1441512122,619,619
1441513922,620,620
1441515722,612,612
1441517522,603,603
1441519322,572,572
1441521122,568,568
1441522922,545,545
1441524722,537,537
1441526522,542,542
1441528322,529,529
1441530122,519,519
1441531922,519,519
1441533722,524,524
1441535522,489,489
1441537322,481,481
1441539122,465,465
1441540922,455,455
1441542721,448,448
1441544522,437,437
1441546322,436,436
1441548121,436,436
1441549922,432,432
1441551721,429,429
1441553522,417,417
1441555322,415,415
1441557122,406,406
1441558921,409,409
1441560721,404,404
1441562522,401,401
1441564322,391,391
1441566122,393,393
1441567921,392,392
1441569722,397,397
1441571522,384,384
1441573322,387,387
1441575122,386,386
1441576922,387,387
1441579322,390,390
1441581123,396,396
1441582922,398,398
1441584722,392,392
1441586522,384,384
1441588322,386,386
1441590122,389,389
1441591922,390,390
1441593721,391,391
1441595522,390,390
1441597322,397,397
1441600922,398,398
1441602722,397,397
1441604522,399,399
1441606321,385,385
1441608121,384,384
1441609921,386,386
1441611722,379,379
1441613522,366,366
1441615321,364,364
1441617122,366,366
1441618921,365,365
1441620722,366,366
1441622524,371,371
1441624322,373,373
1441626122,381,381
1441627922,377,377
1441629722,376,376
1441631522,376,376
1441633322,382,382
1441635122,386,386
1441636922,389,389
1441638726,392,392
1441640531,396,396
1441642323,398,398
1441644122,399,399
1441647722,403,403
1441649522,418,418
1441651323,427,427
1441653123,443,443
1441654922,444,444
1441656721,444,444
1441658521,447,447
1441660323,429,429
1441662122,423,423
1441663922,414,414
1441665722,415,415
1441667522,420,420
1441669321,414,414
1441671122,415,415
1441672922,414,414
1441674723,472,472
1441676523,477,477
1441678322,482,482
1441680121,491,491
1441681922,493,493
1441683721,505,505
1441685522,514,514
1441687322,526,526
1441689122,528,528
1441690922,537,537
1441692722,545,545
1441694521,549,549
1441696325,551,551
1441698122,559,559
1441699923,564,564
1441701722,568,568
1441703522,568,568
1441705322,570,570
1441707122,603,603
1441708921,646,646
1441710722,670,670
1441712522,663,663
1441714323,668,668
1441716123,671,671
1441719722,677,677
1441721523,671,671
1441723321,672,672
1441725122,675,675
1441727522,675,675
1441729922,692,692
1441731722,686,686
1441733522,695,695
1441735322,695,695
1441737122,700,700
1441738922,699,699
1441740723,702,702
1441742522,706,706
1441744322,709,709
1441746122,710,710
1441747922,709,709
1441749722,710,710
1441752122,704,704
1441753921,705,705
1441755722,707,707
1441757522,705,705
1441759322,703,703
1441761122,686,686
1441762925,682,682
1441764721,686,686
1441766522,667,667
1441768322,665,665
1441770122,656,656
1441771922,639,639
1441773722,631,631
1441775522,619,619
1441777322,613,613
1441779122,615,615
1441780921,613,613
1441782722,601,601
1441784522,605,605
1441786322,591,591
1441788122,579,579
1441789922,577,577
1441791722,570,570
1441793521,572,572
1441795322,552,552
1441797122,543,543
1441798921,551,551
1441800722,534,534
1441802526,533,533
1441804322,534,534
1441806122,532,532
1441807922,528,528
