DateTime,AddedIPs,RemovedIPs
1440033614,1,0
1440040001,1,0
1440054392,2,0
1440072391,0,1
1440075968,1,0
1440079601,1,0
1440090398,1,0
1440108395,2,1
1440122804,1,0
1440137196,0,1
1440151606,153,3
1440155201,0,0
1440183993,0,3
1440216396,1,0
1440230801,13,0
1440295592,2,0
1440331610,97,3
1440371212,3,0
1440389198,2,0
1440399996,42,0
1440414396,0,1
1440439598,1,0
1440486399,127,0
1440489994,1,0
1440507994,1,1
1440515202,1,0
1440561995,1,0
1440569191,1,0
1440576400,93,0
1440590811,1,0
1440608799,0,1
1440659203,48,0
1440673623,1,2
1440677196,1,0
1440691623,2,2
1440702415,1,1
1440731202,1,0
1440738398,3,0
1440745595,37,0
1440759994,2,0
1440799604,1,0
1440810393,0,1
1440842803,37,0
1440849996,2,0
1440857195,2,0
1440875192,1,0
1440896792,1,0
1440903995,1,0
1440918391,32,0
1440925591,1,0
1440954394,1,0
1440968793,1,0
1441001212,1,0
1441004802,38,0
1441019209,1,0
1441026404,1,1
1441044398,0,1
1441051597,1,1
1441055196,1,0
1441065994,0,4
1441069663,1,0
1441102004,42,0
1441105600,1,0
1441177571,22,0
1441263968,32,0
1441289188,1,0
1441299974,1,0
1441325166,1,0
1441328797,1,0
1441361187,27,0
1441372011,0,1
1441400785,1,0
1441443971,38,0
1441465591,1,0
1441480939,1,0
1441595399,1,0
1441620392,33,0
1441667414,1,0
1441681587,0,1
1441695970,24,0
1441721187,0,3
1441735894,0,2
1441782381,9,0
1441789583,0,1
1441793190,1,0
1441818400,2,0
1441832795,1,0
1441879591,20,1
1441901198,1,2
1441904775,1,0
1441919209,1,0
1441958794,11,0
1441983984,1,0
1442027363,1,0
1442041667,8,0
1442135182,9,0
1442167596,1,0
1442196374,0,1
1442214370,10,0
1442293575,1,0
