DateTime,Entries,UniqueIPs
1440031452,583814,595409
1440031452,583814,595409
1440033614,583815,595410
1440040001,583816,595411
1440054392,583818,595413
1440072391,583817,595412
1440075968,583818,595413
1440079601,583819,595414
1440090398,583820,595415
1440108395,583821,595416
1440122804,583822,595417
1440137196,583821,595416
1440151606,583948,595566
1440155201,583948,595566
1440183993,583945,595563
1440216396,583946,595564
1440230801,583952,595577
1440295592,583954,595579
1440331610,584044,595673
1440371212,584047,595676
1440389198,584049,595678
1440399996,584090,595720
1440414396,584089,595719
1440439598,584090,595720
1440486399,584212,595847
1440489994,584212,595848
1440507994,584212,595848
1440515202,584213,595849
1440561995,584214,595850
1440569191,584215,595851
1440576400,584304,595944
1440590811,584305,595945
1440608799,584304,595944
1440659203,584351,595992
1440659203,584351,595992
1440673623,584350,595991
1440677196,584351,595992
1440691623,584351,595992
1440702415,584351,595992
1440731202,584352,595993
1440738398,584355,595996
1440745595,584390,596033
1440759994,584392,596035
1440799604,584392,596036
1440810393,584391,596035
1440842803,584427,596072
1440849996,584429,596074
1440857195,584431,596076
1440875192,584432,596077
1440896792,584433,596078
1440903995,584434,596079
1440918391,584466,596111
1440925591,584467,596112
1440954394,584468,596113
1440968793,584469,596114
1441001212,584470,596115
1441004802,584506,596153
1441019209,584507,596154
1441026404,584507,596154
1441044398,584506,596153
1441051597,584506,596153
1441055196,584507,596154
1441065994,584503,596150
1441069663,584504,596151
1441102004,584546,596193
1441105600,584547,596194
1441177571,584567,596216
1441263968,584597,596248
1441289188,584598,596249
1441299974,584599,596250
1441325166,584600,596251
1441328797,584601,596252
1441361187,584628,596279
1441372011,584627,596278
1441400785,584628,596279
1441443971,584664,596317
1441465591,584665,596318
1441480939,584666,596319
1441595399,584667,596320
1441620392,584698,596353
1441667414,584699,596354
1441681587,584698,596353
1441695970,584722,596377
1441721187,584719,596374
1441735894,584717,596372
1441782381,584726,596381
1441789583,584725,596380
1441793190,584726,596381
1441818400,584728,596383
1441832795,584729,596384
1441879591,584748,596403
1441901198,584747,596402
1441904775,584748,596403
1441919209,584749,596404
1441958794,584760,596415
1441983984,584761,596416
1442027363,584762,596417
1442041667,584770,596425
1442135182,584778,596434
1442167596,584779,596435
1442196374,584778,596434
1442214370,584788,596444
1442293575,584789,596445
1442300779,584800,596456
1442344003,584801,596457
1442387178,584811,596467
1442397991,584813,596469
1442401581,584814,596470
1442487984,584838,596495
