DateTime,AddedIPs,RemovedIPs
1440072392,3,34
1440075969,1,171
1440079602,0,3
1440083198,0,5
1440090399,3,43
1440093995,0,80
1440101195,0,21
1440108396,0,182
1440122805,531968,0
1440155202,0,0
1440162398,0,1546
1440169593,0,32783
1440176798,0,2043
1440209201,7936,0
1440381999,17659,0
1440403594,0,5
1440407198,0,496
1440425210,6,870
1440432397,0,42
1440439599,1280,310
1440446797,0,6
1440482794,0,12175
1440504398,0,513
1440507995,2,4121
1440515203,1,1085
1440525996,0,10
1440540397,0,5
1440554812,0,5
1440590812,2,42
1440608800,0,5
1440619597,0,5
1440633998,32,0
1440659204,0,5
1440677197,3,20
1440691625,0,532
1440702416,0,512
1440774406,0,4106
1440785195,0,33
1440788787,0,5
1441019210,0,1
1441026405,0,22
1441030005,3,15
1441037211,0,10
1441051598,0,11
1441055197,0,10
1441112791,0,261
1441120021,0,9759
1441123566,0,5
1441134391,3,101
1441137996,0,319
1441210000,0,79
1441220779,0,8319
1441289189,2,69360
1441292791,3,266
1441296387,0,5
1441310778,0,1034
1441325168,8192,0
1441361188,0,507
1441372012,0,285
1441386391,0,773
1441400787,0,16640
1441411574,7926,0
1441497972,67038,0
1441588169,16128,0
1441717590,0,320
1441721188,0,165111
1441735895,0,1017
1441742797,0,251
1441747072,0,27
1441771587,0,5
1441818401,0,10255
1441822008,0,410
1441832796,0,261
1441901199,0,267
1441911999,0,4096
1441929971,131574,0
1441958795,0,5
1441983985,8,163915
1442001984,0,5
1442189172,98048,0
1442221572,0,5
1442235978,0,81934
1442239578,0,336
1442257591,0,266
1442268380,5,16
1442322382,3,423
