DateTime,Entries,UniqueIPs
1440030548,531994,349747293
1440031453,531994,349747293
1440031453,531994,349747293
1440072392,532014,349747262
1440075969,532116,349747092
1440079602,532114,349747089
1440083198,532122,349747084
1440090399,532139,349747044
1440093995,532136,349746964
1440101195,532148,349746943
1440108396,532137,349746761
1440122805,532153,350278729
1440155202,532153,350278729
1440162398,532159,350277183
1440169593,532170,350244400
1440176798,532161,350242357
1440209201,532166,350250293
1440381999,532177,350267952
1440403594,532183,350267947
1440407198,532167,350267451
1440425210,532344,350266587
1440432397,532379,350266545
1440439599,532368,350267515
1440446797,532370,350267509
1440482794,532271,350255334
1440504398,532268,350254821
1440507995,532292,350250702
1440515203,532310,350249618
1440525996,532319,350249608
1440540397,532324,350249603
1440554812,532327,350249598
1440590812,532365,350249558
1440608800,532371,350249553
1440619597,532374,350249548
1440633998,532375,350249580
1440659204,532381,350249575
1440659204,532381,350249575
1440677197,532391,350249558
1440691625,532413,350249026
1440702416,532412,350248514
1440774406,532416,350244408
1440785195,532444,350244375
1440788787,532452,350244370
1441019210,532451,350244369
1441026405,532467,350244347
1441030005,532480,350244335
1441037211,532499,350244325
1441051598,532502,350244314
1441055197,532513,350244304
1441112791,532519,350244043
1441120021,532550,350234284
1441123566,532553,350234279
1441134391,532558,350234181
1441137996,532552,350233862
1441210000,532596,350233783
1441220779,532548,350225464
1441289189,532528,350156106
1441292791,532542,350155843
1441296387,532544,350155838
1441310778,532552,350154804
1441325168,532558,350162996
1441361188,532550,350162489
1441372012,532721,350162204
1441386391,532723,350161431
1441400787,532721,350144791
1441411574,532745,350152717
1441497972,532781,350219755
1441588169,532787,350235883
1441717590,532810,350235563
1441721188,532793,350070452
1441735895,533115,350069435
1441742797,533108,350069184
1441747072,533124,350069157
1441771587,533129,350069152
1441818401,533136,350058897
1441822008,533127,350058487
1441832796,533127,350058226
1441901199,533138,350057959
1441911999,533137,350053863
1441929971,533168,350185437
1441958795,533172,350185432
1441983985,533170,350021525
1442001984,533175,350021520
1442189172,533183,350119568
1442221572,533186,350119563
1442235978,533192,350037629
1442239578,533263,350037293
1442257591,533264,350037027
1442268380,533274,350037016
1442322382,533262,350036596
1442333187,533250,350028409
1442336791,533262,350028372
1442340414,533262,350028371
1442344004,533265,350028365
1442351336,533275,350027651
1442354863,533247,350023165
